english,vietnamese,note
Magic,Phép thuật,
Spell,Phép,
Awakening,Thức tỉnh,nâng cấp phép lên bậc cao
Artifact,Cổ vật,trang bị bị động
Relic,Thánh tích,
Enhance,Cường hóa,
Level Up,Lên cấp,
Experience,Kinh nghiệm,viết tắt: KN
Health,Máu,viết tắt: HP giữ nguyên cũng được
Mana,Năng lượng phép,
Damage,Sát thương,
Attack Speed,Tốc độ đánh,
Cooldown,Hồi chiêu,
Projectile,Đạn phép,
Area of Effect,Phạm vi hiệu ứng,viết tắt: AoE giữ nguyên
Summon,Triệu hồi,
Survivor,Người sống sót,
Survival,Sinh tồn,
Wave,Đợt quái,
Boss,Trùm,giữ nguyên "Boss" cũng phổ biến
Monster,Quái vật,
Elite,Tinh anh,
Stage,Màn chơi,
Quest,Nhiệm vụ,
Achievement,Thành tựu,
Reward,Phần thưởng,
Shop,Cửa hàng,
Settings,Cài đặt,
Inventory,Túi đồ,
Equip,Trang bị,
Upgrade,Nâng cấp,
Unlock,Mở khóa,
Skill,Kỹ năng,
Passive,Bị động,
Active,Chủ động,
Critical,Chí mạng,
Dodge,Né tránh,
Shield,Khiên,
Curse,Lời nguyền,
Blessing,Phước lành,
Rune,Cổ tự,
Gold,Vàng,
Gem,Đá quý,
Energy,Năng lượng,
Revive,Hồi sinh,
Pause,Tạm dừng,
Resume,Tiếp tục,
Retry,Chơi lại,
Exit,Thoát,
Confirm,Xác nhận,
Cancel,Hủy,
