ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,苍穹之怒,조합,417 ,444 ,0 ,<color=#F5F5E1>,落雷爆炸范围增大，但不会变宽。,<color=#6EDCFF>,落雷伤害量增加5倍,<color=#6EDCFF>,落雷个数增加3倍,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,风暴使者,4,落雷瞬间劈下。,`,0
2,以气驭剑,조합,381 ,470 ,0 ,<color=#F5F5E1>,精灵飞弹斩击敌人速度更快，长度增加。,<color=#F5F5E1>,精灵冷却时间每减少[0.15秒]，[伤害倍率]增加〈1〉。,<color=#F5F5E1>,精灵冷却时间每减少[0.15秒]，[攻击次数]增加〈1〉。,<color=#6EDCFF>,精灵伤害量增加3倍,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,光刃,7,精灵投射物有较低概率使威力极大化，并随暴击率提升而增强。,`,0
3,光弹乱射,조합,497 ,382 ,0 ,<color=#F5F5E1>,能量弹以[4次]分裂向四周发射。,<color=#F5F5E1>,能量弹投射体持续向前发射。,<color=#6EDCFF>,能量弹伤害量增加10倍,<color=#6EDCFF>,能量弹数量增加3倍,<color=#6EDCFF>,能量弹持续时间增加30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,大地电流,조합,517 ,472 ,0 ,<color=#F5F5E1>,幻视光线攻击范围变宽。,<color=#F5F5E1>,幻视光线每〈0.5秒〉转换一次方向。,<color=#F5F5E1>,幻视光线的[持续时间]每增加〈1秒〉，[伤害倍率]增加〈1〉。,<color=#6EDCFF>,幻视光线伤害量增加4倍,<color=#6EDCFF>,幻视光线冷却时间减少50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,战争之后,조합,444 ,507 ,0 ,<color=#F5F5E1>,陨石坠落[冷却时间]随其个数不断加快 @ [生成间隔]与[冷却时间]相同。,<color=#F5F5E1>,每次生成陨石坠落时[冷却时间]减少〈0~ 80%〉。,<color=#6EDCFF>,陨石坠落伤害量增加6倍,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,零点地带,5,陨石坠落变得巨大，轰炸整个战场。,`,0
6,邪灵方程式,조합,371 ,499 ,0 ,<color=#F5F5E1>,火焰球同时朝四方发射 @ 《大爆炸》特性效果消失。,<color=#6EDCFF>,火焰球伤害量增加6.66倍,<color=#6EDCFF>,火焰球穿透力增加2,<color=#6EDCFF>,火焰球个数增加4倍,<color=#FF6464>,火焰球冷却时间增加3.3倍,<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,复仇女神,11,火焰球随着反复爆炸威力逐渐提升。,`,0
7,狂暴,조합,544 ,366 ,0 ,<color=#F5F5E1>,闪光冲击生成得更长更快。,<color=#F5F5E1>,施放次数叠加从〈3次〉开始，在〈7次〉时[重置]，冷却时间从[5秒]减少到[0.5秒]时，[施放次数叠加]增加〈1〉。,<color=#6EDCFF>,闪光冲击伤害量增加7倍,<color=#6EDCFF>,闪光冲击冷却时间减少50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,狂战士,22,闪光冲击的施放次数叠加始终保持最大值，@ 最大叠加次数会随暴击率增加。,`,0
8,百鬼夜行,조합,373 ,390 ,0 ,<color=#F5F5E1>,火焰球[贯穿]所有敌人并随机移动。,<color=#F5F5E1>,火焰球仅在消失时以〈3倍〉威力[爆炸]。,<color=#F5F5E1>,火焰球的[持续时间]越长，[伤害量]越高。,<color=#F5F5E1>,火焰球[贯穿力]每增加[1]，[伤害倍率]增加〈3〉。,<color=#6EDCFF>,火焰球伤害量增加4倍,<color=#6EDCFF>,火焰球冷却时间减少33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,反作用,조합,498 ,409 ,0 ,<color=#F5F5E1>,能量弹向四周生成。,<color=#F5F5E1>,能量弹以〈0.5秒〉间隔引发爆炸，每次爆炸时威力提升〈20%〉。,<color=#6EDCFF>,能量弹伤害量增加9倍,<color=#FF6464>,能量弹个数减少50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
