ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,自我之剑,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,体力未满〈25%〉的敌军会被[立即消灭]。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,梦魇,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,击杀敌人时发生的[爆炸]范围扩大，且有时威力会被大幅{强化}。,<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,红龙,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,攻击力增幅40%,<color=#64FF32>,攻击力增加40%,<color=#6EDCFF>,所有魔法伤害量增加40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,剧毒,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,所有敌人最大体力减幅 x1.15,<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,亚瓦隆,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,『##197##』的效果提升〈1.5倍〉，[光环范围]扩大。,<color=#64FF32>,每秒体力恢复率增加0.1%,<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,神谕者,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,[一般被动魔法]的效果提高〈25%〉。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,炽天使,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[复活]次数增加〈1〉。,<color=#64FF32>,体力上限增加100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,第五元素,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,每种魔法的[第5次]施放会造成〈50%〉[追加伤害]。,<color=#6EDCFF>,所有魔法伤害量增加50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,死灵法师,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,通过『##98##』效果使敌人{即死}时将引发[爆炸]。,<color=#EB96FF>,（爆炸伤害量为敌军体力上限的75%）,<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,死眼,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,『##50##』持续期间始终造成[暴击]。,<color=#64FF32>,暴击倍率增加50%,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
11,欺诈师,4 ,158 ,69 ,70 ,121 ,0 ,<color=#F5F5E1>,『##70##』的[暴击]会触发『##158##』效果。,<color=#64FF32>,暴击率增加7%,<color=#FFFFFF>,`,100 ,14 ,7 ,1 ,0 ,1 ,0 
12,狙击手,4 ,105 ,44 ,77 ,180 ,0 ,<color=#F5F5E1>,对[体力]高于〈75%〉的敌军造成〈25%〉的[追加伤害]。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,93 ,25 ,1 ,0 ,1 ,0 
13,核爆,4 ,68 ,76 ,178 ,59 ,0 ,<color=#F5F5E1>,每有〈3%〉的所有魔法体积增长率，[攻击力]就提高〈1%〉。,<color=#64FF32>,所有魔法面积增加20%,<color=#FFFFFF>,`,1 ,8 ,20 ,1 ,0 ,1 ,0 
14,零至百,4 ,78 ,199 ,174 ,67 ,0 ,<color=#F5F5E1>,『##199##』的{增幅}效果提升〈3倍〉。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,200 ,1 ,0 ,1 ,0 ,1 ,0 
