ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,Magiebolzen,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,Verstärke das Standardprojektil.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe den Schaden von Magiebolzen um 50% @ Verringere die Abklingzeit von Magiebolzen um 5%,<color=#FFFFFF>,《Erhöhe die Anzahl der Magiebolzen um 1》^《Erhöhe den Schaden von Magiebolzen um 50%》^《》^《Erhöhe die Anzahl der Magiebolzen um 1》^《Erhöhe den Schaden von Magiebolzen um 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,Feuerball,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Wirf ein explosives Projektil ab.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe den Feuerball-Schaden um 50%. @ Erhöhe Feuerballgröße um 10%,<color=#FFFFFF>,《Erhöhe die Anzahl der Feuerbälle um 1》^《Erhöhe den Feuerball-Schaden um 50%.》^《Erhöhe Feuerballgröße um 20%》^《Erhöhe die Anzahl der Feuerbälle um 1》^《Erhöhe den Feuerball-Schaden um 50%.》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,Geist,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,"Beschwöre einen Geist, der deine Angriffe verstärkt.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe den Geisterschaden um 50% @ Verringere die Abklingzeit von Geist um 5%,<color=#FFFFFF>,《Erhöhe den Geisterschaden um 20% @ Erhöhe die Anzahl der Geister um 1》^《Erhöhe den Geisterschaden um 20% @ Erhöhe die Anzahl der Geister um 1》^《Erhöhe den Geisterschaden um 20% @ Erhöhe die Anzahl der Geister um 1》^《Erhöhe den Geisterschaden um 20% @ Erhöhe die Anzahl der Geister um 1》^《Erhöhe den Geisterschaden um 20% @ Erhöhe die Anzahl der Geister um 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,Satellit,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,"Erschaffe einen Satelliten, der um den Charakter rotiert.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe Satellitenschaden um 50%. @ Erhöhe die Rotationsgeschwindigkeit des Satelliten um 25%,<color=#FFFFFF>,《Erhöhe Satellitenschaden um 20%. @ Erhöhe die Anzahl der Satelliten um 1》^《Erhöhe Satellitenschaden um 20%. @ Erhöhe die Anzahl der Satelliten um 1》^《Erhöhe Satellitenschaden um 20%. @ Erhöhe die Anzahl der Satelliten um 1》^《Erhöhe Satellitenschaden um 20%. @ Erhöhe die Anzahl der Satelliten um 1》^《Erhöhe Satellitenschaden um 20%. @ Erhöhe die Anzahl der Satelliten um 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,Frostnova,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,[Friere] Gegner in der Nähe für einen Moment ein.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöht den Frostnova-Schaden um 50% @ Erhöhe die Größe der Frostnova um 10%,<color=#FFFFFF>,《Erhöhe die Größe der Frostnova um 15%》^《Erhöht den Frostnova-Schaden um 50%》^《Verringere die Abklingzeit der Frostnova um 15%》^《Erhöhe die Größe der Frostnova um 20%》^《Erhöht den Frostnova-Schaden um 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,Schild,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,"Erstelle einen Schild, der 〈einmalig〉 Schaden blockiert.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Verringere die Abklingzeit von Schilden um 10%》^《Verringere die Abklingzeit von Schilden um 10%》^《Verringere die Abklingzeit von Schilden um 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,Gewitter,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Ein Gewitter bricht über Gegner in der Nähe herein.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe den Gewitterschaden um 50%. @ Verringere die Abklingzeit des Gewitters um 5%,<color=#FFFFFF>,《Erhöhe den Gewitterschaden um 20%. @ Erhöhe die Gewitteranzahl um 1》^《Erhöhe den Gewitterschaden um 20%. @ Erhöhe die Gewitteranzahl um 1》^《Erhöhe den Gewitterschaden um 20%. @ Erhöhe die Gewitteranzahl um 1》^《Erhöhe den Gewitterschaden um 20%. @ Erhöhe die Gewitteranzahl um 1》^《Erhöhe den Gewitterschaden um 20%. @ Erhöhe die Gewitteranzahl um 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,Elektrische Zone,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Fügt Gegnern in der Nähe in einem bestimmten Intervall Schaden zu.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe den Schaden der Elektrischen Zone um 50%. @ Erhöhe die Größe der elektrischen Zone um 10%,<color=#FFFFFF>,《Erhöhe die Größe der elektrischen Zone um 15%》^《Erhöhe den Schaden der Elektrischen Zone um 50%.》^《Erhöhe die Größe der elektrischen Zone um 15%》^《Erhöhe die Größe der elektrischen Zone um 20%》^《Erhöhe den Schaden der Elektrischen Zone um 50%.》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,Tsunami,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,"Erzeuge eine riesige Welle, die das Feld durchquert.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Erhöhe den Tsunami-Schaden um 50%. @ Verringere die Abklingzeit von Tsunamis um 5%,<color=#FFFFFF>,《Erhöhe die Anzahl Tsunamis um 3》^《Erhöhe den Tsunami-Schaden um 50%.》^《Verringere die Abklingzeit von Tsunamis um 15%》^《Erhöhe die Anzahl Tsunamis um 3》^《Erhöhe den Tsunami-Schaden um 50%.》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
