ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,Magic Bolt,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,Enhance the default projectile.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Magic Bolt Damage by 50% @ Decrease Magic Bolt Cooldown by 5%,<color=#FFFFFF>,《Increase the number of Magic Bolts by 1》^《Increase Magic Bolt Damage by 50%》^《》^《Increase the number of Magic Bolts by 1》^《Increase Magic Bolt Damage by 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,Fireball,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Launch an explosive projectile.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Fireball Damage by 50% @ Increase Fireball Size by 10%,<color=#FFFFFF>,《Increase the number of Fireballs by 1》^《Increase Fireball Damage by 50%》^《Increase Fireball Size by 20%》^《Increase the number of Fireballs by 1》^《Increase Fireball Damage by 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,Spirit,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Summon a Spirit that augments attacks.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Spirit Damage by 50% @ Decrease Spirit Cooldown by 5%,<color=#FFFFFF>,《Increase Spirit Damage by 20% @ Increase the number of Spirits by 1》^《Increase Spirit Damage by 20% @ Increase the number of Spirits by 1》^《Increase Spirit Damage by 20% @ Increase the number of Spirits by 1》^《Increase Spirit Damage by 20% @ Increase the number of Spirits by 1》^《Increase Spirit Damage by 20% @ Increase the number of Spirits by 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,Satellite,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Create a Satellite that rotates around the character.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Satellite Damage by 50% @ Increase Satellite Rotation Speed by 25%,<color=#FFFFFF>,《Increase Satellite Damage by 20% @ Increase the number of Satellites by 1》^《Increase Satellite Damage by 20% @ Increase the number of Satellites by 1》^《Increase Satellite Damage by 20% @ Increase the number of Satellites by 1》^《Increase Satellite Damage by 20% @ Increase the number of Satellites by 1》^《Increase Satellite Damage by 20% @ Increase the number of Satellites by 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,Frost Nova,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,[Freeze] nearby enemies for a moment.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Frost Nova Damage by 50% @ Increase Frost Nova Size by 10%,<color=#FFFFFF>,《Increase Frost Nova Size by 15%》^《Increase Frost Nova Damage by 50%》^《Decrease Frost Nova Cooldown by 15%》^《Increase Frost Nova Size by 20%》^《Increase Frost Nova Damage by 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,Shield,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Create a Shield that blocks damage 〈once〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Decrease Shield Cooldown by 10%》^《Decrease Shield Cooldown by 10%》^《Decrease Shield Cooldown by 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,Thunderstorm,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,A thunderstorm falls upon nearby enemies.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Thunderstorm Damage by 50% @ Decrease Thunderstorm Cooldown by 5%,<color=#FFFFFF>,《Increase Thunderstorm Damage by 20% @ Increase the number of Thunderstorms by 1》^《Increase Thunderstorm Damage by 20% @ Increase the number of Thunderstorms by 1》^《Increase Thunderstorm Damage by 20% @ Increase the number of Thunderstorms by 1》^《Increase Thunderstorm Damage by 20% @ Increase the number of Thunderstorms by 1》^《Increase Thunderstorm Damage by 20% @ Increase the number of Thunderstorms by 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,Electric Zone,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Damage nearby enemies over a certain interval.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Electric Zone Damage by 50% @ Increase Electric Zone Size by 10%,<color=#FFFFFF>,《Increase Electric Zone Size by 15%》^《Increase Electric Zone Damage by 50%》^《Increase Electric Zone Size by 15%》^《Increase Electric Zone Size by 20%》^《Increase Electric Zone Damage by 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,Tsunami,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Create a giant wave that crosses through the field.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Increase Tsunami Damage by 50% @ Decrease Tsunami Cooldown by 5%,<color=#FFFFFF>,《Increase the number of Tsunamis by 3》^《Increase Tsunami Damage by 50%》^《Decrease Tsunami Cooldown by 15%》^《Increase the number of Tsunamis by 3》^《Increase Tsunami Damage by 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
