ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Wizard,학파,0 ,<color=#EBEBEB>,"〔Magic Bolt Lv +1〕 @ Every time the character gains [5] levels, Magic Bolt Damage 〈3%〉 is 『added』",<color=#32FFE1>,Magic Bolt Lv +1,<color=#6EDCFF>,Decrease Magic Bolt Cooldown by 20%,<color=#6EDCFF>,Increase the number of Magic Bolts by 1,<color=#FF76DE>,Increase Magic Bolt Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,Astronomer,학파,0 ,<color=#EBEBEB>,"〔Satellite Lv +1〕 @ Every time the character gains [5] levels, Satellite Damage 〈3%〉 is 『added』",<color=#32FFE1>,Satellite Lv +1,<color=#6EDCFF>,Increase Satellite Rotation Speed by 50%,<color=#6EDCFF>,Increase the number of Satellites by 35%,<color=#FF76DE>,Increase Satellite Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,Cryomancer,학파,0 ,<color=#EBEBEB>,"〔Frost Nova Lv +1〕 @ Every time the character gains [5] levels, Frost Nova Damage 〈3%〉 is 『added』",<color=#32FFE1>,Frost Nova Lv +1,<color=#6EDCFF>,Decrease Frost Nova Cooldown by 20%,<color=#6EDCFF>,Increase Frost Nova Size by 25%,<color=#FF76DE>,Increase Frost Nova Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,Shaman,학파,0 ,<color=#EBEBEB>,"〔Thunderstorm Lv +1〕 @ Every time the character gains [5] levels, Thunderstorm Damage 〈3%〉 is 『added』",<color=#32FFE1>,Thunderstorm Lv +1,<color=#6EDCFF>,Decrease Thunderstorm Cooldown by 20%,<color=#6EDCFF>,Increase the number of Thunderstorms by 35%,<color=#FF76DE>,Increase Thunderstorm Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,Warlock,학파,0 ,<color=#EBEBEB>,"〔Meteor Lv +1〕 @ Every time the character gains [5] levels, Meteor Damage 〈3%〉 is 『added』",<color=#32FFE1>,Meteor Lv +1,<color=#6EDCFF>,Decrease Meteor Cooldown by 20%,<color=#6EDCFF>,Increase the number of Meteors by 1,<color=#FF76DE>,Increase Meteor Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,Arcanist,학파,0 ,<color=#EBEBEB>,"〔Magic Bolt Lv +1〕 @ Every time the character gains [1] levels, All Magic Damage 〈1%〉 is {added} @ Reduce Magic Choices by 【1】 and disable [Mana Recovery]",<color=#32FFE1>,Intelligence Lv +1,<color=#64FF32>,Increase Mana Acquisition by 10%,<color=#FF76DE>,Amplify ATK by 10%,<color=#FF76DE>,Increase ATK by 5% (All Classes),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,Summoner,학파,0 ,<color=#EBEBEB>,"〔Spirit Lv +1〕 @ Every time the character gains [5] levels, Spirit Damage 〈3%〉 is 『added』",<color=#32FFE1>,Spirit Lv +1,<color=#6EDCFF>,Decrease Spirit Cooldown by 20%,<color=#6EDCFF>,Increase the number of Spirits by 35%,<color=#FF76DE>,Increase Spirit Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,Bishop,학파,0 ,<color=#EBEBEB>,"〔Magic Bolt [&] Shield Lv +1〕 @ For each active Shield, ATK is {Amplified} by 〈10%〉 @ 『Shield remains active even when used in Combination Magic.』",<color=#EB96FF>,Guardian Angel Lv +1,<color=#6EDCFF>,Decrease Shield Cooldown by 20%,<color=#6EDCFF>,Increase the maximum number of Shields by 1,<color=#FF76DE>,Decrease Damage Taken by 5% (All Classes),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,Occultist,학파,0 ,<color=#EBEBEB>,"〔Arcane Ray Lv +1〕 @ Every time the character gains [5] levels, Arcane Ray Damage 〈3%〉 is 『added』",<color=#32FFE1>,Arcane Ray Lv +1,<color=#6EDCFF>,Decrease Arcane Ray Cooldown by 20%,<color=#6EDCFF>,Increase the number of Arcane Rays by 35%,<color=#FF76DE>,Increase Arcane Ray Damage by 20% (All Classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
