ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,Empyrean Wrath,조합,417 ,444 ,0 ,<color=#F5F5E1>,The Thunderstorm's explosion covers a wider range but does not expand.,<color=#6EDCFF>,Increase Thunderstorm Damage by 5X,<color=#6EDCFF>,Increase the number of Thunderstorms by 3X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,Stormbringer,4,Thunderstorm strikes instantly.,`,0
2,Telekinetic Sword,조합,381 ,470 ,0 ,<color=#F5F5E1>,Spirit projectiles cut through enemies faster and become longer,<color=#F5F5E1>,"For every [0.15 seconds] reduction in Spirit cooldown, [Damage Multiplier] increases by 〈1〉",<color=#F5F5E1>,"For every [0.15 seconds] reduction in Spirit cooldown, [Attack Count] increases by 〈1〉",<color=#6EDCFF>,Increase Spirit Damage by 3X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,Aura Blade,7,Spirit projectiles have a low chance to greatly amplify their power and are strengthened in proportion to Critical Rate.,`,0
3,Crazed Spray,조합,497 ,382 ,0 ,<color=#F5F5E1>,Energy Bolts split into [4] and fire in all directions,<color=#F5F5E1>,Energy Bolt projectiles continue moving forwards.,<color=#6EDCFF>,Increase Energy Bolt Damage by 10X,<color=#6EDCFF>,Increase the number of Energy Bolts by 3X,<color=#6EDCFF>,Increase Energy Bolt Duration by 30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,Terra Current,조합,517 ,472 ,0 ,<color=#F5F5E1>,Arcane Rays can attack targets in a wider range.,<color=#F5F5E1>,Arcane Rays switch directions every 〈0.5 seconds〉.,<color=#F5F5E1>,Arcane Ray gains 〈1X〉 [Damage Multiplier] for every [1 sec] of duration,<color=#6EDCFF>,Increase Arcane Ray Damage by 4X,<color=#6EDCFF>,Decrease Arcane Ray Cooldown by 50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,War Climate,조합,444 ,507 ,0 ,<color=#F5F5E1>,"Meteor [Cooldown] becomes faster depending on the number of Meteors, @ and they are also created over the same [interval] as its [Cooldown].",<color=#F5F5E1>,Meteor [Cooldown] is also decreased by 〈0 to 80%〉 for each Meteor.,<color=#6EDCFF>,Increase Meteor Damage by 6X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Ground Zero,5,Meteor becomes massive and bombards the entire field.,`,0
6,Demon Equation,조합,371 ,499 ,0 ,<color=#F5F5E1>,Fireballs are launched at the same time in multiple directions @ and the attribute effect 《Big Bang》 will no longer be active.,<color=#6EDCFF>,Increase Fireball Damage by 6.66X,<color=#6EDCFF>,Increase Fireball Penetration by 2,<color=#6EDCFF>,Increase the number of Fireballs by 4X,<color=#FF6464>,Increase Fireball Cooldown by 3.3X,<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,Nemesis,11,Fireball Damage increases with each consecutive explosion.,`,0
7,Frenzy,조합,544 ,366 ,0 ,<color=#F5F5E1>,Flash Shock generates faster and farther,<color=#F5F5E1>,"Casting Count Stacks start at 〈3〉 and reset at 〈7〉; for each cooldown reduction from [5 seconds] to [0.5 seconds], [Casting Count Stack] increases by 〈1〉",<color=#6EDCFF>,Increase Flash Shock Damage by 7X,<color=#6EDCFF>,Decrease Flash Shock Cooldown by 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Berserk,22,"Flash Shock cast count stacks are always maintained at the maximum, @ and the maximum stack count increases in proportion to Critical Rate.",`,0
8,Ghastly Rampage,조합,373 ,390 ,0 ,<color=#F5F5E1>,Fireball [Pierces] all enemies and moves randomly,<color=#F5F5E1>,Fireball explodes with 〈3X〉 power only when it disappears,<color=#F5F5E1>,Fireball Damage increases proportionally to its duration,<color=#F5F5E1>,Fireball [Pierce] value [1] increases [Damage Multiplier] by 〈3〉,<color=#6EDCFF>,Increase Fireball Damage by 4X,<color=#6EDCFF>,Decrease Fireball Cooldown by 33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,Reaction,조합,498 ,409 ,0 ,<color=#F5F5E1>,Energy Bolts are generated in all directions.,<color=#F5F5E1>,"Energy Bolts explode at intervals of 〈0.5 seconds〉, and each explosion increases their power by 〈20%〉.",<color=#6EDCFF>,Increase Energy Bolt Damage by 9X,<color=#FF6464>,Decrease the number of Energy Bolts by 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
10,Vortex,조합,463 ,389 ,0 ,<color=#F5F5E1>,Cyclones are created nearby the character and rotate.,<color=#F5F5E1>,Cyclones gradually [shrink] in size.,<color=#6EDCFF>,Increase Cyclone Damage by 9X,<color=#6EDCFF>,Increase Cyclone Duration by 9X,<color=#6EDCFF>,Decrease Cyclone Cooldown by 50%,<color=#FFFFFF>,`,406 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,9,1095 ,9,1 ,0 ,1 ,0 ,Darkness,10,"Cyclone occasionally manifests in an intensified, unified form.",`,`
11,Breath of Fire,조합,490 ,515 ,0 ,<color=#F5F5E1>,Incineration no longer fires sideways from the character @ but to [five directions] outwards from the character.,<color=#F5F5E1>,Incinerations are created with longer range and at a faster speed.,<color=#6EDCFF>,Increase Incineration Damage by 6X,<color=#6EDCFF>,Increase the number of Incinerations by 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,464 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,6,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
12,Ether Blaze,조합,508 ,488 ,0 ,<color=#F5F5E1>,Each Blizzard explosion splits into 〈2〉.,<color=#6EDCFF>,Increase Blizzard Damage by 8X,<color=#6EDCFF>,Increase Blizzard Size by 20%,<color=#6EDCFF>,Decrease Blizzard Interval by 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,20 ,522 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,아마테라스,0,`,`,`
13,Orbital Strike,조합,417 ,507 ,0 ,<color=#F5F5E1>,Thunderstorms are quickly generated near a set location.,<color=#6EDCFF>,Increase Thunderstorm Damage by 9X,<color=#6EDCFF>,Increase Thunderstorm Size by 30%,<color=#FF6464>,Increase Thunderstorm Cooldown by 30X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,216 ,30 ,220 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,9,1 ,0 ,1 ,0 ,1 ,0 ,익스터미네이션,0,`,`,`
14,Neutron Generation,조합,462 ,391 ,0 ,<color=#F5F5E1>,All Cyclones are [combined] into one.,<color=#F5F5E1>,"Cyclones no longer fire projectiles, @ but rapidly [expand] and their speed decreases gradually.",<color=#F5F5E1>,Each Cyclone increases the [Size] of the new Cyclone by 〈25%〉.,<color=#6EDCFF>,Increase Cyclone Damage by 10X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,Omega,10,"Cyclone Duration is converted into Damage, and it explodes upon expiration.",`,`
15,Winter Storm,조합,506 ,372 ,0 ,<color=#F5F5E1>,Blizzard explosions [expand].,<color=#6EDCFF>,Increase Blizzard Damage by 8X,<color=#6EDCFF>,Increase Blizzard Size by 25%,<color=#FF6464>,Decrease the number of Blizzards by 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,25 ,515 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
16,Plasma Ray,조합,516 ,391 ,0 ,<color=#F5F5E1>,"Arcane Ray is [Fixed] at 〈4〉 and becomes [Permanent]; for each [1-second] reduction from [4 seconds] cooldown, 〈1〉 [Ray] is added",<color=#F5F5E1>,Arcane Ray [Size] and [Duration] are {converted} into [Damage],<color=#F5F5E1>,Arcane Ray deals damage every 〈0.25 seconds〉,<color=#6EDCFF>,Arcane Ray Damage Multiplier increases by 1 per count,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Quantum Laser,9,Arcane Ray increases in power and rotates faster in proportion to the number of active rays.,`,`
17,Lightning Bolts,조합,416 ,470 ,0 ,<color=#F5F5E1>,〈5〉 Thunderstorms are created in a row at random locations.,<color=#F5F5E1>,Each Thunderstorm increases the new Thunderstorm's [Creation Radius] and [Number] by 〈30%〉.,<color=#6EDCFF>,Increase Thunderstorm Damage by 12X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Death Storm,4,Thunderstorm increases its consecutive cast count and is generated faster.,`,`
18,Photon Explosion,조합,409 ,35 ,0 ,<color=#F5F5E1>,The Shield explodes instead of charging up.,<color=#F5F5E1>,[Damage] and [Size] of Shields increase by 〈33%〉 per Shield,<color=#F5F5E1>,[Damage] increases in relation to [All Magic Size Increase],<color=#6EDCFF>,Decrease Shield Cooldown by 70%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,233 ,70 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
19,Inferno,조합,488 ,533 ,0 ,<color=#F5F5E1>,Incineration generates faster and increases [Max Multiplier],<color=#EB96FF>,"(Max Multiplier: Damage X30, Size X2)",<color=#6EDCFF>,Decrease Incineration Cooldown by 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,472 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Inquisitor,23,Incineration erupts explosively in an instant.,`,`
20,Lightning Calibration,조합,425 ,390 ,0 ,<color=#F5F5E1>,Electric Zones rotate around the character as multiple [projectiles].,<color=#F5F5E1>,Electric Zones no longer have a [Damage Interval] but have increased [Rotation Speed].,<color=#6EDCFF>,Increase Electric Zone Damage by 10X,<color=#6EDCFF>,Increase Electric Zone Size by 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,293 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,10,1 ,0 ,1 ,0 ,1 ,0 ,템페스터,0,감전지대가 더 많은 투사체를 생성하고 더 강해진다.,`,`
21,Furnace,조합,535 ,443 ,0 ,<color=#F5F5E1>,Lava Zones gradually [expand].,<color=#F5F5E1>,[Damage] increases in relation to Lava Zone’s duration.,<color=#6EDCFF>,Increase Lava Zone Damage by 10X,<color=#6EDCFF>,Increase Lava Zone Duration by 30%,<color=#6EDCFF>,Decrease Lava Zone Cooldown by 30%,<color=#FFFFFF>,`,585 ,30 ,590 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1281 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
22,Current Overload,조합,470 ,382 ,0 ,<color=#F5F5E1>,"Electric Shocks no longer chain, but are created 〈3 to 7 times〉 in a row.",<color=#F5F5E1>,Electric Shock has longer [range].,<color=#6EDCFF>,Increase Electric Shock Damage by 8X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
23,Great Flood,조합,435 ,461 ,0 ,<color=#F5F5E1>,〈2〉 additional Tsunamis are created on each side of the Tsunami.,<color=#F5F5E1>,Tsunamis are always created at the back of the character.,<color=#6EDCFF>,Increase Tsunami Damage by 8X,<color=#FF6464>,Increase Tsunami Cooldown by 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,260 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,951 ,8,1 ,0 ,1 ,0 ,1 ,0 ,Mega Tsunami,17,Tsunami occurs simultaneously across a wide area.,`,`
24,Snowflake Blossom,조합,399 ,434 ,0 ,<color=#F5F5E1>,"Frost Nova explodes consecutively 〈24 times〉 near enemies, reducing [Damage] and [Size] by 〈2%〉 per explosion",<color=#6EDCFF>,Increase Frost Nova Damage by 24X,<color=#6EDCFF>,Decrease Frost Nova Cooldown by 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,378 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,24,1 ,0 ,1 ,0 ,1 ,0 ,Zero Nova,3,Frost Nova explosions are generated rapidly in large quantities.,`,`
25,Ruler of Storms,조합,461 ,366 ,0 ,<color=#F5F5E1>,〈3〉 Cyclones are created in a row in multiple directions.,<color=#F5F5E1>,The Cyclones’ [Movement Speed] increases and then decreases gradually.,<color=#6EDCFF>,Increase Cyclone Damage by 10X,<color=#6EDCFF>,Increase Cyclone Size by 20%,<color=#FF6464>,Decrease Cyclone Duration by 50%,<color=#FFFFFF>,`,397 ,20 ,396 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
26,Overmind,조합,31 ,526 ,0 ,<color=#F5F5E1>,Only [Combined Spells] can be cast,<color=#F5F5E1>,"For each level of acquired [Active Magic], the following stats are enhanced",<color=#FF76DE>,Amplify ATK by 1.5%,<color=#64FF32>,Increase All Magic Size by 0.5%,<color=#64FF32>,Decrease All Magic Cooldown by 0.3%,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
27,Perpetual Engine,조합,524 ,31 ,0 ,<color=#F5F5E1>,Magic Circles are [permanent].,<color=#F5F5E1>,The Magic Circle’s [Effect] is increased by 〈1%〉 for every [3%] of its Duration.,<color=#F5F5E1>,The Magic Circle’s [Effect] is increased by 〈1%〉 for every [3%] of its Cooldown Decrease.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
28,Gate of Creation,조합,31 ,525 ,0 ,<color=#F5F5E1>,"For each activated [Combination Magic], [ATK] is {Amplified} by 〈20%〉.",<color=#F5F5E1>,Gain 〈2〉 more [Magic Combination] chance.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,35 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
29,Origin Explosion,조합,499 ,373 ,0 ,<color=#F5F5E1>,Energy Bolts immediately [explode] after spreading in all directions.,<color=#F5F5E1>,[Damage] and [Quantity] of Energy Bolts increase based on their duration.,<color=#6EDCFF>,Increase Energy Bolt Damage by 12X,<color=#6EDCFF>,Increase Energy Bolt Explosion Size by 50%,<color=#FF6464>,Increase Energy Bolt Cooldown by 75%,<color=#FFFFFF>,`,494 ,75 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,12,1202 ,50,1 ,0 ,1 ,0 ,Blitz,13,Energy Bolt splits consecutively two times.,`,`
30,Prism Spray,조합,515 ,366 ,0 ,<color=#F5F5E1>,"Instead of creating Arcane Rays on the opposite side, @ they are created [at the same time] in random directions 〈5 times〉 in a row.",<color=#F5F5E1>,The Arcane Ray's [Duration] is {converted} into its [Damage].,<color=#6EDCFF>,Increase Arcane Ray Damage by 7X,<color=#6EDCFF>,Decrease Arcane Ray Cooldown by 25%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,542 ,25 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,7,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
31,Great Rift,조합,400 ,443 ,0 ,<color=#F5F5E1>,Enemies hit by Frost Nova are all [Knocked Back],<color=#F5F5E1>,Frost Nova Damage increases proportionally to its Size,<color=#6EDCFF>,Increase Frost Nova Damage by 10X,<color=#6EDCFF>,Increase Frost Nova Size by 50%,<color=#FF6464>,Increase Frost Nova Cooldown by 50%,<color=#FFFFFF>,`,375 ,50 ,379 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1071 ,10,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
32,Hyperion,조합,391 ,445 ,0 ,<color=#F5F5E1>,An integrated Satellite is additionally generated on the opposite side; its [Damage] is 【20%】 lower but causes {Freeze} on the first hit.,<color=#F5F5E1>,[Damage] increases proportionally to Satellite size.,<color=#6EDCFF>,Increase Satellite Damage Multiplier by 50%,<color=#6EDCFF>,Increase Satellite Rotation Speed by 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,311 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Abaddon,2,"Satellites merge into a single sun, dealing 33% damage to all enemies across the field.",`,`
33,Avatar,조합,367 ,380 ,0 ,<color=#F5F5E1>,Summon 〈3〉 additional [Mirages] that fire Magic Bolts.,<color=#F5F5E1>,Mirages only fire [1] Magic Bolt at a time.,<color=#F5F5E1>,Each Magic Bolt increases [Damage] by 〈33%〉.,<color=#6EDCFF>,Increase Magic Bolt Damage by 9.99X,<color=#6EDCFF>,Decrease Magic Bolt Cooldown by 33%,<color=#FFFFFF>,`,158 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,851 ,999,1 ,0 ,1 ,0 ,1 ,0 ,Equilibrium,1,Doppelganger creates 3 additional clones.,`,`
34,Heart of Lightning,조합,470 ,497 ,0 ,<color=#F5F5E1>,"Every time Electric Shock is chained, the projectile splits in 〈2〉 @ and their [Damage] and [Size] is decreased by 【20%】.",<color=#F5F5E1>,Electric Shock is [chained] at a higher speed.,<color=#6EDCFF>,Increase Electric Shock Damage by 8X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1121 ,8 ,1 ,0 ,1 ,0 ,1 ,0 ,Arc,12,Electric Shock is enhanced; projectiles no longer split during chains but do not lose power.,`,`
35,Great Impact,조합,445 ,507 ,0 ,<color=#F5F5E1>,"Meteor is generated consecutively 〈3 times〉, and the first Meteor's [Power] is increased by 〈50%〉.",<color=#6EDCFF>,Increase Meteor Damage by 12X,<color=#6EDCFF>,Decrease Meteor Cooldown by 30%,<color=#FF6464>,Decrease Meteor Size by 30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,327 ,30 ,325 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,12,1 ,0 ,1 ,0 ,1 ,0 ,Giant Impact,5,"Meteor Fall unifies into a single impact, stunning all nearby enemies upon explosion.",`,`
36,Frozen Heart,조합,427 ,399 ,0 ,<color=#F5F5E1>,Electric Zone briefly [Freezes] enemies,<color=#F5F5E1>,Each activation of Electric Zone increases [Damage] and [Size] multiplier by 〈1〉 and resets at 〈4〉 activations,<color=#6EDCFF>,Increase Electric Zone Damage by 20X,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,991 ,20,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
