ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,Start Game,Load,Class,Enter Area,Research,Test Subject,Shop,Settings,Save,Encyclopedia,Diary,Would you like to quit the game?,Current Level,Owned Magic,Survival Record,Normal,HP,Damage
2,Research,Would you like to continue from where you left?,Select a Class,Gold Acquisition,Select Research,Select a Test Subject,Uninstalling the game will also remove your data.@Use the Google Cloud Save/Load function in the Options screen.,Language,Save your data to Google Cloud.,Diary,Situation Notes,Quit,Time Survived,Owned Artifact,Experiment Successful,Rare,HP Regen per sec,Damage Interval
3,Test Subject,Confirm,Selected,Will you enter the zone?,Purchase Research Points,Select,Gold,Sound,Yes,Magic,Experiment Notes,Return,Enemies killed,You own this artifact.,Experiment Failed,Epic,Damage Taken,Launch Speed
4,Shop,Cancel,Mastery,Pay,Research Complete,Applying,Gem,ON,No,Combination,Unlock Region,Would you like to give up? @ You will move to the Results screen.,Resume Game,Return,Combat Record,Special,Evasion,Launch Interval
5,Options,Restore Gold,Master,Infinite Mode,You will purchase a Research Point.,ㅁ Test Subject,Salvation,OFF,Load,Artifact,Gold,Give Up,Give Up,Select Magic,Special Effect,Legendary,Movement Speed,Explosion Range
6,Encyclopedia,You will receive the Gold you obtained @ as the previous game session did not end properly.,`,Hard Mode,Research,ㅁ Class,Remove all in-game Ads,Joystick,Load your data from Google Cloud.,Return,Confirm,Return,Quit Game,Mana,Confirm,`,Critical Strike Rate,Size
7,Diary,Gold Acquisition: ,`,(Hard),Revert,`,Additional Support,Fixed,Yes,Obtain Artifacts in this area,Cloud Save,`,Character Level,Retrieve,`,`,Crit. Multiplier,Duration
8,Rank,Confirm,`,`,Research Points,`,2X Area Gold Acquisition,Tap,No,Obtain Specializations in this area,Save your progress to Google Cloud @ Continue playing on other devices.,`,Gold,Mana Retrieval no longer possible,`,Normal Artifact,ATK,Number
9,`,`,`,`,`,`,Research Material,Left,Processing...,2 Magic Combinations,Save Now,`,Cells Obtained,Select Artifact,`,Rare Artifact,All Magic Damage (Decrease),Cooldown
10,`,`,`,`,`,`,Acquire a random Class.,Center,Network Error,All passive spells,Hard Mode,`,Experiment Progress,Select the desired Artifact,`,Epic Artifact,Amplify ATK,Amplication Effect
11,Countless destructive spells used haphazardly in the decades-long war amongst the mages...,`,`,`,`,`,Research Material,Right,Network connection not detected. @ Please try again or connect to a network,Available only in the 3rd combination,A new difficulty has been unlocked. @ Stronger enemies are approaching.,`,Obtained,Obtain,`,Special Artifact,All Magic Size,Rotation Speed
12,"The remains of those spells seeped into the spirits residing in nature, whose maw now consumes all living beings piece by piece.",`,`,`,`,`,Research Material x10,Joystick Size,Save Successful,You will gain powerful strength.,Load,`,Research Complete,Discard,`,Legendary Artifact,All Magic Duration,`
13,`,`,`,`,`,`,1-time-only,Small,Data saved successfully.,Synergy,If data is saved on Google Cloud @ Use the Load feature.,`,Class Mastery,Discard,`,`,All Magic Cooldown,`
14,`,`,`,`,`,`,Purchase Complete,Medium,Save Failed,Ultimate,Load Now,`,Owned Magic,Select Specialization,`,`,Mana Acquisition,`
15,Life or Death,`,`,`,`,`,Class Obtained,Big,Failed to save data @ as Google Play was not accessible.,Acquire,Purchase Research Points with Gold and enhance your stats,`,Owned Artifact,Select Attribute,`,`,Life Orb HP Recovery,Explosion Damage
16,Die,`,`,`,`,`,Tap to Continue,Google Cloud,Load Successful,Becomes active at level 〈100〉 when the corresponding Combination Magic is learned.,Purchase Classes with Gem and enhance your abilities,`,Owned Magic,Attributes make magic even stronger. @ Select an attribute.,`,`,Item Pickup Range,Explosion Range (Fixed)
17,Revive,`,`,`,`,`,Research Material,SAVE,Data loaded successfully.,Return,Check various Test Subjects that support your abilities,`,Owned Artifact,Learn,`,`,Max HP,`
18,`,`,`,`,`,`,Research Material Draws will <color=#FFEB9B>randomly</color> select Classes from the remaining stacks. @ Each draw will remove the corresponding amount of stacks.,LOAD,Load Failed,You can enhance Combination Magic into an Ultimate @ Check by clicking the top button,Press the button below to proceed,`,Create New Class,No,`,`,All magic damage,Magic Damage
19,Loading resources.,Check your internet connection.,`,`,`,`,Confirm Purchase,Quit the game.,Failed to load data @ as Google Play was not accessible.,Check by clicking the Ultimate icon,`,`,Pause,You can obtain an attribute.,`,`,Enemy Max HP,`
20,Uninstalling the game will also remove your data.,Unable to connect to Google Play Games.,`,`,`,`,`,Load Guide,Load Failed,You can enhance {Combination Magic} into an Ultimate @ Select the appropriate [Specimen] and [School] to reach level 〈100〉,`,`,Character Info,Master,`,`,`,`
21,Use the Google Cloud Save/Load function in the Options screen.,Unable to load leaderboard information.,`,`,`,`,`,Do you really want to load the data?,No save data found on Google Play.,Unlock,`,`,Magic Combination,Unusable,"Increase ATK, Movement Speed",Treasure Chest,`,`
22,`,`,`,`,`,`,`,Data from a previous point in time will be applied.,Return,New {Combination Magic} has been unlocked. @ You can focus on enhancing one spell.,`,`,Unusable,Evade,Invincibility Duration,Relic Chest,`,`
23,Magic Survival,`,`,`,`,`,`,Execute,Load Failed,New {Combination Magic} has been unlocked.,`,`,Learn,s,Increase Item Pickup Range,Black Chest,`,`
24,`,`,`,`,`,`,`,Save Point,Network connection not detected. @ Please restart the game,Damage Formula,`,`,Magic Combination,Attribute Unlock Level,`,Obelisk,`,`
25,`,`,`,`,`,`,`,Effect Transparency,Manual Save Data,Efficiency increases when the three stats are balanced.,`,`,"Learn the magic that meets the requirements @ to obtain Magic Combination chances at levels 〈25, 50, 75〉.",Reroll,`,Broken Obelisk,`,`
26,`,`,`,`,`,`,`,`,Auto Save Data,`,`,`,Return,Usable: ,`,`,`,`
27,`,`,`,`,`,`,`,`,`,`,`,`,Learn the magic that meets the requirements to use Magic Combinations. @ Press the button on the top to see what combinations are possible.,Do not learn.,`,`,`,`
28,`,`,`,`,`,`,`,`,`,`,`,`,Buy,Choose the Magic to strengthen,`,`,`,`
29,`,`,`,`,`,`,`,`,`,`,`,`,Would you like to [Reroll] and change the choices?,Select the product you want to purchase,`,`,`,`
30,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`,`
