ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,魔力弾,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,通常発射体を強化する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,魔力弾のダメージ量50%増加 @ 魔力弾のクールタイム5%減少,<color=#FFFFFF>,《魔力弾の数1増加》^《魔力弾のダメージ量50%増加》^《》^《魔力弾の数1増加》^《魔力弾のダメージ量50%増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,ファイアーボール,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,爆発性の投射体を発射する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,ファイアーボールのダメージ量50%増加 @ ファイアーボールの大きさ10%増加,<color=#FFFFFF>,《ファイアーボールの数1増加》^《ファイアーボールのダメージ量50%増加》^《ファイアーボールの大きさ20%増加》^《ファイアーボールの数1増加》^《ファイアーボールのダメージ量50%増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,精霊,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,攻撃を補助する精霊を召喚する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,精霊のダメージ量50%増加 @ 精霊のクールタイム5%減少,<color=#FFFFFF>,《精霊のダメージ量20%増加 @ 精霊の数1増加》^《精霊のダメージ量20%増加 @ 精霊の数1増加》^《精霊のダメージ量20%増加 @ 精霊の数1増加》^《精霊のダメージ量20%増加 @ 精霊の数1増加》^《精霊のダメージ量20%増加 @ 精霊の数1増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,衛星,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,キャラクターの周辺を回転する衛星を生成する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,衛星のダメージ量50%増加 @ 衛星の回転速度25%増加,<color=#FFFFFF>,《衛星のダメージ量20%増加 @ 衛星の数1増加》^《衛星のダメージ量20%増加 @ 衛星の数1増加》^《衛星のダメージ量20%増加 @ 衛星の数1増加》^《衛星のダメージ量20%増加 @ 衛星の数1増加》^《衛星のダメージ量20%増加 @ 衛星の数1増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,霜柱,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,周辺の敵をしばらく[氷結]させる。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,霜柱のダメージ量50%増加 @ 霜柱の大きさ10%増加,<color=#FFFFFF>,《霜柱の大きさ15%増加》^《霜柱のダメージ量50%増加》^《霜柱のクールタイム15%減少》^《霜柱の大きさ20%増加》^《霜柱のダメージ量50%増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,シールド,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,ダメージを〈1回〉防ぐシールドを生成する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《シールドのクールタイム10%減少》^《シールドのクールタイム10%減少》^《シールドのクールタイム10%減少》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,落雷,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,周辺の敵に落雷が落ちる。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,落雷のダメージ量50%増加 @ 落雷のクールタイム5%減少,<color=#FFFFFF>,《落雷のダメージ量20%増加 @ 落雷の数1増加》^《落雷のダメージ量20%増加 @ 落雷の数1増加》^《落雷のダメージ量20%増加 @ 落雷の数1増加》^《落雷のダメージ量20%増加 @ 落雷の数1増加》^《落雷のダメージ量20%増加 @ 落雷の数1増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,感電地帯,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,周辺の敵に周期的にダメージを与える。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,感電地帯のダメージ量50%増加 @ 感電地帯の大きさ10%増加,<color=#FFFFFF>,《感電地帯の大きさ15%増加》^《感電地帯のダメージ量50%増加》^《感電地帯の大きさ15%増加》^《感電地帯の大きさ20%増加》^《感電地帯のダメージ量50%増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,津波,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,巨大な波が発生してフィールドを横切る.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,津波のダメージ量50%増加 @ 津波のクールタイム5%減少,<color=#FFFFFF>,《津波の数3増加》^《津波のダメージ量50%増加》^《津波のクールタイム15%減少》^《津波の数3増加》^《津波のダメージ量50%増加》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
