ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,配列地,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,研究所外郭の捨てられた都心にあり,環境による精霊の変異過程を分析している。,`,1,召喚戦争,配列地,1 ,`,`,720 ,0 ,2 ,200 ,すべてが満たされた世界。,人々はただの遊びで戦争を起こした。,しかし、戦争は精霊とゴーレムたちだけで行われた。,`,`,`,`,`,`,`,`,`
2,実験室,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,ウィルスの研究が行われている施設で、人為的に精霊変異を,操作し、ウィルスの行動パターンを把握している。,`,2,ホムンクルス,実験室,2 ,`,`,720 ,0 ,3 ,300 ,人間なき戦争は人々の興味を引くことができなかった。,だから自分たちと同じ姿のおもちゃを作り、,彼らを戦争の構成員とした。,`,`,`,`,`,`,`,`,`
3,下水道,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,研究所から出てくる実験廃棄物はすべて焼却し、,残った残骸は化学的処理を行って下水道に排出する。,`,3,汚染,下水道,3 ,`,`,900 ,0 ,4 ,300 ,ホムンクルスたちの戦争は規模が大きく、派手で面白かった。,しかし、消耗戦の中で繰り広げられた無数の破壊魔法は,世界に散在するマナの性質まで汚した。,`,`,`,`,`,`,`,`,`
4,郊外,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,都心の外郭にある道路区域で,物資の輸送が活発に行われていた。,`,4,スウォーム,郊外,4 ,`,`,900 ,0 ,5 ,300 ,世界のあちこちで正体不明の何かが現れ始めた。,それらは生きているすべてを呑み込み、,倒してもどこかで数を増やして戻ってきた。,`,似ている現象をもとに、それらを[スウォーム]と名づけた。,`,`,`,`,`,`,`
5,樹木園,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,研究所の全域を覆っており、休養目的で設計されたため,研究員のための快適な環境が作られている。,`,5,研究,樹木園,5 ,`,`,900 ,0 ,6 ,300 ,次々と現れるスウォームは脅威的だと判断したが,学者たちはその状況をもう一つの遊びとして受け入れた。,`,`,`,`,`,`,`,`,`,`
6,アカデミー,開始レベル+10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,研究員たちの学問修養のために設立された施設で,様々な魔法と知識に出会える。,`,6,分類,アカデミー,6 ,`,`,900 ,0 ,7 ,300 ,スウォームの根源がマナだという事が確認された。,マナで作られたので精霊に分類したが、,刺激に反応し、自己複製して成長するその習性が,まるでウィルスのようだった。,`,`,`,`,`,`,`,`
7,発電所,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,実験の規模が大きくなったので、よりスムーズな電力供給のため,研究所の近くに大規模な発電団地を建設した。,`,7,マナの玉,発電所,7 ,`,`,1080 ,0 ,8 ,400 ,スウォームから得た抽出物を再利用して作った物質は,予想以上に効果的なマナの受給源となった。,`,`,`,`,`,`,`,`,`,`
8,培養室,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,分析されたウィルスを人為的に製造する区域で,厳しく統制されている。,`,8,魔人,培養室,8 ,`,`,1080 ,0 ,9 ,400 ,スウォームは刺激のみで成長する事が明らかになった。,目標物の対応レベルが脅威的だと判断すると,より攻撃的な形へ変異を起こすこともあった。,`,`,`,`,`,`,`,`,`
9,貯水池,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,大規模な用水を供給するために湖団地を改良して作った施設で,規模がだんだん大きくなり、都市と繋がった。,`,9,敵,貯水池,9 ,`,`,1080 ,0 ,10 ,400 ,スウォームの潜在力を引き出すため、互角の相手が必要だった。,もう犯罪者たちは相手にならなかったため、,ホムンクルスたちを多数投入することにした。,`,`,`,`,`,`,`,`,`
