ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,蒼天の怒り,조합,417 ,444 ,0 ,<color=#F5F5E1>,落雷の爆発半径が広くなる代わりに、拡張しない。,<color=#6EDCFF>,落雷のダメージ量5倍増加,<color=#6EDCFF>,落雷の数3倍増加,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,ストームブリンガー,4,落雷が瞬時に落ちる。,`,0
2,以気御剣,조합,381 ,470 ,0 ,<color=#F5F5E1>,精霊の弾が敵をより速く斬り、長くなる。,<color=#F5F5E1>,精霊のクールタイムが[0.15秒]減少するたびに[ダメージ量倍率]が〈1〉増加する。,<color=#F5F5E1>,精霊のクールタイムが[0.15秒]減少するたびに[攻撃回数]が〈1〉増加する。,<color=#6EDCFF>,精霊のダメージ量3倍増加,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,オーラブレード,7,精霊の投射体は低確率で威力が極大化し、クリティカル率に比例して強化される。,`,0
3,光弾乱射,조합,497 ,382 ,0 ,<color=#F5F5E1>,エネルギー弾が[4回]に分かれて四方に発射される。,<color=#F5F5E1>,エネルギー弾投射体が前へ進み続ける。,<color=#6EDCFF>,エネルギー弾のダメージ量10倍増加,<color=#6EDCFF>,エネルギー弾の個数3倍増加,<color=#6EDCFF>,エネルギー弾の持続時間30%増加,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,テラ電流,조합,517 ,472 ,0 ,<color=#F5F5E1>,ビジョン光線の攻撃半径が広くなる。,<color=#F5F5E1>,ビジョン光線が〈0.5秒〉間隔で他の方向に切り替わる。,<color=#F5F5E1>,ビジョン光線の持続時間〈1秒〉ごとに[ダメージ量倍率]が〈1〉増加する。,<color=#6EDCFF>,ビジョン光線のダメージ量4倍増加,<color=#6EDCFF>,ビジョン光線のクールタイム50%減少,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,戦争気候,조합,444 ,507 ,0 ,<color=#F5F5E1>,隕石落下の[クールタイム]が数に比例して速くなり @ [生成間隔]が[クールタイム]と同じになる。,<color=#F5F5E1>,隕石落下が生成されるたびに[クールタイム]が〈0~80%〉減少して適用される。,<color=#6EDCFF>,隕石落下のダメージ量6倍増加,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,グラウンドゼロ,5,隕石落下が巨大化し、フィールド全域を爆撃する。,`,0
6,デーモンの方程式,조합,371 ,499 ,0 ,<color=#F5F5E1>,ファイアーボールが四方へ同時に発射され、 @ 《大爆発》特性の効果が消える。,<color=#6EDCFF>,ファイアーボールのダメージ量6.66倍増加,<color=#6EDCFF>,ファイアーボールの貫通力2増加,<color=#6EDCFF>,ファイアーボールの数4倍増加,<color=#FF6464>,ファイアーボールのクールタイム3.3倍増加,<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,ネメシス,11,ファイアーボールは爆発を重ねるごとに威力が増加する。,`,0
7,フレンジー,조합,544 ,366 ,0 ,<color=#F5F5E1>,閃光ショックがより長く速く生成される。,<color=#F5F5E1>,詠唱回数の重複が〈3回〉から始まり、〈7回〉で[リセット]され、クールタイムが[5秒]から[0.5秒]減少するたびに[詠唱回数の重複]が〈1〉増加する。,<color=#6EDCFF>,閃光ショックのダメージ量7倍増加,<color=#6EDCFF>,閃光ショックのクールタイム50%減少,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,ベルセルク,22,閃光ショックの詠唱回数の重複が常に最大に維持され、@ クリティカル率に比例して最大重複回数が増加する。,`,0
8,百鬼夜行,조합,373 ,390 ,0 ,<color=#F5F5E1>,ファイアーボールがすべての敵を[貫通]し、ランダムに移動する。,<color=#F5F5E1>,ファイアーボールが消滅する時のみ〈3倍〉の威力で[爆発]する。,<color=#F5F5E1>,ファイアーボールの持続時間に比例して[ダメージ量]が増加する。,<color=#F5F5E1>,ファイアーボールの貫通力[1]ごとに[ダメージ量倍率]が〈3〉増加する。,<color=#6EDCFF>,ファイアーボールのダメージ量4倍増加,<color=#6EDCFF>,ファイアーボールのクールタイム33%減少,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,反作用,조합,498 ,409 ,0 ,<color=#F5F5E1>,エネルギー弾が四方に生成される。,<color=#F5F5E1>,エネルギー弾が〈0.5秒〉間隔で爆発し、爆発するたびに威力が〈20%〉上昇する。,<color=#6EDCFF>,エネルギー弾のダメージ量9倍増加,<color=#FF6464>,エネルギー弾の数50%減少,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
10,ボルテックス,조합,463 ,389 ,0 ,<color=#F5F5E1>,つむじ風がキャラクターの近くに生成されて回転する。,<color=#F5F5E1>,つむじ風の大きさが徐々に[小さく]なる。,<color=#6EDCFF>,つむじ風のダメージ量9倍増加,<color=#6EDCFF>,つむじ風の持続時間9倍増加,<color=#6EDCFF>,つむじ風のクールタイム50%減少,<color=#FFFFFF>,`,406 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,9,1095 ,9,1 ,0 ,1 ,0 ,ダークネス,10,つむじ風が間欠的に極大化した形で統合され発現する。,`,`
11,火の息,조합,490 ,515 ,0 ,<color=#F5F5E1>,焼却が両側に発射される代わりに @ キャラクターを中心に[5方向]へ発射される。,<color=#F5F5E1>,焼却がより早く、遠くまで生成される。,<color=#6EDCFF>,焼却のダメージ量6倍増加,<color=#6EDCFF>,焼却の数30%増加,<color=#FFFFFF>,`,<color=#FFFFFF>,`,464 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,6,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
12,エーテル放火,조합,508 ,488 ,0 ,<color=#F5F5E1>,吹雪が爆発するたびに爆発が〈2個〉に分かれる。,<color=#6EDCFF>,吹雪のダメージ量8倍増加,<color=#6EDCFF>,吹雪の大きさ20%増加,<color=#6EDCFF>,吹雪の生成間隔30%減少,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,20 ,522 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,아마테라스,0,`,`,`
