ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,ゲームスタート,ロード,クラス,区域進入,研究,実験体,ショップ,設定,セーブする,図鑑,日誌,ゲームを終了しますか？,現在レベル,保有魔法,最高生存時間,ノーマル,HP,ダメージ量
2,研究,前回の続きからプレイしますか？,好きなクラスを選択してください。,ゴールド獲得量,好きな研究を選択,好きな実験体を選択してください。,ゲームを削除するとデータも消えます。 @ オプションウィンドウでGoogleクラウドセーブ、ロード機能を活用してください。,言語,Googleクラウドにデータをセーブします。,日誌,状況記録,終了する,生存時間,保有アーティファクト,実験成功,レア,毎秒HP回復率,ダメージ発生間隔
3,実験体,はい,選択完了,このエリアに入りますか？,研究ポイント購入,選択する,ゴールド,サウンド,実行,魔法,実験記録,戻る,敵退治回数,現在保有中のアーティファクトです。,実験失敗,エピック,受けるダメージ量,発射速度
4,ショップ,いいえ,熟練度,ゴールドを払う,研究完了,適用中,ジェム,ON,キャンセル,融合,区域解放,ゲームをリタイアしますか？ @ 結果ウィンドウに移動します。,ゲーム再開,戻る,戦闘記録,スペシャル,回避率,発射間隔
5,オプション,ゴールド復旧,Master,無限モード,研究ポイントを購入します。,ㅁ 実験体,救援,OFF,ロード,アーティファクト,ゴールド,リタイア,ゲームリタイア,魔法選択,特殊効果,レジェンド,移動速度,爆発範囲
6,図鑑,前回のプレイが正常に終了しなかったため、 @ 獲得したゴールドを受け取ります。,`,ハードモード,研究,ㅁ クラス,ゲーム内のすべての広告削除,ジョイスティック,Googleクラウドにセーブされたデータをロードします。,戻る,確認,戻る,ゲーム終了,マナ,OK,`,クリティカル率,大きさ
7,日誌,ゴールド獲得量： ,`,(ハード),回収,`,追加支援,固定,実行,区域でアーティファクトを獲得してください,クラウド保存,`,キャラクターレベル,回収,`,`,クリティカル倍率,持続時間
8,ランキング,OK,`,`,研究ポイント,`,区域ゴールド獲得量x2,タッチ,キャンセル,区域で特化を習得してください,これまでの進行状況をGoogleクラウドに保存してください @ 他の端末でも続けてプレイできます。,`,ゴールド,これ以上マナ回収不可,`,ノーマルアーティファクト,攻撃力,個数
9,`,`,`,`,`,`,研究資料,左,処理中です…,融合魔法2個,今すぐ保存,`,細胞獲得量,アーティファクト選択,`,レアアーティファクト,すべての魔法ダメージ量(減少),クールタイム
