ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,마력탄,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,기본 발사체를 강화한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,마력탄 피해량 50% 증가 @ 마력탄 쿨타임 5% 감소,<color=#FFFFFF>,《마력탄 개수 1 증가》^《마력탄 피해량 50% 증가》^《》^《마력탄 개수 1 증가》^《마력탄 피해량 50% 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,화염구,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,폭발성 투사체를 발사한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,화염구 피해량 50% 증가 @ 화염구 크기 10% 증가,<color=#FFFFFF>,《화염구 개수 1 증가》^《화염구 피해량 50% 증가》^《화염구 크기 20% 증가》^《화염구 개수 1 증가》^《화염구 피해량 50% 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,정령,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,공격을 보조하는 정령을 소환한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,정령 피해량 50% 증가 @ 정령 쿨타임 5% 감소,<color=#FFFFFF>,《정령 피해량 20% 증가 @ 정령 개수 1 증가》^《정령 피해량 20% 증가 @ 정령 개수 1 증가》^《정령 피해량 20% 증가 @ 정령 개수 1 증가》^《정령 피해량 20% 증가 @ 정령 개수 1 증가》^《정령 피해량 20% 증가 @ 정령 개수 1 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,위성,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,캐릭터 주변을 회전하는 위성을 생성한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,위성 피해량 50% 증가 @ 위성 회전속도 25% 증가,<color=#FFFFFF>,《위성 피해량 20% 증가 @ 위성 개수 1 증가》^《위성 피해량 20% 증가 @ 위성 개수 1 증가》^《위성 피해량 20% 증가 @ 위성 개수 1 증가》^《위성 피해량 20% 증가 @ 위성 개수 1 증가》^《위성 피해량 20% 증가 @ 위성 개수 1 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,서릿발,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,주변 적을 잠시 [빙결]시킨다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,서릿발 피해량 50% 증가 @ 서릿발 크기 10% 증가,<color=#FFFFFF>,《서릿발 크기 15% 증가》^《서릿발 피해량 50% 증가》^《서릿발 쿨타임 15% 감소》^《서릿발 크기 20% 증가》^《서릿발 피해량 50% 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,보호막,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,피해를 〈1회〉 막는 보호막을 생성한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《보호막 쿨타임 10% 감소》^《보호막 쿨타임 10% 감소》^《보호막 쿨타임 10% 감소》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,낙뢰,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,주변 적에게 낙뢰가 내리친다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,낙뢰 피해량 50% 증가 @ 낙뢰 쿨타임 5% 감소,<color=#FFFFFF>,《낙뢰 피해량 20% 증가 @ 낙뢰 개수 1 증가》^《낙뢰 피해량 20% 증가 @ 낙뢰 개수 1 증가》^《낙뢰 피해량 20% 증가 @ 낙뢰 개수 1 증가》^《낙뢰 피해량 20% 증가 @ 낙뢰 개수 1 증가》^《낙뢰 피해량 20% 증가 @ 낙뢰 개수 1 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,감전지대,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,주변 적에게 주기적으로 피해를 준다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,감전지대 피해량 50% 증가 @ 감전지대 크기 10% 증가,<color=#FFFFFF>,《감전지대 크기 15% 증가》^《감전지대 피해량 50% 증가》^《감전지대 크기 15% 증가》^《감전지대 크기 20% 증가》^《감전지대 피해량 50% 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,해일,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,거대한 파도를 일으켜 필드를 가로지른다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,해일 피해량 50% 증가 @ 해일 쿨타임 5% 감소,<color=#FFFFFF>,《해일 개수 3 증가》^《해일 피해량 50% 증가》^《해일 쿨타임 15% 감소》^《해일 개수 3 증가》^《해일 피해량 50% 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
10,운석 낙하,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,무작위 지점으로 운석을 떨어뜨린다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,운석 낙하 피해량 50% 증가 @ 운석 낙하 쿨타임 5% 감소,<color=#FFFFFF>,《운석 낙하 개수 1 증가》^《운석 낙하 피해량 50% 증가》^《운석 낙하 크기 20% 증가》^《운석 낙하 개수 1 증가》^《운석 낙하 피해량 50% 증가》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,323 ,1 ,321 ,50 ,324 ,20 ,323 ,1 ,321 ,50 ,1 ,0 ,321 ,50 ,327 ,5 ,`,`
