ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,배열지,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,연구소 외곽의 버려진 도심에 위치해있으며,환경에 따른 정령 변이 과정을 분석하고 있다.,`,1,소환전쟁,배열지,1 ,`,`,720 ,0 ,2 ,200 ,모든것이 충족된 세상.,사람들은 오로지 유희를 위해 전쟁을 일으켰다.,그러나 전쟁은 정령과 골렘들로만 이뤄졌다.,`,`,`,`,`,`,`,`,`
2,실험실,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,바이러스 연구가 이뤄지는 시설로 인위적으로 정령 변이를,조작하여 바이러스의 행동 패턴을 파악하고있다.,`,2,호문쿨루스,실험실,2 ,`,`,720 ,0 ,3 ,300 ,인간이 배제된 전쟁은 큰 흥미를 이끌지 못했다.,그래서 자신들의 모습을 딴 장난감을 만들었고,전쟁의 구성원은 그것들로 채워나갔다.,`,`,`,`,`,`,`,`,`
3,하수도,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,연구소에서 나오는 실험 폐기물들은 모두 소각시키며,남은 잔해들은 화학처리를 거쳐 하수도로 배출시킨다.,`,3,오염,하수도,3 ,`,`,900 ,0 ,4 ,300 ,호문쿨루스들의 전쟁은 규모가 크며 화려하고 재미있었다.,그러나 소모적인 전쟁속에 펼쳐진 무수한 파괴 마법들은,세상에 산재한 마나의 성질마저 더럽히고 있었다.,`,`,`,`,`,`,`,`,`
4,교외,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,도심 외곽에 위치한 도로구역으로,물자수송이 활발히 이뤄졌었다.,`,4,스웜,교외,4 ,`,`,900 ,0 ,5 ,300 ,세계 곳곳에 정체모를 무언가가 나타나기 시작했다.,이들은 살아있는 모든것을 잡아먹었으며,처리를 해도 어디선가 그 수가 불어난 상태로 돌아왔다.,`,유사한 현상을 토대로 이들을 [″스웜″]이라 칭했다.,`,`,`,`,`,`,`
5,수목원,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,연구소 전역을 둘러싸고 있으며 휴양을 목적으로 설계되어,연구원들을 위한 쾌적한 환경이 조성되어 있다.,`,5,연구,수목원,5 ,`,`,900 ,0 ,6 ,300 ,끊임없이 생겨나는 스웜은 위협적이라 판단했지만,학자들은 그 상황을 또 다른 유희로 받아들였다.,`,`,`,`,`,`,`,`,`,`
6,아카데미,시작레벨 +10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,연구원들의 학문수양을 위해 설립된 시설로,다양한 마법과 지식을 접할 수 있다.,`,6,분류,아카데미,6 ,`,`,900 ,0 ,7 ,300 ,스웜의 근원이 마나로 부터 비롯되었음을 확인하였다.,마나로 형성된 피조물이기에 정령으로 분류했지만,자극에 따라 자가 복제를 하며 성장하는 그 습성이,마치 바이러스와도 같았다.,`,`,`,`,`,`,`,`
7,발전소,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,실험 규모가 커지면서 보다 원활한 전력 공급을 위해,연구소 인근에 대규모 발전단지를 건설하였다.,`,7,마나 구슬,발전소,7 ,`,`,1080 ,0 ,8 ,400 ,스웜 추출물을 재활용하여 만들어진 물질은,예상보다 효과적인 마나 수급원이 되었다.,`,`,`,`,`,`,`,`,`,`
8,배양실,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,분석된 바이러스들을 인위적으로 제조하는 구역으로,엄격한 통제가 이뤄지고 있다.,`,8,마인,배양실,8 ,`,`,1080 ,0 ,9 ,400 ,스웜은 자극을 통해서만 성장하는 것으로 밝혀졌다.,목표물의 대응수준이 위협적이라 판단되면,보다 공격적인 형태로 변이를 일으키기도 했다.,`,`,`,`,`,`,`,`,`
9,저수지,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,대규모 용수를 공급하기 위해 호수 단지를 개량해 만든 시설로,규모를 점차 키우면서 도시와도 연결되었다.,`,9,적,저수지,9 ,`,`,1080 ,0 ,10 ,400 ,스웜의 잠재력을 끌어 올리기 위한 적당한 상대가 필요했다.,더 이상 범죄자들은 그것들의 적수가 되지 못했기에,호문쿨루스들을 대거 투입하기로 했다.,`,`,`,`,`,`,`,`,`
