ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,창공의 분노,조합,417 ,444 ,0 ,<color=#F5F5E1>,낙뢰 폭발 반경이 넓어지는 대신 확장하지 않는다.,<color=#6EDCFF>,낙뢰 피해량 5배 증가,<color=#6EDCFF>,낙뢰 개수 3배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,스톰브링어,4,낙뢰가 순간적으로 내리꽂힌다.,`,0
2,이기어검,조합,381 ,470 ,0 ,<color=#F5F5E1>,정령 투사체가 적을 더 빨리 베어내고 길이가 길어진다.,<color=#F5F5E1>,정령 쿨타임이 [0.15초] 감소할 때마다 [피해량 배수]가 〈1〉 증가한다.,<color=#F5F5E1>,정령 쿨타임이 [0.15초] 감소할 때마다 [공격 횟수]가 〈1〉 증가한다.,<color=#6EDCFF>,정령 피해량 3배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,오러 블레이드,7,"정령 투사체는 낮은 확률로 위력이 극대화되며, 치명타율에 비례해 강화된다.",`,0
3,광탄난사,조합,497 ,382 ,0 ,<color=#F5F5E1>,에너지탄이 [4번]으로 나뉘어 사방으로 발사한다.,<color=#F5F5E1>,에너지탄 투사체가 앞으로 계속 나아간다.,<color=#6EDCFF>,에너지탄 피해량 10배 증가,<color=#6EDCFF>,에너지탄 개수 3배 증가,<color=#6EDCFF>,에너지탄 지속시간 30% 증가,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,테라 전류,조합,517 ,472 ,0 ,<color=#F5F5E1>,비전 광선의 공격 반경이 넓어진다.,<color=#F5F5E1>,비전 광선이 〈0.5초〉 간격으로 다른 방향으로 전환한다.,<color=#F5F5E1>,비전 광선 지속시간 〈1초〉당 [피해량 배수]가 〈1〉 증가한다.,<color=#6EDCFF>,비전 광선 피해량 4배 증가,<color=#6EDCFF>,비전 광선 쿨타임 50% 감소,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,전쟁 기후,조합,444 ,507 ,0 ,<color=#F5F5E1>,운석 낙하 [쿨타임]이 개수에 비례하여 빨라지고 @ [생성 간격]이 [쿨타임]과 동일해진다.,<color=#F5F5E1>,운석 낙하가 매 생성마다 [쿨타임]이 〈0~ 80%〉 감소 적용된다.,<color=#6EDCFF>,운석 낙하 피해량 6배 증가,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,그라운드 제로,5,"운석 낙하가 거대해지며, 필드 전역을 폭격한다.",`,0
6,데몬 방정식,조합,371 ,499 ,0 ,<color=#F5F5E1>,화염구가 사방으로 동시에 발사하며 @ 《대폭발》 특성 효과가 사라진다.,<color=#6EDCFF>,화염구 피해량 6.66배 증가,<color=#6EDCFF>,화염구 관통력 2 증가,<color=#6EDCFF>,화염구 개수 4배 증가,<color=#FF6464>,화염구 쿨타임 3.3배 증가,<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,네메시스,11,화염구는 폭발을 거듭할수록 위력이 증가한다.,`,0
7,프렌지,조합,544 ,366 ,0 ,<color=#F5F5E1>,섬광 충격이 더 길고 빠르게 생성된다.,<color=#F5F5E1>,시전 횟수 중첩이 〈3회〉부터 시작되어 〈7회〉에서 [초기화]되며 @ 쿨타임이 [5초]에서 [0.5초] 감소할 때마다 [시전 횟수 중첩]이 〈1〉 증가한다.,<color=#6EDCFF>,섬광 충격 피해량 7배 증가,<color=#6EDCFF>,섬광 충격 쿨타임 50% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,베르세르크,22,"섬광충격의 시전 횟수 중첩이 항상 최대치로 유지되며, @ 치명타율에 비례하여 최대 중첩 횟수가 증가한다.",`,0
8,백귀야행,조합,373 ,390 ,0 ,<color=#F5F5E1>,화염구가 모든 적을 [관통]하며 무작위로 이동한다.,<color=#F5F5E1>,화염구가 사라질 때만 〈3배〉 위력으로 [폭발]한다.,<color=#F5F5E1>,화염구 지속시간에 비례해서 [피해량]이 증가한다.,<color=#F5F5E1>,화염구 관통력 [1] 당 [피해량 배수]가 〈3〉 증가한다.,<color=#6EDCFF>,화염구 피해량 4배 증가,<color=#6EDCFF>,화염구 쿨타임 33% 감소,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,반작용,조합,498 ,409 ,0 ,<color=#F5F5E1>,에너지탄이 사방으로 생성된다.,<color=#F5F5E1>,에너지탄이 〈0.5초〉 간격으로 [폭발]을 일으키며 @ 폭발이 일어날 때마다 위력이 〈20%〉 상승한다.,<color=#6EDCFF>,에너지탄 피해량 9배 증가,<color=#FF6464>,에너지탄 개수 50% 감소,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
