ID001,메인 메뉴,자동 저장,학파선택,구역선택,연구,실험체,상점,설정,구글 클라우드,도감,일지,게임종료,전투 인터페이스,전투 정보,전투 기록,아티팩트 등급,전투 능력치,마법 능력치
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain
1,게임시작,불러오기,학파,구역 진입,연구,실험체,상점,설정,저장하기,도감,일지,게임을 종료하시겠습니까?,현재 레벨,보유 마법,최고 생존시간,일반,체력,피해량
2,연구,이전 진행을 계속하시겠습니까?,원하는 학파를 선택하세요,골드 획득량,원하는 연구 선택,원하는 실험체를 선택하십시오,"게임을 삭제하면 데이터도 제거됩니다. @ 옵션창의 구글 클라우드 저장,불러오기 기능을 활용해주세요",언어,구글 클라우드에 데이터를 저장합니다.,일지,상황기록,종료한다,생존시간,보유 아티팩트,실험성공,희귀,초당 체력회복률,피해 간격
3,실험체,확인,선택완료,구역에 진입하시겠습니까?,연구 포인트 구입,선택한다,골드,사운드,실행,마법,실험기록,돌아간다,적 처치횟수,현재 보유중인 아티팩트입니다.,실험실패,영웅,받는 피해량,발사속도
4,상점,취소,숙련도,골드를 납부한다,연구 완료,적용중,보석,ON,취소,조합,구역 개방,게임을 포기하시겠습니까? @ 결과창으로 진입하게 됩니다.,게임 재개,돌아간다,전투 기록,특수,회피율,발사 간격
5,옵션,골드 복구,Master,무한 모드,연구 포인트를 구매합니다.,ㅁ 실험체,구원,OFF,불러오기,아티팩트,골드,포기한다,게임 포기,마법 선택,특수 효과,전설,이동속도,폭발범위
6,도감,이전 진행이 제대로 종료되지 않았기 때문에 @ 획득했던 골드들을 받게됩니다.,`,하드 모드,연구,ㅁ 학파,게임내 모든 광고 제거,조이스틱,구글 클라우드에 저장된 데이터를 불러옵니다.,돌아간다,확인,돌아간다,게임 종료,마나,확인,`,치명타율,크기
7,일지,골드 획득량 : ,`,(하드),회수,`,추가 지원,고정,실행,구역에서 아티팩트를 획득하세요,클라우드 저장,`,캐릭터 레벨,환수,`,`,치명타 배율,지속시간
8,순위,확인,`,`,연구 포인트,`,구역 골드 획득량 x2,터치,취소,구역에서 특화를 습득하세요,지금까지의 진행을 구글 클라우드에 저장해 두세요 @ 다른 기기에서도 이어서 플레이할 수 있습니다.,`,골드,더 이상 마나 환수 불가,`,일반 아티팩트,공격력,개수
9,`,`,`,`,`,`,연구자료,좌측,처리중입니다…,조합 마법 2개,지금 저장하기,`,세포 획득량,아티팩트 선택,`,희귀 아티팩트,모든 마법 피해량(감소),쿨타임
