ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,#REF!
1,Feiticeiro,학파,0 ,<color=#EBEBEB>,"〔Raio Mágico Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Raio Mágico aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Raio Mágico Lv +1,<color=#6EDCFF>,Reduza a recarga de Raio Mágico em 20%,<color=#6EDCFF>,Aumente o número de Raios Mágicos em 1,<color=#FF76DE>,Aumente o dano de Raio Mágico em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 ,`,`
2,Astrônomo,학파,0 ,<color=#EBEBEB>,"〔Satélite Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Satélite aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Satélite Lv +1,<color=#6EDCFF>,Aumente a velocidade de rotação de Satélite em 50%,<color=#6EDCFF>,Aumente o número de Satélites em 35%,<color=#FF76DE>,Aumente o dano de Satélite em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 ,`,`
3,Criomante,학파,0 ,<color=#EBEBEB>,"〔Nova Gélida Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Nova Gélida aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Nova Gélida Lv +1,<color=#6EDCFF>,Reduza a recarga de Nova Gélida em 20%,<color=#6EDCFF>,Aumente o tamanho de Nova Gélida em 25%,<color=#FF76DE>,Aumente o dano de Nova Gélida em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 ,`,`
4,Xamã,학파,0 ,<color=#EBEBEB>,"〔Tempestade Lv +1〕 @ Para cada [5] níveis de personagem, o dano da Tempestade aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Tempestade Lv +1,<color=#6EDCFF>,Reduza a recarga de Tempestade em 20%,<color=#6EDCFF>,Aumente o número de Tempestades em 35%,<color=#FF76DE>,Aumente o dano de Tempestade em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 ,`,`
5,Bruxo,학파,0 ,<color=#EBEBEB>,"〔Meteoro Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Meteoro aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Meteoro Lv +1,<color=#6EDCFF>,Reduza a recarga de Meteoro em 20%,<color=#6EDCFF>,Aumente o número de Meteoros em 1,<color=#FF76DE>,Aumente o dano de Meteoro em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 ,`,`
6,Arcanista,학파,0 ,<color=#EBEBEB>,"〔Raio Mágico Lv +1〕 @ Para cada [1] níveis de personagem, o dano de todas as magias aumenta em 〈1%〉 {adicional} @ Opções de magia são reduzidas em 【1】 e a [Recuperação de Mana] é desabilitada",<color=#32FFE1>,Inteligência Lv +1,<color=#64FF32>,Aumente a aquisição de mana em 10%,<color=#FF76DE>,Amplifique o ataque em 10%,<color=#FF76DE>,Aumente o ataque em 5% (todas as classes),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 ,`,`
7,Invocador,학파,0 ,<color=#EBEBEB>,"〔Espírito Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Espírito aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Espírito Lv +1,<color=#6EDCFF>,Reduza a recarga de Espírito em 20%,<color=#6EDCFF>,Aumente o número de Espíritos em 35%,<color=#FF76DE>,Aumente o dano de Espírito em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 ,`,`
8,Bispo,학파,0 ,<color=#EBEBEB>,"〔Raio Mágico [&] Escudo Lv +1〕 @ Para cada escudo ativo, o [Ataque] é {amplificado} em 〈10%〉 @ 『Escudo permanece ativado mesmo quando é usado em Combinação de Magias.』",<color=#EB96FF>,Anjo Guardião Lv +1,<color=#6EDCFF>,Reduza a recarga de Escudo em 20%,<color=#6EDCFF>,Aumente o número máximo de Escudos em 1,<color=#FF76DE>,Reduza o dano sofrido em 5% (todas as classes),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 ,`,`
9,Ocultista,학파,0 ,<color=#EBEBEB>,"〔Raio Arcano Lv +1〕 @ Para cada [5] níveis de personagem, o dano do Raio Arcano aumenta em 〈3%〉 『Adicional』",<color=#32FFE1>,Raio Arcano Lv +1,<color=#6EDCFF>,Reduza a recarga de Raio Arcano em 20%,<color=#6EDCFF>,Aumente o número de Raios Arcanos em 35%,<color=#FF76DE>,Aumente o dano de Raio Arcano em 20% (todas as classes),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 ,`,`
