ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,Ira Empírea,조합,417 ,444 ,0 ,<color=#F5F5E1>,"A explosão de Tempestade cobre uma área maior, mas não se expande.",<color=#6EDCFF>,Aumente o dano de Tempestade em 5x,<color=#6EDCFF>,Aumente o número de Tempestades em 3x,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,Stormbringer,4,Tempestade cai instantaneamente,`,0
2,Espada Telecinética,조합,381 ,470 ,0 ,<color=#F5F5E1>,Os projéteis do Espírito cortam os inimigos mais rápido e ficam mais longos,<color=#F5F5E1>,"Cada redução de [0,15 segundo] no Tempo de Recarga do Espírito aumenta o [Multiplicador de Dano] em 〈1〉",<color=#F5F5E1>,"Cada redução de [0,15 segundo] no Tempo de Recarga do Espírito aumenta a [Frequência de Ataque] em 〈1〉",<color=#6EDCFF>,Aumente o dano de Espírito em 3x,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,Aura Blade,7,Os projéteis de Espírito têm uma baixa probabilidade de maximizar seu poder e são fortalecidos proporcionalmente à taxa de crítico.,`,0
3,Disparo Enlouquecido,조합,497 ,382 ,0 ,<color=#F5F5E1>,Raios de Energia se dividem em [4] e disparam em todas as direções,<color=#F5F5E1>,Os projéteis de Raio de Energia continuam avançando.,<color=#6EDCFF>,Aumente o dano de Raio de Energia em 10x,<color=#6EDCFF>,Quantidade de Raios de Energia aumenta 3x,<color=#6EDCFF>,Aumente a duração de Raio de Energia em 30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,Corrente da Terra,조합,517 ,472 ,0 ,<color=#F5F5E1>,Raios Arcanos podem atacar alvos em um alcance maior.,<color=#F5F5E1>,"Raios Arcanos trocam de direção a cada 〈0,5 segundos〉.",<color=#F5F5E1>,Raios Arcanos ganham 1x de [Multiplicador de Dano] para cada [1 segundo] de duração,<color=#6EDCFF>,Aumente o dano de Raio Arcano em 4x,<color=#6EDCFF>,Reduza a recarga de Raio Arcano em 50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,Clima de Guerra,조합,444 ,507 ,0 ,<color=#F5F5E1>,"[Recarga] de Meteoro fica mais rápida dependendo do número de Meteoros, @ e eles também são criados no mesmo [intervalo] da [recarga].",<color=#F5F5E1>,[Recarga] de Meteoro também é reduzida em 〈0 a 80%〉 para cada Meteoro.,<color=#6EDCFF>,Aumente o dano de Meteoro em 6x,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Ground Zero,5,Meteoro aumenta de tamanho e bombardeia todo o campo de batalha.,`,0
6,Equação Demoníaca,조합,371 ,499 ,0 ,<color=#F5F5E1>,Bolas de Fogo são lançadas ao mesmo tempo em várias direções @ e o efeito de atributo 《Big Bang》 não estará mais ativo.,<color=#6EDCFF>,"Aumente o dano de Bola de Fogo em 6,66x",<color=#6EDCFF>,Aumente a penetração de Bola de Fogo em 2,<color=#6EDCFF>,Aumente o número de Bolas de Fogo em 4x,<color=#FF6464>,"Aumente a recarga de Bola de Fogo em 3,3x",<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,Nêmesis,11,O poder da Bola de Fogo aumenta a cada explosão consecutiva,`,0
7,Frenesi,조합,544 ,366 ,0 ,<color=#F5F5E1>,Choque Luminoso se gera mais rápido e distante,<color=#F5F5E1>,"Acúmulo de conjuração começa em 〈3 vezes〉 e reinicia em 〈7 vezes〉, aumentando em 〈1〉 para cada redução do Tempo de Recarga de [5 segundos] para [0,5 segundos]",<color=#6EDCFF>,Aumente o dano de Choque Luminoso em 7x,<color=#6EDCFF>,Reduza a recarga de Choque Luminoso em 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Berserk,22,"O acúmulo de conjuração do Choque Luminoso permanece sempre no máximo, @ e o limite máximo de acúmulos aumenta proporcionalmente à Taxa Crítica.",`,0
8,Voracidade Terrível,조합,373 ,390 ,0 ,<color=#F5F5E1>,Bola de Fogo [atravessa] todos os inimigos e se move aleatoriamente,<color=#F5F5E1>,Bola de Fogo explode com 〈3x〉 o poder apenas quando desaparece,<color=#F5F5E1>,[Dano] da Bola de Fogo aumenta proporcionalmente à sua duração,<color=#F5F5E1>,"Para cada ponto de [Penetração] da Bola de Fogo, o [Multiplicador de Dano] aumenta em 〈3〉",<color=#6EDCFF>,Aumente o dano de Bola de Fogo em 4x,<color=#6EDCFF>,Reduza a recarga de Bola de Fogo em 33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,Reação,조합,498 ,409 ,0 ,<color=#F5F5E1>,Os Raios de Energia são gerados em todas as direções,<color=#F5F5E1>,"Os Raios de Energia explodem em intervalos de 〈0,5 segundos〉 e aumentam seu poder em 〈20%〉 a cada explosão",<color=#6EDCFF>,Aumente o dano de Raio de Energia em 9x,<color=#FF6464>,Reduza o número de Raios de Energia em 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
