ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Чародей,학파,0 ,<color=#EBEBEB>,〔Магическая пуля Lv +1〕 @ Урон Магической пули 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Магическая пуля Lv +1,<color=#6EDCFF>,Время перезарядки магических пуль -20%,<color=#6EDCFF>,Число магических пуль +1,<color=#FF76DE>,Урон магических пуль +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,Астроном,학파,0 ,<color=#EBEBEB>,〔Спутник Lv +1〕 @ Урон Спутника 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Спутник Lv +1,<color=#6EDCFF>,Скорость вращения спутников +50%,<color=#6EDCFF>,Число спутников +35%,<color=#FF76DE>,Урон спутников +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,Криомант,학파,0 ,<color=#EBEBEB>,〔Ледяные иглы Lv +1〕 @ Урон Ледяных игл 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Ледяные иглы Lv +1,<color=#6EDCFF>,Время перезарядки ледяных игл -20%,<color=#6EDCFF>,Размер ледяных игл +25%,<color=#FF76DE>,Урон ледяных игл +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,Шаман,학파,0 ,<color=#EBEBEB>,〔Молния Lv +1〕 @ Урон Молнии 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Молния Lv +1,<color=#6EDCFF>,Время перезарядки молний -20%,<color=#6EDCFF>,Число молний +35%,<color=#FF76DE>,Урон молний +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,Чернокнижник,학파,0 ,<color=#EBEBEB>,〔Метеорит Lv +1〕 @ Урон Метеорита 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Метеорит Lv +1,<color=#6EDCFF>,Время перезарядки метеоритов -20%,<color=#6EDCFF>,Число метеоритов +1,<color=#FF76DE>,Урон метеоритов +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,Арканист,학파,0 ,<color=#EBEBEB>,"〔Магическая пуля Lv +1〕 @ Весь магический урон 〈+1%〉 при каждом [1-м] повышении уровня персонажа @ -【1】 выбор магии, нельзя использовать [восстановление маны]",<color=#32FFE1>,Интеллект Lv +1,<color=#64FF32>,Получение маны +10%,<color=#FF76DE>,Приумножение атаки на 10%,<color=#FF76DE>,Атака +5% (для всех классов),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,Призыватель,학파,0 ,<color=#EBEBEB>,〔Дух Lv +1〕 @ Урон Духа 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Дух Lv +1,<color=#6EDCFF>,Время перезарядки духов -20%,<color=#6EDCFF>,Число духов +35%,<color=#FF76DE>,Урон духов +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,Епископ,학파,0 ,<color=#EBEBEB>,"〔Магическая пуля [&] Щит Lv +1〕 @ За каждый активный Щит приумножение атаки на 〈+10%〉 @ 『Щит активируется, даже если используется для [комбинации заклинаний].』",<color=#EB96FF>,Ангел-хранитель Lv +1,<color=#6EDCFF>,Время перезарядки щита -20%,<color=#6EDCFF>,Максимальное число зарядок щитов +1,<color=#FF76DE>,Получаемый урон -5% (для всех классов),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,Мистик,학파,0 ,<color=#EBEBEB>,〔Таинственный луч Lv +1〕 @ Урон Таинственного луча 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Таинственный луч Lv +1,<color=#6EDCFF>,Время перезарядки таинственных лучей -20%,<color=#6EDCFF>,Число таинственных лучей +35%,<color=#FF76DE>,Урон таинственных лучей +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
10,Друид,학파,0 ,<color=#EBEBEB>,〔Вихрь Lv +1〕 @ Урон Вихря 〈+3%〉 при каждом [5-м] повышении уровня персонажа,<color=#32FFE1>,Вихрь Lv +1,<color=#6EDCFF>,Время перезарядки вихря -20%,<color=#6EDCFF>,Число вихрей +1,<color=#FF76DE>,Урон вихря +20% (для всех классов),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,1 ,0 ,1 ,0 ,-12 ,1 ,406 ,20 ,393 ,1 ,391 ,20 ,1 ,0 ,1 ,0 
