ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,Гнев небес,조합,417 ,444 ,0 ,<color=#F5F5E1>,"Радиус взрыва молний увеличивается, но взрывы не расширяются.",<color=#6EDCFF>,Урон молний х5,<color=#6EDCFF>,Число молний х3,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,Штормбрингер,4,Молния обрушивается мгновенно.,`,0
2,Парящие мечи,조합,381 ,470 ,0 ,<color=#F5F5E1>,Снаряды Духа быстрее рассекают врагов и становятся длиннее.,<color=#F5F5E1>,Каждые [0.15 сек.] уменьшения [времени перезарядки] Духа увеличивают [множитель урона] на 〈1〉.,<color=#F5F5E1>,Каждые [0.15 сек.] уменьшения [времени перезарядки] Духа увеличивают [количество атак] на 〈1〉.,<color=#6EDCFF>,Урон духов х3,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,Аура Блейд,7,Снаряды Духа с низкой вероятностью значительно усиливают свою мощь и усиливаются пропорционально шансу критического удара.,`,0
3,Световая стрельба,조합,497 ,382 ,0 ,<color=#F5F5E1>,Энергетическая пуля делится на [4 части] и выстреливает во все стороны,<color=#F5F5E1>,Заряды энергетических пуль непрерывно летят вперед.,<color=#6EDCFF>,Урон энергетических пуль х10,<color=#6EDCFF>,Количество Энергетических пуль х3,<color=#6EDCFF>,Время действия энергетических пуль +30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,Поток Теры,조합,517 ,472 ,0 ,<color=#F5F5E1>,Радиус атаки таинственными лучами увеличивается.,<color=#F5F5E1>,"Таинственные лучи меняют направление с интервалом в 〈0,5 сек.〉",<color=#F5F5E1>,Длительность Таинственных лучей 〈1 секунда〉 увеличивает [урон] на 〈1〉,<color=#6EDCFF>,Урон таинственных лучей х4,<color=#6EDCFF>,Время перезарядки таинственных лучей -50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,Военный климат,조합,444 ,507 ,0 ,<color=#F5F5E1>,[Перезарядка] метеоритов ускоряется пропорционально их количеству. @ [Интервал появления] становится равен [времени перезарядки].,<color=#F5F5E1>,При каждом появлении метеорита [время перезарядки] сокращается на 〈0–80%〉.,<color=#6EDCFF>,Урон метеоритов х6,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Граунд Зеро,5,Падение метеоритов становится огромным и бомбардирует всё поле.,`,0
6,Уравнение демона,조합,371 ,499 ,0 ,<color=#F5F5E1>,"Огненные шары разлетаются сразу во все стороны, @ а свойство 《«Большой взрыв»》 пропадает.",<color=#6EDCFF>,"Урон огненных шаров х6,66",<color=#6EDCFF>,Пробивная сила огненных шаров +2,<color=#6EDCFF>,Число огненных шаров х4,<color=#FF6464>,"Время перезарядки огненных шаров х3,3",<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,Немезис,11,Мощность Огненного шара увеличивается при каждом взрыве.,`,0
7,Безумие,조합,544 ,366 ,0 ,<color=#F5F5E1>,Световая вспышка создаётся длиннее и быстрее.,<color=#F5F5E1>,"Наложение начинается с 〈3〉, сбрасывается на 〈7〉; за каждые 〈4.5 сек.〉 уменьшения [времени перезарядки] [наложение] увеличивается на 〈1〉.",<color=#6EDCFF>,Урон световых вспышек х7,<color=#6EDCFF>,Время перезарядки световых вспышек -50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Берсерк,22,Количество наложений Световой вспышки всегда поддерживается на максимуме. @ Максимальное количество наложений увеличивается пропорционально шансу критического удара.,`,0
8,Пандемониум,조합,373 ,390 ,0 ,<color=#F5F5E1>,Огненный шар [пронзает] всех врагов и движется случайным образом.,<color=#F5F5E1>,Огненный шар взрывается с силой 〈x3〉 только при исчезновении.,<color=#F5F5E1>,[Урон] Огненного шара увеличивается пропорционально его [длительности].,<color=#F5F5E1>,За каждую единицу [пронзающей силы] Огненного шара [множитель урона] увеличивается на 〈3〉.,<color=#6EDCFF>,Урон огненных шаров х4,<color=#6EDCFF>,Время перезарядки огненных шаров -33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,Противодействие,조합,498 ,409 ,0 ,<color=#F5F5E1>,Энергетическая пуля создаётся во всех направлениях.,<color=#F5F5E1>,"Энергетическая пуля взрывается с интервалом 〈0.5 сек.〉, и при каждом взрыве её мощность увеличивается на 〈20%〉.",<color=#6EDCFF>,Урон энергетических пуль х9,<color=#FF6464>,Число энергетических пуль -50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
10,Вихрь,조합,463 ,389 ,0 ,<color=#F5F5E1>,Рядом с персонажем начинает кружить вихрь.,<color=#F5F5E1>,Вихрь постепенно [сужается].,<color=#6EDCFF>,Урон вихря х9,<color=#6EDCFF>,Продолжительность вихря х9,<color=#6EDCFF>,Время перезарядки вихря -50%,<color=#FFFFFF>,`,406 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1091 ,9,1095 ,9,1 ,0 ,1 ,0 ,Тьма,10,"Вихрь объединяется в прерывистую, максимально усиленную форму.",`,`
11,Огненное дыхание,조합,490 ,515 ,0 ,<color=#F5F5E1>,"Испепеление направляется не по бокам, @ а в [пять сторон] от персонажа.",<color=#F5F5E1>,Испепеление распространяется быстрее и дальше.,<color=#6EDCFF>,Урон испепеления х6,<color=#6EDCFF>,Число испепелений +30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,464 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1161 ,6,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,`
12,Поджог эфира,조합,508 ,488 ,0 ,<color=#F5F5E1>,Каждый взрыв метели разделяется на 〈2〉 взрыва.,<color=#6EDCFF>,Урон метели х8,<color=#6EDCFF>,Размер метели +20%,<color=#6EDCFF>,Интервал появления метели -30%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,516 ,20 ,522 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1211 ,8,1 ,0 ,1 ,0 ,1 ,0 ,아마테라스,0,`,`,`
