ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Эгосворд,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,"[Убивает на месте] врагов, у которых осталось меньше 〈25%〉 здоровья.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,Найтмэр,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,"Размер [взрыва] при убийстве врага увеличивается, иногда урон {значительно усиливается}.",<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,Ред Дрэгон,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,Приумножение атаки на 40%,<color=#64FF32>,Атака +40%,<color=#6EDCFF>,Урон всех заклинаний +40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,Веном,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,"Снижение макс. здоровья всех врагов x1,15",<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,Авалон,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,"Эффект 『##197##』 увеличивается в 〈1.5 раза〉, а [радиус ауры] расширяется.",<color=#64FF32>,"Доля восстановления здоровья в сек. +0,1%",<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,Оракл,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,Эффект [обычного пассивного заклинания] увеличивается на 〈25%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,Архангел,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[Возрождений] становится на 〈1〉 больше.,<color=#64FF32>,Максимальное здоровье +100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,Пятый элемент,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,Каждое [5-е] применение заклинания наносит 〈50%〉 [дополнительного урона].,<color=#6EDCFF>,Урон всех заклинаний +50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,Некромант,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,"Если враг {мгновенно погибает} от эффекта 『##98##』, он [взрывается].",<color=#EB96FF>,(Урон от взрыва: 75% от максимального здоровья врага),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,Дедай,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,Во время действия 『##50##』 всегда происходит [критический удар].,<color=#64FF32>,Множитель критического урона +50%,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
11,Трикстер,4 ,158 ,69 ,70 ,121 ,0 ,<color=#F5F5E1>,[Критический удар] 『##70##』 активирует эффект 『##158##』.,<color=#64FF32>,Шанс критического удара +7%,<color=#FFFFFF>,`,100 ,14 ,7 ,1 ,0 ,1 ,0 
12,Снайпер,4 ,105 ,44 ,77 ,180 ,0 ,<color=#F5F5E1>,"Враги, у которых больше 〈75%〉 [здоровья] получают 〈25%〉 [дополнительного урона].",<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,93 ,25 ,1 ,0 ,1 ,0 
13,Нуклеар,4 ,68 ,76 ,178 ,59 ,0 ,<color=#F5F5E1>,За каждые 〈3%〉 увеличения размера всех заклинаний [атака] увеличивается на 〈1%〉.,<color=#64FF32>,Размер всех заклинаний +20%,<color=#FFFFFF>,`,1 ,8 ,20 ,1 ,0 ,1 ,0 
14,Зеробэк,4 ,78 ,199 ,174 ,67 ,0 ,<color=#F5F5E1>,Эффект {усиления} 『##199##』 увеличивается в 〈x3〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,200 ,1 ,0 ,1 ,0 ,1 ,0 
15,Арбитр,4 ,79 ,179 ,221 ,169 ,0 ,<color=#EB96FF>,"Увеличение урона всех заклинаний x1,25",<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
16,Хронос,4 ,185 ,200 ,99 ,53 ,0 ,<color=#F5F5E1>,За каждые [3%] уменьшения перезарядки всех заклинаний [атака] {усиливается} на 〈1%〉.,<color=#64FF32>,Время перезарядки всех заклинаний -5%,<color=#FFFFFF>,`,1 ,6 ,5 ,1 ,0 ,1 ,0 
17,Монарх,4 ,177 ,42 ,175 ,63 ,0 ,<color=#F5F5E1>,[Атака] увеличивается на 〈1%〉 за каждый имеющийся [обычный] артефакт.,<color=#F5F5E1>,[Атака] увеличивается на 〈3%〉 за каждый имеющийся [редкий] артефакт.,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
18,Архитектор,5 ,163 ,159 ,155 ,94 ,120 ,<color=#FF76DE>,Приумножение атаки на 100%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,16 ,100 ,1 ,0 ,1 ,0 
19,Магнум Опус,5 ,66 ,84 ,195 ,116 ,167 ,<color=#F5F5E1>,〈Условия〉 {всех} [Синергий] 《1》 『выполнены.』,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
20,Гадхэнд,4 ,201 ,221 ,181 ,90 ,0 ,<color=#F5F5E1>,Молнии 『##201##』 объединяются и {усиливаются}.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
21,Паладин,4 ,94 ,108 ,104 ,54 ,0 ,<color=#F5F5E1>,[Атака] {усиливается} на 〈100%〉 в [неуязвимом состоянии].,<color=#64FF32>,Получаемый урон -5%,<color=#FFFFFF>,`,100 ,23 ,5 ,1 ,0 ,1 ,0 
22,AGI,4 ,204 ,116 ,41 ,48 ,0 ,<color=#F5F5E1>,[Атака] 〈увеличивается〉 и {приумножается} на величину эффекта 『##204##』.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
23,Охотник за сокровищами,4 ,165 ,96 ,190 ,61 ,0 ,<color=#F5F5E1>,В случайных местах появляются 〈2〉 [сундука с сокровищами].,<color=#FFFFFF>,`,<color=#FFFFFF>,`,2 ,1 ,0 ,1 ,0 ,1 ,0 
24,Кровавая луна,4 ,196 ,194 ,164 ,100 ,0 ,<color=#F5F5E1>,"Эффект {руны ярости} действует даже в неактивном состоянии, @ а в активном состоянии наносится 〈25%〉 [дополнительного урона].",<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
25,Разбиватель сердец,5 ,213 ,60 ,49 ,188 ,55 ,<color=#EB96FF>,"Множитель критического урона x1,25",<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
26,Вондерлэнд,4 ,162 ,179 ,219 ,107 ,0 ,<color=#F5F5E1>,[Размер] всех врагов и персонажа уменьшается на 〈9%〉.,<color=#F5F5E1>,[Максимальное здоровье] всех врагов уменьшается на 〈9%〉.,<color=#FFFFFF>,`,0 ,33 ,-9 ,32 ,-9 ,54 ,-9 
27,Космический ужас,3 ,115 ,195 ,152 ,0 ,0 ,<color=#F5F5E1>,【Дебафф】 от 『##115##』 исчезает.,<color=#F5F5E1>,【Дебафф】 от 『##195##』 исчезает.,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
28,Андроид,3 ,215 ,166 ,52 ,0 ,0 ,<color=#F5F5E1>,【Дебафф】 от 『##215##』 исчезает.,<color=#64FF32>,Атака +30%,<color=#FFFFFF>,`,1 ,4 ,30 ,1 ,0 ,1 ,0 
29,Гравитация,3 ,76 ,72 ,89 ,0 ,0 ,<color=#F5F5E1>,Волна 『##72##』 значительно расширяется.,<color=#F5F5E1>,[Скорость передвижения] всех врагов уменьшается на 〈5%〉.,<color=#FFFFFF>,`,1 ,55 ,-5 ,1 ,0 ,1 ,0 
30,Гений,4 ,155 ,217 ,82 ,184 ,0 ,<color=#F5F5E1>,Предел [дополнительного уровня] после достижения макс. уровня увеличивается на 〈10〉.,<color=#64FF32>,Получение маны +25%,<color=#FFFFFF>,`,0 ,43 ,10 ,38 ,25 ,1 ,0 
31,Конфлюкс,4 ,202 ,182 ,41 ,160 ,0 ,<color=#F5F5E1>,Эффект 『##202##』 увеличивается в 〈1.5 раза〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
