ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Espada Ego,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,[Aniquila] a un enemigo cuyos PS sean menor al 〈25%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,Pesadilla,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,El tamaño de la [Explosión] al eliminar enemigos aumenta y ocasionalmente se {Potencia} considerablemente.,<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,Dragón Rojo,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,Amplifica el ATQ un 40%,<color=#64FF32>,Aumenta el ATQ un 40%,<color=#6EDCFF>,Aumenta el Daño de todas las Magias un 40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,Veneno,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,"Reducción del HP Máximo de todos los enemigos x1,15",<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,Avalon,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,El efecto de 『##197##』 aumenta 〈1.5X〉 y el [Alcance del Aura] se amplía.,<color=#64FF32>,"Aumenta la Regen. de PS por seg. un 0,1%",<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,Oráculo,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,El efecto de la [Magia Pasiva Común] aumenta un 〈25%〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,Arcángel,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[Revive] 〈1〉 vez más.,<color=#64FF32>,Aumenta los PS máx. un 100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,Quinto Elemento,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,Cada [5.º] lanzamiento de una magia inflige un 〈50%〉 de [Daño Adicional],<color=#6EDCFF>,Aumenta el Daño de todas las Magias un 50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,Nigromante,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,"Si un enemigo muere por el efecto de 『##98##』, causa una [Explosión]",<color=#EB96FF>,(El Daño de explosión es del 75% de los PS máx. del enemigo),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,Ojo Muerto,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,Durante la duración de 『##50##』 siempre ocurre un [Crítico],<color=#64FF32>,Aumenta el Multiplicador de golpe Crítico un 50%,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
