ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,魔法師,학파,0 ,<color=#EBEBEB>,〔魔力彈 Lv +1〕 @ 每當角色等級提升[5]，魔力彈傷害量『追加』〈3%〉。,<color=#32FFE1>,魔力彈 Lv +1,<color=#6EDCFF>,魔力彈冷卻時間減少20%,<color=#6EDCFF>,魔力彈個數增加1,<color=#FF76DE>,魔力彈傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,天文學者,학파,0 ,<color=#EBEBEB>,〔衛星 Lv +1〕 @ 每當角色等級提升[5]，衛星傷害量『追加』〈3%〉。,<color=#32FFE1>,衛星 Lv +1,<color=#6EDCFF>,衛星旋轉速度增加50%,<color=#6EDCFF>,衛星個數增加35%,<color=#FF76DE>,衛星傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,冰凍師,학파,0 ,<color=#EBEBEB>,〔凜霜 Lv +1〕 @ 每當角色等級提升[5]，凜霜傷害量『追加』〈3%〉。,<color=#32FFE1>,凜霜 Lv +1,<color=#6EDCFF>,凜霜冷卻時間減少20%,<color=#6EDCFF>,凜霜面積增加25%,<color=#FF76DE>,凜霜傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,咒術師,학파,0 ,<color=#EBEBEB>,〔落雷 Lv +1〕 @ 每當角色等級提升[5]，落雷傷害量『追加』〈3%〉。,<color=#32FFE1>,落雷 Lv +1,<color=#6EDCFF>,落雷冷卻時間減少20%,<color=#6EDCFF>,落雷個數增加35%,<color=#FF76DE>,落雷傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,巫術師,학파,0 ,<color=#EBEBEB>,〔隕石墜落 Lv +1〕 @ 每當角色等級提升[5]，隕石墜落傷害量『追加』〈3%〉。,<color=#32FFE1>,隕石墜落 Lv +1,<color=#6EDCFF>,隕石墜落冷卻時間減少20%,<color=#6EDCFF>,隕石墜落個數增加1,<color=#FF76DE>,隕石墜落傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,魔道學者,학파,0 ,<color=#EBEBEB>,〔魔力彈 Lv +1〕 @ 每當角色等級提升[1]，所有魔法傷害量增幅〈1%〉 @ 可選魔法數量【-1】，無法進行[法力回收]。,<color=#32FFE1>,智力 Lv +1,<color=#64FF32>,法力獲得量增加10%,<color=#FF76DE>,攻擊力增幅10%,<color=#FF76DE>,攻擊力增加5% （所有學派均有效）,<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,召喚師,학파,0 ,<color=#EBEBEB>,〔精靈 Lv +1〕 @ 每當角色等級提升[5]，精靈傷害量『追加』〈3%〉。,<color=#32FFE1>,精靈 Lv +1,<color=#6EDCFF>,精靈冷卻時間減少20%,<color=#6EDCFF>,精靈個數增加35%,<color=#FF76DE>,精靈傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,大主教,학파,0 ,<color=#EBEBEB>,〔魔力彈 [&] 護盾 Lv +1〕 @ 每個啟動的護盾，[攻擊力]增幅〈10%〉。 @ 『即使護盾用於魔法組合也會啟動。』,<color=#EB96FF>,守護天使 Lv +1,<color=#6EDCFF>,護盾冷卻時間減少20%,<color=#6EDCFF>,護盾充電個數上限增加1,<color=#FF76DE>,受到的傷害量減少5% （所有學派均有效）,<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,神祕術士,학파,0 ,<color=#EBEBEB>,〔幻視光線 Lv +1〕 @ 每當角色等級提升[5]，幻視光線傷害量『追加』〈3%〉。,<color=#32FFE1>,幻視光線 Lv +1,<color=#6EDCFF>,幻視光線冷卻時間減少20%,<color=#6EDCFF>,幻視光線個數增加35%,<color=#FF76DE>,幻視光線傷害量增加20% （所有學派均有效）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
