ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,自我之劍,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,體力未滿〈25%〉的敵軍會被[立即消滅]。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,夢魘,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,擊殺敵人時產生的[爆炸]範圍增加，且有時威力會大幅{強化}。,<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,紅龍,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,攻擊力增幅40%,<color=#64FF32>,攻擊力增加40%,<color=#6EDCFF>,所有魔法傷害量增加40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,劇毒,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,所有敵人最大體力減幅 x1.15,<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,亞瓦隆,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,『##197##』的效果提升〈1.5倍〉，[光環範圍]擴大。,<color=#64FF32>,每秒體力恢復率增加0.1%,<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,神諭者,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,[一般被動魔法]的效果提升〈25%〉。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,大天使,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[復活]次數增加〈1〉。,<color=#64FF32>,體力上限增加100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,第五元素,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,每個魔法的[第5次]施放會造成〈50%〉[追加傷害]。,<color=#6EDCFF>,所有魔法傷害量增加50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,死靈法師,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,透過『##98##』效果讓敵人{即死}時會[爆炸]。,<color=#EB96FF>,（爆炸傷害量為敵軍體力上限的75%）,<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
