캐릭터 레벨,마나 요구량,마나 요구량 배율,마나 요구량 추가,연구 레벨,연구포인트 적용,연구포인트 누적,연구포인트 증가량,드랍수,상자 드랍 처치수,상자 드랍 증가량,상자 드랍 증가량 추가,
0,0 ,0,0,0,0,0,0,0,1000 ,1000 ,0 ,
1,100 ,0,0,1,500,500,500,1,12000 ,11000 ,1200 ,
2,136 ,1,25,2,1000,1500,500,2,26000 ,14000 ,2271 ,
3,173 ,1,25,3,1500,3000,500,3,45000 ,19000 ,3238 ,
4,212 ,1,25,4,2000,5000,500,4,70000 ,25000 ,5319 ,
5,252 ,1,25,5,2500,7500,500,5,100000 ,30000 ,8737 ,
6,294 ,1,25,6,3000,10500,500,6,135000 ,35000 ,14351 ,
7,337 ,1,25,7,3500,14000,500,7,175000 ,40000 ,23574 ,
8,383 ,1,25,8,4000,18000,500,8,220000 ,45000 ,38724 ,
9,430 ,1,25,9,4500,22500,500,9,270000 ,50000 ,23574 ,
10,481 ,1,25,10,5000,27500,500,10,320000 ,50000 ,23574 ,
11,534 ,1,25,11,6000,33500,1000,11,370000 ,50000 ,23574 ,
12,590 ,1,25,12,7000,40500,1000,12,420000 ,50000 ,23574 ,
13,650 ,1,25,13,8000,48500,1000,13,470000 ,50000 ,23574 ,
14,713 ,1,25,14,9000,57500,1000,14,520000 ,50000 ,23574 ,
15,781 ,1,25,15,10000,67500,1000,15,570000 ,50000 ,23574 ,
16,853 ,1,25,16,12000,79500,2000,16,620000 ,50000 ,23574 ,
17,931 ,1,25,17,14000,93500,2000,17,670000 ,50000 ,23574 ,
18,1015 ,1,25,18,16000,109500,2000,18,720000 ,50000 ,23574 ,
19,1104 ,1,25,19,18000,127500,2000,19,770000 ,50000 ,23574 ,
20,1201 ,1,25,20,20000,147500,2000,20,820000 ,50000 ,23574 ,
21,1306 ,1,25,21,22000,169500,2000,21,870000 ,50000 ,23574 ,
22,1420 ,1,25,22,24000,193500,2000,22,920000 ,50000 ,23574 ,
23,1543 ,1,25,23,26000,219500,2000,23,970000 ,50000 ,23574 ,
24,1678 ,1,25,24,28000,247500,2000,24,1020000 ,50000 ,23574 ,
25,1824 ,1,25,25,30000,277500,2000,25,1070000 ,50000 ,23574 ,
26,1984 ,1,25,26,33000,310500,3000,26,1120000 ,50000 ,23574 ,
27,2158 ,1,25,27,36000,346500,3000,27,1170000 ,50000 ,23574 ,
28,2349 ,1,25,28,39000,385500,3000,28,1220000 ,50000 ,23574 ,
29,2558 ,1,25,29,42000,427500,3000,29,1270000 ,50000 ,23574 ,
30,2994 ,1.1,25,30,45000,472500,3000,30,1320000 ,50000 ,23574 ,
31,3268 ,1.1,25,31,50000,522500,5000,31,1370000 ,50000 ,23574 ,
32,3570 ,1.1,25,32,55000,577500,5000,32,1420000 ,50000 ,23574 ,
33,3903 ,1.1,25,33,60000,637500,5000,33,1470000 ,50000 ,23574 ,
34,4269 ,1.1,25,34,65000,702500,5000,34,1520000 ,50000 ,23574 ,
35,4673 ,1.1,25,35,70000,772500,5000,35,1570000 ,50000 ,23574 ,
36,5118 ,1.1,25,36,80000,852500,10000,36,1620000 ,50000 ,23574 ,
37,5610 ,1.1,25,37,90000,942500,10000,37,1670000 ,50000 ,23574 ,
38,6153 ,1.1,25,38,100000,1042500,10000,38,1720000 ,50000 ,23574 ,
39,6753 ,1.1,25,39,110000,1152500,10000,39,1770000 ,50000 ,23574 ,
40,7417 ,1.1,25,40,120000,1272500,10000,40,1820000 ,50000 ,23574 ,
41,8150 ,1.1,25,41,130000,1402500,10000,41,1870000 ,50000 ,23574 ,
42,8962 ,1.1,25,42,140000,1542500,10000,42,1920000 ,50000 ,23574 ,
43,9860 ,1.1,25,43,150000,1692500,10000,43,1970000 ,50000 ,23574 ,
44,10854 ,1.1,25,44,160000,1852500,10000,44,2020000 ,50000 ,23574 ,
45,11954 ,1.1,25,45,170000,2022500,10000,45,2070000 ,50000 ,23574 ,
46,13173 ,1.1,25,46,180000,2202500,10000,46,2120000 ,50000 ,23574 ,
47,14524 ,1.1,25,47,190000,2392500,10000,47,2170000 ,50000 ,23574 ,
48,16020 ,1.1,25,48,200000,2592500,10000,48,2220000 ,50000 ,23574 ,
49,17678 ,1.1,25,49,220000,2812500,20000,49,2270000 ,50000 ,23574 ,
50,21178 ,1.2,25,50,240000,3052500,20000,50,2320000 ,50000 ,23574 ,
51,23398 ,1.2,25,51,260000,3312500,20000,51,2370000 ,50000 ,23574 ,
52,25859 ,1.2,25,52,280000,3592500,20000,52,2420000 ,50000 ,23574 ,
53,28588 ,1.2,25,53,300000,3892500,20000,53,2470000 ,50000 ,23574 ,
54,31615 ,1.2,25,54,320000,4212500,20000,54,2520000 ,50000 ,23574 ,
55,34972 ,1.2,25,55,340000,4552500,20000,55,2570000 ,50000 ,23574 ,
56,38695 ,1.2,25,56,360000,4912500,20000,56,2620000 ,50000 ,23574 ,
57,42826 ,1.2,25,57,380000,5292500,20000,57,2670000 ,50000 ,23574 ,
58,47407 ,1.2,25,58,400000,5692500,20000,58,2720000 ,50000 ,23574 ,
59,52490 ,1.2,25,59,450000,6142500,50000,59,2770000 ,50000 ,23574 ,
60,58130 ,1.2,25,60,500000,6642500,50000,60,2820000 ,50000 ,23574 ,
61,64387 ,1.2,25,61,550000,7192500,50000,61,2870000 ,50000 ,23574 ,
62,71329 ,1.2,25,62,600000,7792500,50000,62,2920000 ,50000 ,23574 ,
63,79033 ,1.2,25,63,650000,8442500,50000,63,2970000 ,50000 ,23574 ,
64,87581 ,1.2,25,64,700000,9142500,50000,64,3020000 ,50000 ,23574 ,
65,97067 ,1.2,25,65,750000,9892500,50000,65,3070000 ,50000 ,23574 ,
66,107593 ,1.2,25,66,800000,10692500,50000,66,3120000 ,50000 ,23574 ,
67,119275 ,1.2,25,67,850000,11542500,50000,67,3170000 ,50000 ,23574 ,
68,132238 ,1.2,25,68,900000,12442500,50000,68,3220000 ,50000 ,23574 ,
69,146625 ,1.2,25,69,950000,13392500,50000,69,3270000 ,50000 ,23574 ,
70,202809 ,1.5,25,70,1000000,14392500,50000,70,3320000 ,50000 ,23574 ,
71,224953 ,1.5,25,71,1100000,15492500,100000,71,3370000 ,50000 ,23574 ,
72,249530 ,1.5,25,72,1200000,16692500,100000,72,3420000 ,50000 ,23574 ,
73,276808 ,1.5,25,73,1300000,17992500,100000,73,3470000 ,50000 ,23574 ,
74,307084 ,1.5,25,74,1400000,19392500,100000,74,3520000 ,50000 ,23574 ,
75,340688 ,1.5,25,75,1500000,20892500,100000,75,3570000 ,50000 ,23574 ,
76,377985 ,1.5,25,76,1600000,22492500,100000,76,3620000 ,50000 ,23574 ,
77,419382 ,1.5,25,77,1700000,24192500,100000,77,3670000 ,50000 ,23574 ,
78,465330 ,1.5,25,78,1800000,25992500,100000,78,3720000 ,50000 ,23574 ,
79,516329 ,1.5,25,79,1900000,27892500,100000,79,3770000 ,50000 ,23574 ,
80,572936 ,1.5,25,80,2000000,29892500,100000,80,3820000 ,50000 ,23574 ,
81,847023 ,2,25,81,2000000,31892500,100000,81,3870000 ,50000 ,23574 ,
82,940000 ,2,25,82,2000000,33892500,100000,82,3920000 ,50000 ,23574 ,
83,1043202 ,2,25,83,2000000,35892500,100000,83,3970000 ,50000 ,23574 ,
84,1157754 ,2,25,84,2000000,37892500,100000,84,4020000 ,50000 ,23574 ,
85,1284904 ,2,25,85,2000000,39892500,100000,85,4070000 ,50000 ,23574 ,
86,1426037 ,2,25,86,2000000,41892500,100000,86,4120000 ,50000 ,23574 ,
87,1582692 ,2,25,87,2000000,43892500,100000,87,4170000 ,50000 ,23574 ,
88,1756577 ,2,25,88,2000000,45892500,100000,88,4220000 ,50000 ,23574 ,
89,1949586 ,2,25,89,2000000,47892500,100000,89,4270000 ,50000 ,23574 ,
90,3244623 ,3,25,90,2000000,49892500,100000,90,4320000 ,50000 ,23574 ,
91,3601312 ,3,25,91,2000000,51892500,100000,91,4370000 ,50000 ,23574 ,
92,3997234 ,3,25,92,2000000,53892500,100000,92,4420000 ,50000 ,23574 ,
93,4436704 ,3,25,93,2000000,55892500,100000,93,4470000 ,50000 ,23574 ,
94,4924514 ,3,25,94,2000000,57892500,100000,94,4520000 ,50000 ,23574 ,
95,9108400 ,5,25,95,2000000,59892500,100000,95,4570000 ,50000 ,23574 ,
96,10110090 ,5,25,96,2000000,61892500,100000,96,4620000 ,50000 ,23574 ,
97,11221964 ,5,25,97,2000000,63892500,100000,97,4670000 ,50000 ,23574 ,
98,12456141 ,5,25,98,2000000,65892500,100000,98,4720000 ,50000 ,23574 ,
99,13826074 ,5,25,99,2000000,67892500,100000,99,4770000 ,50000 ,23574 ,
100,24553232 ,8,25,100,2000000,69892500,100000,100,4820000 ,50000 ,23574 ,
101,27253840 ,8,25,101,2000000,71892500,100000,101,4870000 ,50000 ,23574 ,
102,30251513 ,8,25,102,2000000,73892500,100000,102,4920000 ,50000 ,23574 ,
103,33578926 ,8,25,103,2000000,75892500,100000,103,4970000 ,50000 ,23574 ,
104,37272353 ,8,25,104,2000000,77892500,100000,104,5020000 ,50000 ,23574 ,
105,41372053 ,8,25,105,2000000,79892500,100000,105,5070000 ,50000 ,23574 ,
106,45922718 ,8,25,106,2000000,81892500,100000,106,5120000 ,50000 ,23574 ,
107,50973953 ,8,25,107,2000000,83892500,100000,107,5170000 ,50000 ,23574 ,
108,56580822 ,8,25,108,2000000,85892500,100000,108,5220000 ,50000 ,23574 ,
109,62804443 ,8,25,109,2000000,87892500,100000,109,5270000 ,50000 ,23574 ,
110,69712660 ,8,25,110,2000000,89892500,100000,110,5320000 ,50000 ,23574 ,
111,77380777 ,8,25,111,2000000,91892500,100000,111,5370000 ,50000 ,23574 ,
112,85892385 ,8,25,112,2000000,93892500,100000,112,5420000 ,50000 ,23574 ,
113,95340267 ,8,25,113,2000000,95892500,100000,113,5470000 ,50000 ,23574 ,
114,105827414 ,8,25,114,2000000,97892500,100000,114,5520000 ,50000 ,23574 ,
115,117468144 ,8,25,115,2000000,99892500,100000,115,5570000 ,50000 ,23574 ,
116,130389351 ,8,25,116,2000000,101892500,100000,116,5620000 ,50000 ,23574 ,
117,144731888 ,8,25,117,2000000,103892500,100000,117,5670000 ,50000 ,23574 ,
118,160652102 ,8,25,118,2000000,105892500,100000,118,5720000 ,50000 ,23574 ,
119,178323536 ,8,25,119,2000000,107892500,100000,119,5770000 ,50000 ,23574 ,
120,197938826 ,8,25,120,2000000,109892500,100000,120,5820000 ,50000 ,23574 ,
121,219711795 ,8,25,121,2000000,111892500,100000,121,5870000 ,50000 ,23574 ,
122,243879787 ,8,25,122,2000000,113892500,100000,122,5920000 ,50000 ,23574 ,
123,270706256 ,8,25,123,2000000,115892500,100000,123,5970000 ,50000 ,23574 ,
124,300483633 ,8,25,124,2000000,117892500,100000,124,6020000 ,50000 ,23574 ,
125,333536520 ,8,25,125,2000000,119892500,100000,125,6070000 ,50000 ,23574 ,
126,370225221 ,8,25,126,2000000,121892500,100000,126,6120000 ,50000 ,23574 ,
127,410949677 ,8,25,127,2000000,123892500,100000,127,6170000 ,50000 ,23574 ,
128,456153820 ,8,25,128,2000000,125892500,100000,128,6220000 ,50000 ,23574 ,
