ID,이름,마나량,공격력,최대 체력,상태이상 저항력,즉사 저항력,이동속도,유닛크기,특수능력01,특수능력02,특수능력03,특수능력04,특수능력05,제거 모션ID,제거 모션 크기,,
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Explain,Explain,,
1,스웜(소형),3 ,10 ,100 ,0 ,0 ,34,125 ,0,0,0,0,0,1,180,,
2,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
3,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
4,호라이즌(흑백),0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
5,오큘러스(흑백),0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
6,스웜(중형),4 ,15 ,200 ,0 ,0 ,32,100 ,0,0,0,0,0,6,185,,
7,미니언,4 ,30 ,200 ,0 ,0 ,32,105 ,1,0,0,0,0,7,125,,
8,스팅어,4 ,15 ,100 ,0 ,0 ,29,125 ,1,2,0,0,0,21,70,,
9,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
10,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
11,스웜(대형),5 ,20 ,300 ,0 ,0 ,32,90 ,0,0,0,0,0,11,160,,
12,드론,5 ,40 ,300 ,0 ,0 ,32,95 ,1,0,0,0,0,21,70,,
13,인터셉터,5 ,40 ,300 ,0 ,0 ,32,75 ,1,0,0,0,0,21,70,,
14,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
15,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
16,하이브,6 ,20 ,500 ,0 ,0 ,28,80 ,12,0,0,0,0,16,70,,
17,더스트,6 ,20 ,500 ,0 ,0 ,20,85 ,0,0,0,0,0,16,80,,
18,램페이지,6 ,40 ,250 ,0 ,0 ,29,70 ,1,2,0,0,0,11,170,,
19,호라이즌,6 ,20 ,300 ,0 ,0 ,29,70 ,1,2,0,0,0,21,110,,
20,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
21,마인,8 ,50 ,400 ,0 ,0 ,30,55 ,1,0,0,0,0,21,75,,
22,하울링,8 ,50 ,400 ,0 ,0 ,30,50 ,1,0,0,0,0,21,85,,
23,팬텀,8 ,25 ,400 ,0 ,0 ,30,55 ,0,0,0,0,0,21,85,,
24,트루퍼,6 ,40 ,2000 ,0 ,0 ,29,90 ,1,0,0,0,0,11,185,,
25,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
26,아틀라스,10 ,30 ,600 ,50 ,0 ,24,60 ,12,10,0,0,0,16,90,,
27,오버로드,10 ,60 ,600 ,50 ,0 ,24,55 ,1,0,0,0,0,27,105,,
28,골리앗,10 ,60 ,600 ,50 ,0 ,24,55 ,1,0,0,0,0,27,105,,
29,센티널,50 ,60 ,3000 ,50 ,0 ,24,85 ,1,30,0,0,0,21,185,,
30,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
31,스캐럽,5 ,30 ,150 ,0 ,0 ,29,85 ,1,2,0,0,0,21,60,,
32,커럽트,5 ,20 ,300 ,0 ,0 ,32,90 ,0,0,0,0,0,7,155,,
33,세라핌,50 ,30 ,4000 ,50 ,0 ,20,125 ,12,10,30,0,0,16,185,,
34,오큘러스,8 ,25 ,500 ,50 ,0 ,18,70 ,0,0,0,0,0,21,115,,
35,인간,10 ,40 ,900 ,50 ,0 ,28,95 ,1,2,24,25,0,21,90,,
36,요정,10 ,40 ,1200 ,50 ,0 ,28,95 ,1,2,24,25,0,21,90,,
37,정령,10 ,40 ,1200 ,50 ,0 ,28,95 ,1,2,24,25,0,21,90,,
38,데몬,10 ,40 ,1200 ,50 ,0 ,28,105 ,1,2,24,25,0,21,90,,
39,잭 오 랜턴,10 ,40 ,1200 ,50 ,0 ,29,95 ,1,2,24,0,0,21,110,,
40,서번트,10 ,40 ,1200 ,100 ,0 ,22,85 ,1,2,24,25,0,21,110,,
41,시타델,500 ,50 ,15000 ,100 ,100 ,14,105 ,12,11,10,6,0,0,0,,
42,네메시스,500 ,50 ,18000 ,100 ,100 ,9,110 ,12,11,10,6,0,0,0,,
43,사도,500 ,50 ,24000 ,100 ,100 ,9,115 ,12,11,10,6,0,0,0,,
44,아마데우스,500 ,50 ,12000 ,100 ,100 ,0,120 ,12,11,10,6,0,0,0,,
45,와처,500 ,50 ,12000 ,100 ,100 ,9,135 ,12,11,10,6,0,0,0,,
46,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
47,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
48,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
49,`,0 ,0 ,0 ,0 ,0 ,0,0 ,0,0,0,0,0,0,0,,
