ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,魔力弹,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,强化基本发射体。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,魔力弹伤害量增加50% @ 魔力弹冷却时间减少5%,<color=#FFFFFF>,《魔力弹个数增加1》^《魔力弹伤害量增加50%》^《》^《魔力弹个数增加1》^《魔力弹伤害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,火焰球,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,发射可具有爆炸性的投射体。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,火焰球伤害量增加50% @ 火焰球面积增加10%,<color=#FFFFFF>,《火焰球个数增加1》^《火焰球伤害量增加50%》^《火焰球面积增加20%》^《火焰球个数增加1》^《火焰球伤害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,精灵,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,召唤可进行辅助攻击的精灵。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,精灵伤害量增加50% @ 精灵冷却时间减少5%,<color=#FFFFFF>,《精灵伤害量增加20% @ 精灵个数增加1》^《精灵伤害量增加20% @ 精灵个数增加1》^《精灵伤害量增加20% @ 精灵个数增加1》^《精灵伤害量增加20% @ 精灵个数增加1》^《精灵伤害量增加20% @ 精灵个数增加1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,卫星,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,生成旋转于角色周围的卫星。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,卫星伤害量增加50% @ 卫星旋转速度增加25%,<color=#FFFFFF>,《卫星伤害量增加20% @ 卫星个数增加1》^《卫星伤害量增加20% @ 卫星个数增加1》^《卫星伤害量增加20% @ 卫星个数增加1》^《卫星伤害量增加20% @ 卫星个数增加1》^《卫星伤害量增加20% @ 卫星个数增加1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,凛霜,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,暂时[冰冻]附近的敌军。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,凛霜伤害量增加50% @ 凛霜面积增加10%,<color=#FFFFFF>,《凛霜面积增加15%》^《凛霜伤害量增加50%》^《凛霜冷却时间减少15%》^《凛霜面积增加20%》^《凛霜伤害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,护盾,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,生成可阻挡〈1次〉伤害的护盾。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《护盾冷却时间减少10%》^《护盾冷却时间减少10%》^《护盾冷却时间减少10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,落雷,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,对附近的敌军劈下落雷。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,落雷伤害量增加50% @ 落雷冷却时间减少5%,<color=#FFFFFF>,《落雷伤害量增加20% @ 落雷个数增加1》^《落雷伤害量增加20% @ 落雷个数增加1》^《落雷伤害量增加20% @ 落雷个数增加1》^《落雷伤害量增加20% @ 落雷个数增加1》^《落雷伤害量增加20% @ 落雷个数增加1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,导电地带,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,对附近敌军给予周期性的伤害。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,导电地带伤害量增加50% @ 导电地带面积增加10%,<color=#FFFFFF>,《导电地带面积增加15%》^《导电地带伤害量增加50%》^《导电地带面积增加15%》^《导电地带面积增加20%》^《导电地带伤害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,海啸,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,引发巨大的海浪，横扫场地。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,海啸伤害量增加50% @ 海啸冷却时间减少5%,<color=#FFFFFF>,《海啸个数增加3》^《海啸伤害量增加50%》^《海啸冷却时间减少15%》^《海啸个数增加3》^《海啸伤害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
