ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,魔法师,학파,0 ,<color=#EBEBEB>,〔魔力弹 Lv +1〕 @ 每当角色等级提升[5]，魔力弹伤害量『追加』〈3%〉。,<color=#32FFE1>,魔力弹 Lv +1,<color=#6EDCFF>,魔力弹冷却时间减少20%,<color=#6EDCFF>,魔力弹个数增加1,<color=#FF76DE>,魔力弹伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,天文学者,학파,0 ,<color=#EBEBEB>,〔卫星 Lv +1〕 @ 每当角色等级提升[5]，卫星伤害量『追加』〈3%〉。,<color=#32FFE1>,卫星 Lv +1,<color=#6EDCFF>,卫星旋转速度增加50%,<color=#6EDCFF>,卫星个数增加35%,<color=#FF76DE>,卫星伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,冰冻师,학파,0 ,<color=#EBEBEB>,〔凛霜 Lv +1〕 @ 每当角色等级提升[5]，凛霜伤害量『追加』〈3%〉。,<color=#32FFE1>,凛霜 Lv +1,<color=#6EDCFF>,凛霜冷却时间减少20%,<color=#6EDCFF>,凛霜面积增加25%,<color=#FF76DE>,凛霜伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,咒术师,학파,0 ,<color=#EBEBEB>,〔落雷 Lv +1〕 @ 每当角色等级提升[5]，落雷伤害量『追加』〈3%〉。,<color=#32FFE1>,落雷 Lv +1,<color=#6EDCFF>,落雷冷却时间减少20%,<color=#6EDCFF>,落雷个数增加35%,<color=#FF76DE>,落雷伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,巫术师,학파,0 ,<color=#EBEBEB>,〔陨石坠落 Lv +1〕 @ 每当角色等级提升[5]，陨石坠落伤害量『追加』〈3%〉。,<color=#32FFE1>,陨石坠落 Lv +1,<color=#6EDCFF>,陨石坠落冷却时间减少20%,<color=#6EDCFF>,陨石坠落个数增加1,<color=#FF76DE>,陨石坠落伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,魔道学者,학파,0 ,<color=#EBEBEB>,〔魔力弹 Lv +1〕 @ 每当角色等级提升[1]，所有魔法伤害量{增幅}〈1%〉 @ 可选魔法数量减少【1】，无法进行[法力回收]。,<color=#32FFE1>,智力 Lv +1,<color=#64FF32>,法力获得量增加10%,<color=#FF76DE>,攻击力增幅10%,<color=#FF76DE>,攻击力增加5% （应用于所有学派）,<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,召唤师,학파,0 ,<color=#EBEBEB>,〔精灵 Lv +1〕 @ 每当角色等级提升[5]，精灵伤害量『追加』〈3%〉。,<color=#32FFE1>,精灵 Lv +1,<color=#6EDCFF>,精灵冷却时间减少20%,<color=#6EDCFF>,精灵个数增加35%,<color=#FF76DE>,精灵伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,大主教,학파,0 ,<color=#EBEBEB>,〔魔力弹 [&] 护盾 Lv +1〕 @ 每存在一个已激活的护盾，[攻击力]{增幅}〈10%〉。 @ 『即使护盾用于魔法组合也会激活。』,<color=#EB96FF>,守护天使 Lv +1,<color=#6EDCFF>,护盾冷却时间减少20%,<color=#6EDCFF>,护盾充能个数上限增加1,<color=#FF76DE>,受到的伤害量减少5% （应用于所有学派）,<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,神秘术士,학파,0 ,<color=#EBEBEB>,〔幻视光线 Lv +1〕 @ 每当角色等级提升[5]，幻视光线伤害量『追加』〈3%〉。,<color=#32FFE1>,幻视光线 Lv +1,<color=#6EDCFF>,幻视光线冷却时间减少20%,<color=#6EDCFF>,幻视光线个数增加35%,<color=#FF76DE>,幻视光线伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
10,德鲁伊,학파,0 ,<color=#EBEBEB>,〔旋风 Lv +1〕 @ 每当角色等级提升[5]，旋风伤害量『追加』〈3%〉。,<color=#32FFE1>,旋风 Lv +1,<color=#6EDCFF>,旋风冷却时间减少20%,<color=#6EDCFF>,旋风个数增加1,<color=#FF76DE>,旋风伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,1 ,0 ,1 ,0 ,-12 ,1 ,406 ,20 ,393 ,1 ,391 ,20 ,1 ,0 ,1 ,0 
11,火焰术士,학파,0 ,<color=#EBEBEB>,〔火焰球 Lv +1〕 @ 每当角色等级提升[5]，火焰球伤害量『追加』〈3%〉。,<color=#32FFE1>,火焰球 Lv +1,<color=#6EDCFF>,火焰球冷却时间减少20%,<color=#6EDCFF>,火焰球个数增加1,<color=#FF76DE>,火焰球伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,1 ,0 ,1 ,0 ,-2 ,1 ,194 ,20 ,184 ,1 ,181 ,20 ,1 ,0 ,1 ,0 
12,术士,학파,0 ,<color=#EBEBEB>,〔电气冲击 Lv +1〕 @ 每当角色等级提升[5]，电气冲击伤害量『追加』〈3%〉。,<color=#32FFE1>,电气冲击 Lv +1,<color=#6EDCFF>,电气冲击冷却时间减少20%,<color=#6EDCFF>,电气冲击个数增加35%,<color=#FF76DE>,电气冲击伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13 ,1 ,1 ,0 ,1 ,0 ,-13 ,1 ,431 ,20 ,426 ,35 ,421 ,20 ,1 ,0 ,1 ,0 
13,炼金术士,학파,0 ,<color=#EBEBEB>,〔能量弹 Lv +1〕 @ 每当角色等级提升[5]，能量弹伤害量『追加』〈3%〉。,<color=#32FFE1>,能量弹 Lv +1,<color=#6EDCFF>,能量弹冷却时间减少20%,<color=#6EDCFF>,能量弹个数增加35%,<color=#FF76DE>,能量弹伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-16 ,1 ,1 ,0 ,1 ,0 ,-16 ,1 ,493 ,20 ,486 ,35 ,481 ,20 ,1 ,0 ,1 ,0 
14,学者,학파,0 ,<color=#EBEBEB>,〔初始等级 +3〕 @ 每当角色等级提升[1]，所有魔法伤害量增加〈1%〉。,<color=#EB96FF>,博士 Lv +1,<color=#EBEBEB>,魔力回收选择效果量增加〈30%〉。,<color=#EBEBEB>,魔法选择出现[4个]的概率增加〈50%〉。,<color=#FF76DE>,法力获得量增加5% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,1 ,0 ,1 ,0 ,-316 ,1 ,61 ,30 ,58 ,50 ,38 ,5 ,1 ,0 ,1 ,0 
15,魔女,학파,0 ,<color=#EBEBEB>,〔熔岩地带 Lv +1〕 @ 每当角色等级提升[5]，熔岩地带伤害量『追加』〈3%〉。,<color=#32FFE1>,熔岩地带 Lv +1,<color=#6EDCFF>,熔岩地带冷却时间减少20%,<color=#6EDCFF>,熔岩地带个数增加1,<color=#FF76DE>,熔岩地带伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-20 ,1 ,1 ,0 ,1 ,0 ,-20 ,1 ,590 ,20 ,583 ,1 ,581 ,20 ,1 ,0 ,1 ,0 
16,电荷术士,학파,0 ,<color=#EBEBEB>,〔导电地带 Lv +1〕 @ 每当角色等级提升[5]，导电地带伤害量『追加』〈3%〉。,<color=#32FFE1>,导电地带 Lv +1,<color=#6EDCFF>,导电地带伤害间隔减少20%,<color=#6EDCFF>,导电地带面积增加25%,<color=#FF76DE>,导电地带伤害量增加20% （应用于所有学派）,<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,1 ,0 ,1 ,0 ,-8 ,1 ,296 ,20 ,293 ,25 ,291 ,20 ,1 ,0 ,1 ,0 
