ID001,구역 이름,구역 효과,구역 골드 보상 배율,구역 보석 보상 일반,구역 보석 보상 무한01,구역 보석 보상 무한02,구역 보석 보상 무한03,구역 보석 보상 무한04,구역 보석 보상 무한05,구역 보석 보상 합계,구역 설명줄01,구역 설명줄02,구역 설명줄03,ID002,일지 이름,일지 조건 이름,일지 구역ID,일지 조건 설명,일지 조건 유형,일지 조건 값A,일지 조건 값B,일지 해금 구역,일지 보상 보석 개수,일지 설명줄01,일지 설명줄02,일지 설명줄03,일지 설명줄04,일지 설명줄05,일지 설명줄06,일지 설명줄07,일지 설명줄08,일지 설명줄09,일지 설명줄10,UI001,일지개수
0,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,0,Explain,Explain,0 ,Explain,Explain,0 ,0 ,0 ,0 ,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,기본,14
1,阵列地,`,120 ,15 ,8 ,8 ,8 ,7 ,3 ,34 ,位于研究所外围被废弃的市中心,这里正在潜心分析着不同环境下精灵的变异过程。,`,1,召唤战争,阵列地,1 ,`,`,720 ,0 ,2 ,200 ,万物皆富足的世界。,人们只是为了游戏娱乐而发起了战争。,可是却只由精灵和魔像参战。,`,`,`,`,`,`,`,`,`
2,实验室,`,150 ,18 ,10 ,10 ,10 ,9 ,4 ,43 ,通过人为途径将精灵变异引入病毒研究,并对其进行操纵，用于掌控病毒的行动模式。,`,2,侏儒,实验室,2 ,`,`,720 ,0 ,3 ,300 ,对人类被排除在外的战争没有很大的兴趣。,所以制造出了与自身外表相像的玩具,将其填补成战争人员。,`,`,`,`,`,`,`,`,`
3,下水道,`,180 ,21 ,12 ,11 ,10 ,9 ,5 ,47 ,将从研究室排出的实验用废水全部焚烧,对剩余的残骸物进行化学处理后排入下水道。,`,3,污染,下水道,3 ,`,`,900 ,0 ,4 ,300 ,侏儒们的战争规模巨大，且十分华丽有趣。,只不过在消耗性战争之中，无数具有破坏性的魔法,使得连散落于世界各地的法力特性也都被玷污了。,`,`,`,`,`,`,`,`,`
4,郊外,`,210 ,23 ,13 ,12 ,11 ,10 ,5 ,51 ,位于市中心外围的道路区域,曾拥有过非常发达的物资运输业。,`,4,蜂群,郊外,4 ,`,`,900 ,0 ,5 ,300 ,在世界各地开始出现了一种来路不明的物种。,他们会捕食一切活着的生物,哪怕对这群物种进行灭杀却还是春风吹又生。,`,人们根据此类现象，称呼其为 [“蜂群”]。,`,`,`,`,`,`,`
5,植物园,`,240 ,24 ,13 ,12 ,11 ,10 ,6 ,52 ,以疗养为目的，布局被设计成环绕了整个研究所,为研究员们营造出足够舒适的环境。,`,5,研究,植物园,5 ,`,`,900 ,0 ,6 ,300 ,虽然层出不穷的蜂群被判定具有威胁性,但学者们也把这种现象当作是另一种游戏。,`,`,`,`,`,`,`,`,`,`
6,学院,开始等级 +10,270 ,25 ,14 ,13 ,12 ,11 ,6 ,56 ,该设施是为了研究员们的学术修养而被设立的,在这里可以接触到各种各样的魔法及知识。,`,6,分类,学院,6 ,`,`,900 ,0 ,7 ,300 ,蜂群的源头已被明确是来自法力。,由于是法力造物，因此被归类为精灵,但它们却拥有会在受到刺激后进行大量复制成长的习性,这种传播性胜似病毒。,`,`,`,`,`,`,`,`
7,发电厂,`,300 ,27 ,15 ,14 ,13 ,12 ,7 ,61 ,随着实验规模的扩大，为了供给更富足的电量,研究所附近建设了一座大型发电园区。,`,7,法力珠,发电厂,7 ,`,`,1080 ,0 ,8 ,400 ,由回收的蜂群萃取物制造出来的物质,法力的供给源比想象中更有成效。,`,`,`,`,`,`,`,`,`,`
8,培养室,`,330 ,29 ,16 ,15 ,14 ,13 ,7 ,65 ,将分析的病毒进行人为干涉制造的区域,这里有极为严格的区域管制。,`,8,魔人,培养室,8 ,`,`,1080 ,0 ,9 ,400 ,蜂群可以仅通过刺激而成长。,如果判断此目标存在旗鼓相当的威胁性,它们还能变异成更具有攻击性的形态。,`,`,`,`,`,`,`,`,`
9,水库,`,360 ,30 ,17 ,16 ,15 ,14 ,8 ,70 ,由于大规模的用水供给，而将湖泊园区改良后建造的设施,随着规模的不断扩张，也与城市相通了。,`,9,敌军,水库,9 ,`,`,1080 ,0 ,10 ,400 ,需要找到能提升蜂群潜力的对手。,由于罪犯们已经不再是它们的对手,眼下已开始大力投入使用侏儒。,`,`,`,`,`,`,`,`,`
