ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Zauberer,학파,0 ,<color=#EBEBEB>,〔Magiebolzen Lv +1〕 @ Erhöhe den Schaden von Magiebolzen um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Magiebolzen Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Magiebolzen um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Magiebolzen um 1,<color=#FF76DE>,Erhöhe den Schaden von Magiebolzen um 20% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,Astronom,학파,0 ,<color=#EBEBEB>,〔Satellit Lv +1〕 @ Erhöhe den Schaden von Satellit um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Satellit Lv +1,<color=#6EDCFF>,Erhöhe die Rotationsgeschwindigkeit des Satelliten um 50%,<color=#6EDCFF>,Erhöhe die Anzahl der Satelliten um 35%,<color=#FF76DE>,Erhöhe Satellitenschaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,Kryomancer,학파,0 ,<color=#EBEBEB>,〔Frostnova Lv +1〕 @ Erhöhe den Schaden von Frostnova um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Frostnova Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit der Frostnova um 20%,<color=#6EDCFF>,Erhöhe die Größe der Frostnova um 25%,<color=#FF76DE>,Erhöht den Frostnova-Schaden um 20% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,Schamane,학파,0 ,<color=#EBEBEB>,〔Gewitter Lv +1〕 @ Erhöhe den Schaden von Gewitter um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Gewitter Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit des Gewitters um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Gewitterstürme um 35%,<color=#FF76DE>,Erhöhe den Gewitterschaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,Hexenmeister,학파,0 ,<color=#EBEBEB>,〔Meteor Lv +1〕 @ Erhöhe den Schaden von Meteor um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Meteor Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Meteoren um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Meteore um 1,<color=#FF76DE>,Erhöhe den Meteor-Schaden um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,Arkanist,학파,0 ,<color=#EBEBEB>,〔Magiebolzen Lv +1〕 @ Erhöhe den 〔Schaden aller Zauber〕 um 〈1%〉 bei jedem Levelaufstieg von [1] des Charakters {zusätzlich} @ Die Auswahl von Zaubern verringert sich um 【1】 und [Manarückgewinnung] ist nicht möglich.,<color=#32FFE1>,Intelligenz Lv +1,<color=#64FF32>,Erhöhe Mana-Erwerb um 10%,<color=#FF76DE>,Verstärke ANG um 10%,<color=#FF76DE>,Erhöhe ANG um 5% (Alle Klassen),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,Beschwörer,학파,0 ,<color=#EBEBEB>,〔Geist Lv +1〕 @ Erhöhe den Schaden von Geist um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Geist Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Geist um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der Geister um 35%,<color=#FF76DE>,Erhöhe den Geisterschaden um 20% (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,Bischof,학파,0 ,<color=#EBEBEB>,〔Magiebolzen [&] Schild Lv +1〕 @ Verstärke ANG um 〈10%〉 pro aktivem Schild. @ 『Schild bleibt bei Schaden der Kombinationsmagie aktiviert.』,<color=#EB96FF>,Wächterengel Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit von Schilden um 20%,<color=#6EDCFF>,Erhöhe die maximale Anzahl von Schilden um 1,<color=#FF76DE>,Verringere den erlittenen Schaden um 5% (Alle Klassen),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,Okkultist,학파,0 ,<color=#EBEBEB>,〔Arkaner Strahl Lv +1〕 @ Erhöhe den Schaden von Arkaner Strahl um 〈3%〉 bei jedem Levelaufstieg von [5] des Charakters 『zusätzlich』.,<color=#32FFE1>,Arkaner Strahl Lv +1,<color=#6EDCFF>,Verringere die Abklingzeit des Arkanstrahls um 20%,<color=#6EDCFF>,Erhöhe die Anzahl der arkanen Strahlen um 35%,<color=#FF76DE>,Erhöhe den Schaden des arkanen Strahls um 20%. (Alle Klassen),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
