ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,Empyreanischer Zorn,조합,417 ,444 ,0 ,<color=#F5F5E1>,"Die Explosion des Gewitters deckt einen größeren Bereich ab, dehnt sich aber nicht aus.",<color=#6EDCFF>,Erhöhe den Schaden des Gewitters um das 5-fache,<color=#6EDCFF>,Erhöhe die Anzahl der Gewitter um das 3-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,Stormbringer,4,Ein Gewitter schlägt augenblicklich ein.,`,0
2,Telekinetisches Schwert,조합,381 ,470 ,0 ,<color=#F5F5E1>,Geisterprojektile schneiden schneller durch Feinde und werden länger,<color=#F5F5E1>,"Für jede Reduktion der Geister-Abklingzeit um [0,15 Sekunden] erhöht sich der [Schadensmultiplikator] um 〈1〉",<color=#F5F5E1>,"Für jede Reduktion der Geister-Abklingzeit um [0,15 Sekunden] erhöht sich die [Angriffszahl] um 〈1〉",<color=#6EDCFF>,Erhöht den Geistschaden um das 3-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,Aura Blade,7,"Geist-Projektile haben eine geringe Chance, ihre Stärke zu maximieren, und werden proportional zur Kritischen Trefferchance verstärkt.",`,0
3,Verrücktes Spray,조합,497 ,382 ,0 ,<color=#F5F5E1>,Energiebolzen teilen sich in [4] und schießen in alle Richtungen,<color=#F5F5E1>,Energieblitz-Projektile bewegen sich weiter nach vorne.,<color=#6EDCFF>,Erhöhe den Energieblitz-Schaden um das 10-fache,<color=#6EDCFF>,Erhöhe die Anzahl der Energiebolzen um das 3-fache,<color=#6EDCFF>,Erhöhe die Energieblitz-Dauer um 30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,Terra-Strom,조합,517 ,472 ,0 ,<color=#F5F5E1>,Arkane Strahlen können Ziele in einem größeren Umkreis angreifen.,<color=#F5F5E1>,"Arkane Strahlen wechseln alle 〈0,5 Sekunden〉 die Richtung.",<color=#F5F5E1>,Arkaner Strahl erhält 1X [Schaden-Multiplikator] für jede Sekunde der Dauer,<color=#6EDCFF>,Erhöhe den Schaden der arkanen Strahlen um das 4-fache,<color=#6EDCFF>,Verringere die Abklingzeit des Arkanstrahls um 50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,Kriegsklima,조합,444 ,507 ,0 ,<color=#F5F5E1>,"Meteor-[Abklingzeit] wird schneller, abhängig von der Anzahl der Meteore, @ und sie werden in demselben [Intervall] wie ihre [Abklingzeit] erzeugt.",<color=#F5F5E1>,Meteor-[Abklingzeit] wird auch um 〈0 bis 80%〉 für jeden Meteor verringert.,<color=#6EDCFF>,Erhöhe den Meteor-Schaden um das 6-fache,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Ground Zero,5,Meteor wird gigantisch und bombardiert das gesamte Schlachtfeld.,`,0
6,Dämonen-Gleichung,조합,371 ,499 ,0 ,<color=#F5F5E1>,Feuerbälle werden gleichzeitig in mehrere Richtungen geschossen @ und der Attributseffekt 《Großer Knall》 wird nicht mehr aktiv sein.,<color=#6EDCFF>,"Erhöhe den Feuerball-Schaden um das 6,66-fache",<color=#6EDCFF>,Erhöhe die Feuerball-Durchdringung um 2,<color=#6EDCFF>,Erhöhe die Anzahl der Feuerbälle um das 4-fache,<color=#FF6464>,"Erhöhe die Abklingzeit von Feuerbällen um das 3,3-fache",<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,Nemesis,11,Die Stärke von Feuerball erhöht sich mit jeder Explosion.,`,0
7,Raserei,조합,544 ,366 ,0 ,<color=#F5F5E1>,Blitzschock wird länger und schneller erzeugt,<color=#F5F5E1>,"Wirkungsanzahl-Stacks beginnen bei 〈3〉 und werden bei 〈7〉 [zurückgesetzt]; bei jeder Reduktion der Abklingzeit von [5 Sekunden] auf [0,5 Sekunden] erhöht sich der [Wirkungsanzahl-Stack] um 〈1〉",<color=#6EDCFF>,Erhöhe den Blitzschock-Schaden um das 7-fache,<color=#6EDCFF>,Verringere die Abklingzeit des Blitzschocks um 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Berserker,22,"Die Stapel der Wirkungsanzahl von Blitzschock bleiben immer auf dem Maximum, @ und die maximale Stapelanzahl erhöht sich proportional zur Krit-Rate.",`,0
8,Grässlicher Wutanfall,조합,373 ,390 ,0 ,<color=#F5F5E1>,Feuerball [durchdringt] alle Gegner und bewegt sich zufällig,<color=#F5F5E1>,Feuerball explodiert nur beim Verschwinden mit 〈3X〉 Stärke,<color=#F5F5E1>,Feuerball-Schaden steigt proportional zur Wirkungsdauer,<color=#F5F5E1>,Feuerball-[Durchdringung] [1] erhöht [Schadensmultiplikator] um 〈3〉,<color=#6EDCFF>,Erhöhe den Feuerball-Schaden um das 4-fache,<color=#6EDCFF>,Verringere die Abklingzeit von Feuerbällen um 33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,Reaktion,조합,498 ,409 ,0 ,<color=#F5F5E1>,Energiebolzen werden in alle Richtungen erzeugt.,<color=#F5F5E1>,"Energiebolzen explodieren alle 〈0,5 Sekunden〉 und gewinnen bei jeder Explosion 〈20%〉 an Stärke.",<color=#6EDCFF>,Erhöhe den Energieblitz-Schaden um das 9-fache,<color=#FF6464>,Verringere die Anzahl der Energieblitze um 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
