ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Egoschwert,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,"[Insta-Töte] einen Gegner, dessen LP weniger als〈25%〉sind.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,Albtraum,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,"Die Größe der [Explosion], die beim Töten von Gegnern entsteht, wird erhöht, und gelegentlich wird sie stark {verstärkt}.",<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,Roter Drache,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,Verstärke ANG um 40%,<color=#64FF32>,Erhöhe ANG um 40%,<color=#6EDCFF>,Erhöhe den gesamten Magieschaden um 40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,Gift,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,"Maximale HP-Reduktion aller Gegner x1,15",<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,Avalon,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,"Der Effekt von 『##197##』 erhöht sich um das 〈1,5-fache〉 und der [Aura-Radius] wird vergrößert.",<color=#64FF32>,"Erhöhe die LP-Regeneration pro Sek. um 0,1%",<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,Orakel,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,Der Effekt von [Allgemeinen Passivzaubern] erhöht sich um 〈25%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,Erzengel,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[Belebe] 〈1〉 Mal mehr.,<color=#64FF32>,Erhöhe Maximale LP um 100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,Das fünfte Element,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,Verursacht bei jedem [5. Einsatz] eines Zaubers 〈50%〉 [Zusätzlichen Schaden].,<color=#6EDCFF>,Erhöhe den gesamten Magieschaden um 50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,Nekromant,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,"Wenn der 『##98##』-Effekt einen Gegner {sofort tötet}, entsteht eine [Explosion].",<color=#EB96FF>,(Der Explosionsschaden beträgt 75% der Max LP des Gegners),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
