ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Tên,Loại,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,Tia phép,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,Cường hóa đạn phép mặc định.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Tia phép 50% @ Giảm hồi chiêu Tia phép 5%,<color=#FFFFFF>,《Tăng số lượng Tia phép thêm 1》^《Tăng sát thương Tia phép 50%》^《》^《Tăng số lượng Tia phép thêm 1》^《Tăng sát thương Tia phép 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,Cầu lửa,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Phóng một viên đạn nổ.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Cầu lửa 50% @ Tăng kích thước Cầu lửa 10%,<color=#FFFFFF>,《Tăng số lượng Cầu lửa thêm 1》^《Tăng sát thương Cầu lửa 50%》^《Tăng kích thước Cầu lửa 20%》^《Tăng số lượng Cầu lửa thêm 1》^《Tăng sát thương Cầu lửa 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,Tinh linh,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Triệu hồi một Tinh linh tăng cường đòn đánh.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Tinh linh 50% @ Giảm hồi chiêu Tinh linh 5%,<color=#FFFFFF>,《Tăng sát thương Tinh linh 20% @ Tăng số lượng Tinh linh thêm 1》^《Tăng sát thương Tinh linh 20% @ Tăng số lượng Tinh linh thêm 1》^《Tăng sát thương Tinh linh 20% @ Tăng số lượng Tinh linh thêm 1》^《Tăng sát thương Tinh linh 20% @ Tăng số lượng Tinh linh thêm 1》^《Tăng sát thương Tinh linh 20% @ Tăng số lượng Tinh linh thêm 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,Vệ tinh,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Tạo một Vệ tinh xoay quanh nhân vật.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Vệ tinh 50% @ Tăng tốc độ xoay Vệ tinh 25%,<color=#FFFFFF>,《Tăng sát thương Vệ tinh 20% @ Tăng số lượng Vệ tinh thêm 1》^《Tăng sát thương Vệ tinh 20% @ Tăng số lượng Vệ tinh thêm 1》^《Tăng sát thương Vệ tinh 20% @ Tăng số lượng Vệ tinh thêm 1》^《Tăng sát thương Vệ tinh 20% @ Tăng số lượng Vệ tinh thêm 1》^《Tăng sát thương Vệ tinh 20% @ Tăng số lượng Vệ tinh thêm 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,Nova băng,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,[Đóng băng] kẻ địch gần đó trong chốc lát.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Nova băng 50% @ Tăng kích thước Nova băng 10%,<color=#FFFFFF>,《Tăng kích thước Nova băng 15%》^《Tăng sát thương Nova băng 50%》^《Giảm hồi chiêu Nova băng 15%》^《Tăng kích thước Nova băng 20%》^《Tăng sát thương Nova băng 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,Khiên,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Tạo Khiên chặn sát thương 〈một lần〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Giảm hồi chiêu Khiên 10%》^《Giảm hồi chiêu Khiên 10%》^《Giảm hồi chiêu Khiên 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,Giông bão,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Giông bão giáng xuống kẻ địch gần đó.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Giông bão 50% @ Giảm hồi chiêu Giông bão 5%,<color=#FFFFFF>,《Tăng sát thương Giông bão 20% @ Tăng số lượng Giông bão thêm 1》^《Tăng sát thương Giông bão 20% @ Tăng số lượng Giông bão thêm 1》^《Tăng sát thương Giông bão 20% @ Tăng số lượng Giông bão thêm 1》^《Tăng sát thương Giông bão 20% @ Tăng số lượng Giông bão thêm 1》^《Tăng sát thương Giông bão 20% @ Tăng số lượng Giông bão thêm 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,Vùng điện,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Gây sát thương kẻ địch xung quanh theo chu kỳ.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Vùng điện 50% @ Tăng kích thước Vùng điện 10%,<color=#FFFFFF>,《Tăng kích thước Vùng điện 15%》^《Tăng sát thương Vùng điện 50%》^《Tăng kích thước Vùng điện 15%》^《Tăng kích thước Vùng điện 20%》^《Tăng sát thương Vùng điện 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,Sóng thần,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Tạo một cơn sóng khổng lồ quét ngang chiến trường.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Tăng sát thương Sóng thần 50% @ Giảm hồi chiêu Sóng thần 5%,<color=#FFFFFF>,《Tăng số lượng Sóng thần thêm 3》^《Tăng sát thương Sóng thần 50%》^《Giảm hồi chiêu Sóng thần 15%》^《Tăng số lượng Sóng thần thêm 3》^《Tăng sát thương Sóng thần 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
