ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Tên,Loại,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Thuật sĩ,학파,0 ,<color=#EBEBEB>,"〔Tia phép Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Tia phép",<color=#32FFE1>,Tia phép Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Tia phép 20%,<color=#6EDCFF>,Tăng số lượng Tia phép thêm 1,<color=#FF76DE>,Tăng sát thương Tia phép 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,Nhà thiên văn,학파,0 ,<color=#EBEBEB>,"〔Vệ tinh Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Vệ tinh",<color=#32FFE1>,Vệ tinh Lv +1,<color=#6EDCFF>,Tăng tốc độ xoay Vệ tinh 50%,<color=#6EDCFF>,Tăng số lượng Vệ tinh 35%,<color=#FF76DE>,Tăng sát thương Vệ tinh 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,Pháp sư băng,학파,0 ,<color=#EBEBEB>,"〔Nova băng Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Nova băng",<color=#32FFE1>,Nova băng Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Nova băng 20%,<color=#6EDCFF>,Tăng kích thước Nova băng 25%,<color=#FF76DE>,Tăng sát thương Nova băng 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,Shaman,학파,0 ,<color=#EBEBEB>,"〔Giông bão Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Giông bão",<color=#32FFE1>,Giông bão Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Giông bão 20%,<color=#6EDCFF>,Tăng số lượng Giông bão 35%,<color=#FF76DE>,Tăng sát thương Giông bão 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,Tà thuật sư,학파,0 ,<color=#EBEBEB>,"〔Thiên thạch Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Thiên thạch",<color=#32FFE1>,Thiên thạch Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Thiên thạch 20%,<color=#6EDCFF>,Tăng số lượng Thiên thạch thêm 1,<color=#FF76DE>,Tăng sát thương Thiên thạch 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,Bí thuật sư,학파,0 ,<color=#EBEBEB>,"〔Tia phép Lv +1〕 @ Mỗi khi nhân vật lên [1] cấp, {cộng thêm} 〈1%〉 sát thương mọi phép @ Giảm 【1】 lựa chọn Phép và vô hiệu hóa [hồi Mana]",<color=#32FFE1>,Trí tuệ Lv +1,<color=#64FF32>,Tăng lượng Mana nhận được 10%,<color=#FF76DE>,Khuếch đại ATK 10%,<color=#FF76DE>,Tăng ATK 5% (mọi trường phái),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,Triệu hồi sư,학파,0 ,<color=#EBEBEB>,"〔Tinh linh Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Tinh linh",<color=#32FFE1>,Tinh linh Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Tinh linh 20%,<color=#6EDCFF>,Tăng số lượng Tinh linh 35%,<color=#FF76DE>,Tăng sát thương Tinh linh 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,Giám mục,학파,0 ,<color=#EBEBEB>,"〔Tia phép [&] Khiên Lv +1〕 @ Với mỗi Khiên đang hoạt động, ATK được {Khuếch đại} 〈10%〉 @ 『Khiên vẫn hoạt động ngay cả khi dùng trong Phép kết hợp.』",<color=#EB96FF>,Thiên thần hộ mệnh Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Khiên 20%,<color=#6EDCFF>,Tăng số Khiên tối đa thêm 1,<color=#FF76DE>,Giảm sát thương phải chịu 5% (mọi trường phái),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,Nhà huyền bí,학파,0 ,<color=#EBEBEB>,"〔Tia bí thuật Lv +1〕 @ Mỗi khi nhân vật lên [5] cấp, 『cộng thêm』 〈3%〉 sát thương Tia bí thuật",<color=#32FFE1>,Tia bí thuật Lv +1,<color=#6EDCFF>,Giảm hồi chiêu Tia bí thuật 20%,<color=#6EDCFF>,Tăng số lượng Tia bí thuật 35%,<color=#FF76DE>,Tăng sát thương Tia bí thuật 20% (mọi trường phái),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
