ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Ego Sword,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,[Instakill] an enemy whose HP is lower than 〈25%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,Nightmare,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,"The size of [Explosions] from defeated enemies increases, and occasionally the power is greatly {Enhanced}.",<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,Red Dragon,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,Amplify ATK by 40%,<color=#64FF32>,Increase ATK by 40%,<color=#6EDCFF>,Increase All Magic Damage by 40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,Venom,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,Max HP Reduction Rate of all enemies 〈x1.15〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,Avalon,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,"The effect of 『##197##』 increases by 〈1.5X〉, and [Aura Range] increases.",<color=#64FF32>,Increase HP Regen per sec. by 0.1%,<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,Oracle,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,Effects of [Normal Passive Magic] increase by 〈25%〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,Archangel,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[Revive] 〈1〉 more time.,<color=#64FF32>,Increase Max HP by 100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,The Fifth Element,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,Deal 〈50%〉 [Bonus Damage] every [5th] cast of each spell,<color=#6EDCFF>,Increase All Magic Damage by 50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,Necromancer,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,Enemies killed by the effect of 『##98##』 {Explode},<color=#EB96FF>,(Explosion Damage is 75% of the enemy's Max HP),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,Deadeye,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,All attacks become [Critical] during the duration of 『##50##』,<color=#64FF32>,Increase Critical Strike Multiplier by 50%,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
11,Trickster,4 ,158 ,69 ,70 ,121 ,0 ,<color=#F5F5E1>,[Criticals] from 『##70##』 activate the effect of 『##158##』,<color=#64FF32>,Increase Critical Strike Rate by 7%,<color=#FFFFFF>,`,100 ,14 ,7 ,1 ,0 ,1 ,0 
12,Sniper,4 ,105 ,44 ,77 ,180 ,0 ,<color=#F5F5E1>,Deal 〈25%〉 [additional Damage] to enemies whose [HP] is 〈75%〉 or above.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,93 ,25 ,1 ,0 ,1 ,0 
13,Nuclear,4 ,68 ,76 ,178 ,59 ,0 ,<color=#F5F5E1>,Increase [ATK] by 〈1%〉 per 〈3%〉 spell size increase rate,<color=#64FF32>,Increase All Magic Size by 20%,<color=#FFFFFF>,`,1 ,8 ,20 ,1 ,0 ,1 ,0 
14,Zero-to-Hundred,4 ,78 ,199 ,174 ,67 ,0 ,<color=#F5F5E1>,The {Amplify} effect of 『##199##』 increases by 〈x3〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,200 ,1 ,0 ,1 ,0 ,1 ,0 
15,Arbiter,4 ,79 ,179 ,221 ,169 ,0 ,<color=#EB96FF>,Total Magic Damage Multiplier 〈x1.25〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
16,Chronos,4 ,185 ,200 ,99 ,53 ,0 ,<color=#F5F5E1>,{Amplify} [ATK] by 〈1%〉 per [3%] cooldown reduction rate of all spells,<color=#64FF32>,Decrease All Magic Cooldown by 5%,<color=#FFFFFF>,`,1 ,6 ,5 ,1 ,0 ,1 ,0 
17,Monarch,4 ,177 ,42 ,175 ,63 ,0 ,<color=#F5F5E1>,Increase [ATK] by 〈1%〉 per owned [Common] Artifact,<color=#F5F5E1>,Increase [ATK] by 〈3%〉 per owned [Rare] Artifact,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
18,Architect,5 ,163 ,159 ,155 ,94 ,120 ,<color=#FF76DE>,Amplify ATK by 100%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,16 ,100 ,1 ,0 ,1 ,0 
19,Magnum Opus,5 ,66 ,84 ,195 ,116 ,167 ,<color=#F5F5E1>,{All} [Synergy] 〈Requirements〉 are 《1》 『Met.』,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
20,Godhand,4 ,201 ,221 ,181 ,90 ,0 ,<color=#F5F5E1>,Lightning from 『##201##』 converges and becomes {Enhanced},<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
21,Paladin,4 ,94 ,108 ,104 ,54 ,0 ,<color=#F5F5E1>,Amplify ATK by 〈100%〉 while in [Invincible State],<color=#64FF32>,Decrease Damage Taken by 5%,<color=#FFFFFF>,`,100 ,23 ,5 ,1 ,0 ,1 ,0 
22,AGI,4 ,204 ,116 ,41 ,48 ,0 ,<color=#F5F5E1>,[ATK] is 〈Increased〉 & {Amplified} by the effect of 『##204##』.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
23,Treasure Hunter,4 ,165 ,96 ,190 ,61 ,0 ,<color=#F5F5E1>,〈2〉 [Treasure Chests] are created at a random location.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,2 ,1 ,0 ,1 ,0 ,1 ,0 
24,Blood Moon,4 ,196 ,194 ,164 ,100 ,0 ,<color=#F5F5E1>,"The effect of {Rune of Frenzy} is applied even while inactive @ While active, deal 〈25%〉 [Additional Damage].",<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
25,Heartbreaker,5 ,213 ,60 ,49 ,188 ,55 ,<color=#EB96FF>,Critical Multiplier x1.25,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
26,Wonderland,4 ,162 ,179 ,219 ,107 ,0 ,<color=#F5F5E1>,Reduce [Size] of all enemies and the character by 〈9%〉,<color=#F5F5E1>,Decrease the [Max HP] of all enemies by 〈9%〉.,<color=#FFFFFF>,`,0 ,33 ,-9 ,32 ,-9 ,54 ,-9 
27,Cosmic Horror,3 ,115 ,195 ,152 ,0 ,0 ,<color=#F5F5E1>,Remove 【Debuff】 of 『##115##』,<color=#F5F5E1>,Remove 【Debuff】 of 『##195##』,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
28,Android,3 ,215 ,166 ,52 ,0 ,0 ,<color=#F5F5E1>,Remove 【Debuff】 of 『##215##』,<color=#64FF32>,Increase ATK by 30%,<color=#FFFFFF>,`,1 ,4 ,30 ,1 ,0 ,1 ,0 
29,Gravity,3 ,76 ,72 ,89 ,0 ,0 ,<color=#F5F5E1>,The wave of 『##72##』 greatly expands,<color=#F5F5E1>,Decrease the [Movement Speed] of all enemies by 〈5%〉.,<color=#FFFFFF>,`,1 ,55 ,-5 ,1 ,0 ,1 ,0 
30,Genius,4 ,155 ,217 ,82 ,184 ,0 ,<color=#F5F5E1>,Increase cap for [Bonus Levels] applied after Max Level by 〈10〉,<color=#64FF32>,Increase Mana Acquisition by 25%,<color=#FFFFFF>,`,0 ,43 ,10 ,38 ,25 ,1 ,0 
31,Conflux,4 ,202 ,182 ,41 ,160 ,0 ,<color=#F5F5E1>,The effect of 『##202##』 increases by 〈1.5X〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
32,Butcher,4 ,111 ,164 ,47 ,170 ,0 ,<color=#F5F5E1>,Deal 〈15%〉 [Additional Damage] to {Boss Wave Monsters}.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,732 ,15 ,1 ,0 ,1 ,0 
33,Gilgamesh,5 ,75 ,176 ,177 ,198 ,218 ,<color=#F5F5E1>,"When [2500] enemies are defeated, the {Rune of Greed} effect is activated.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,733 ,2500 ,1 ,0 ,1 ,0 
34,Homunculus,4 ,118 ,66 ,91 ,106 ,0 ,<color=#F5F5E1>,{Revive} with a 〈30%〉 chance upon death.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,730 ,30 ,1 ,0 ,1 ,0 
35,Broker,4 ,214 ,66 ,99 ,77 ,0 ,<color=#F5F5E1>,[Merchants'] {25% Discount Items} become 〈Free〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
36,Requiem,4 ,87 ,193 ,110 ,172 ,0 ,<color=#F5F5E1>,Enemies {Executed} by the effect of 『##193##』 fill the stacks of 『##87##』.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
37,Fanatic,3 ,216 ,115 ,154 ,0 ,0 ,<color=#F5F5E1>,"The effect of 『##154##』 increases by 〈2X〉, and its activation time becomes 〈2X〉 faster.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
38,Medusa,4 ,102 ,216 ,108 ,88 ,0 ,<color=#F5F5E1>,Deal [Additional Damage] equal to the number of stacks of 『##102##』 applied to the target.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
39,Dominus,4 ,168 ,186 ,56 ,173 ,0 ,<color=#F5F5E1>,Increase Combination Magic Damage by 〈25%〉 per activated [Combination Magic].,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,731 ,25 ,1 ,0 ,1 ,0 
40,Elixir,3 ,73 ,71 ,65 ,0 ,0 ,<color=#F5F5E1>,『##65##』 heals instantly and reduces [Cooldown] by 〈20s〉,<color=#64FF32>,Increase Life Orb HP Recovery by 50%,<color=#FFFFFF>,`,1 ,36 ,50 ,1 ,0 ,1 ,0 
41,Healing Factor,3 ,91 ,106 ,51 ,0 ,0 ,<color=#F5F5E1>,[Bonus HP] from 『##106##』 increases with [HP Regen per Second],<color=#64FF32>,Increase HP Regen per sec. by 0.5%,<color=#FFFFFF>,`,1 ,24 ,50 ,1 ,0 ,1 ,0 
42,Steampunk,3 ,85 ,81 ,52 ,0 ,0 ,<color=#F5F5E1>,Decrease [All Artifact Cooldown] by 〈12%〉.,<color=#64FF32>,Increase All Magic Duration by 12%,<color=#FFFFFF>,`,0 ,110 ,-12 ,10 ,12 ,1 ,0 
43,Nymph,4 ,124 ,125 ,126 ,127 ,0 ,<color=#6EDCFF>,Increase All Magic Damage by 100%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,17 ,100 ,1 ,0 ,1 ,0 
44,Chaos,4 ,83 ,187 ,156 ,183 ,0 ,<color=#F5F5E1>,Magic triggered by 『##83##』 deals 〈x2〉 damage,<color=#FFFFFF>,`,<color=#FFFFFF>,`,100 ,1 ,0 ,1 ,0 ,1 ,0 
45,Genie,4 ,207 ,206 ,112 ,175 ,0 ,<color=#F5F5E1>,Occasionally drop [Large Mana Orb] when defeating normal enemies,<color=#64FF32>,Increase Mana Acquisition by 10%,<color=#FFFFFF>,`,1 ,38 ,10 ,1 ,0 ,1 ,0 
46,War Machine,4 ,171 ,123 ,120 ,52 ,0 ,<color=#F5F5E1>,Stacks of 『##171##』 instantly max out,<color=#64FF32>,Increase ATK by 20%,<color=#FFFFFF>,`,1 ,4 ,20 ,1 ,0 ,1 ,0 
