ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,魔法使い,학파,0 ,<color=#EBEBEB>,〔魔力弾Lv +1〕 @ キャラクターレベルが[5]上がるたびに魔力弾のダメージ量〈3%〉『追加』,<color=#32FFE1>,魔力弾 Lv +1,<color=#6EDCFF>,魔力弾のクールタイム20%減少,<color=#6EDCFF>,魔力弾の数1増加,<color=#FF76DE>,魔力弾のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,天文学者,학파,0 ,<color=#EBEBEB>,〔衛星Lv +1〕 @ キャラクターレベルが[5]上がるたびに衛星のダメージ量〈3%〉『追加』,<color=#32FFE1>,衛星 Lv +1,<color=#6EDCFF>,衛星の回転速度50%増加,<color=#6EDCFF>,衛星の数35%増加,<color=#FF76DE>,衛星のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,氷結師,학파,0 ,<color=#EBEBEB>,〔霜柱Lv +1〕 @ キャラクターレベルが[5]上がるたびに霜柱のダメージ量〈3%〉『追加』,<color=#32FFE1>,霜柱 Lv +1,<color=#6EDCFF>,霜柱のクールタイム20%減少,<color=#6EDCFF>,霜柱の大きさ25%増加,<color=#FF76DE>,霜柱のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,呪術師,학파,0 ,<color=#EBEBEB>,〔落雷Lv +1〕 @ キャラクターレベルが[5]上がるたびに落雷のダメージ量〈3%〉『追加』,<color=#32FFE1>,落雷 Lv +1,<color=#6EDCFF>,落雷のクールタイム20%減少,<color=#6EDCFF>,落雷の数35%増加,<color=#FF76DE>,落雷のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,ウォーロック,학파,0 ,<color=#EBEBEB>,〔隕石落下Lv +1〕 @ キャラクターレベルが[5]上がるたびに隕石落下のダメージ量〈3%〉『追加』,<color=#32FFE1>,隕石落下 Lv +1,<color=#6EDCFF>,隕石落下のクールタイム20%減少,<color=#6EDCFF>,隕石落下の数1増加,<color=#FF76DE>,隕石落下のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,魔道学者,학파,0 ,<color=#EBEBEB>,〔魔力弾Lv +1〕 @ キャラクターレベルが[1]上がるたびにすべての魔法のダメージ量が〈1%〉{追加} @ 魔法選択肢が【1】減少し、[マナ回収]ができない。,<color=#32FFE1>,知能 Lv +1,<color=#64FF32>,マナ獲得量10%増加,<color=#FF76DE>,攻撃力10%増幅,<color=#FF76DE>,攻撃力5%増加 (全クラス適用),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,召喚士,학파,0 ,<color=#EBEBEB>,〔精霊Lv +1〕 @ キャラクターレベルが[5]上がるたびに精霊のダメージ量〈3%〉『追加』,<color=#32FFE1>,精霊 Lv +1,<color=#6EDCFF>,精霊のクールタイム20%減少,<color=#6EDCFF>,精霊の数35%増加,<color=#FF76DE>,精霊のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,ビショップ,학파,0 ,<color=#EBEBEB>,〔魔力弾[＆]シールドLv +1〕 @ 有効なシールドの数につき攻撃力〈10%〉{増幅} @ 『シールドが魔法組み合わせに使用されても活性化される。』,<color=#EB96FF>,守護天使 Lv +1,<color=#6EDCFF>,シールドのクールタイム20%減少,<color=#6EDCFF>,シールドの最大チャージ数1増加,<color=#FF76DE>,受けるダメージ量5%減少 (全クラス適用),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,神秘術師,학파,0 ,<color=#EBEBEB>,〔ビジョン光線Lv +1〕 @ キャラクターレベルが[5]上がるたびにビジョン光線のダメージ量〈3%〉『追加』,<color=#32FFE1>,ビジョン光線 Lv +1,<color=#6EDCFF>,ビジョン光線のクールタイム20%減少,<color=#6EDCFF>,ビジョン光線の数35%増加,<color=#FF76DE>,ビジョン光線のダメージ量20%増加 (全クラス適用),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
