ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,エゴソード,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,HPが〈25%〉未満の敵を[即死]させる。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,ナイトメア,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,敵を倒すと発生する[爆発]のサイズが増加し、時々威力が大きく{強化}される。,<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,レッドドラゴン,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,攻撃力40%増幅,<color=#64FF32>,攻撃力40%増加,<color=#6EDCFF>,すべての魔法のダメージ量40%増加,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,ヴェノム,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,すべての敵の最大体力減少率 x1.15,<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,アヴァロン,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,『##197##』の効果が〈1.5倍〉増加し、[オーラ範囲]が広くなる。,<color=#64FF32>,毎秒HP回復率0.1%増加,<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,オラクル,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,[通常パッシブ魔法]の効果が〈25%〉増加する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,アークエンジェル,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[復活]回数が〈1〉増加する。,<color=#64FF32>,最大HP100%増加,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,第5元素,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,各魔法の[5回目]の詠唱ごとに〈50%〉[追加ダメージ]を与える。,<color=#6EDCFF>,すべての魔法のダメージ量50%増加,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,ネクロマンサー,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,『##98##』の効果で敵を{即死}させた場合、[爆発]が発生する。,<color=#EB96FF>,(爆発のダメージ量は敵の最大HPの75%),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,デッドアイ,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,『##50##』の持続時間中、常に[クリティカル]が発生する。,<color=#64FF32>,クリティカル倍率50%増加,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
11,トリックスター,4 ,158 ,69 ,70 ,121 ,0 ,<color=#F5F5E1>,『##70##』の[クリティカル]は『##158##』の効果を発動させる。,<color=#64FF32>,クリティカル率7%増加,<color=#FFFFFF>,`,100 ,14 ,7 ,1 ,0 ,1 ,0 
12,スナイパー,4 ,105 ,44 ,77 ,180 ,0 ,<color=#F5F5E1>,[HP]が〈75%〉以上の敵に〈25%〉の[追加ダメージ]を与える。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,93 ,25 ,1 ,0 ,1 ,0 
13,ニュークリア,4 ,68 ,76 ,178 ,59 ,0 ,<color=#F5F5E1>,すべての魔法のサイズ増加率〈3%〉ごとに[攻撃力]が〈1%〉増加する。,<color=#64FF32>,すべての魔法の大きさ20%増加,<color=#FFFFFF>,`,1 ,8 ,20 ,1 ,0 ,1 ,0 
14,ゼロバック,4 ,78 ,199 ,174 ,67 ,0 ,<color=#F5F5E1>,『##199##』の{増幅}効果が〈3倍〉に増加する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,200 ,1 ,0 ,1 ,0 ,1 ,0 
15,アービター,4 ,79 ,179 ,221 ,169 ,0 ,<color=#EB96FF>,すべての魔法のダメージ量増加率 x1.25,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
16,クロノス,4 ,185 ,200 ,99 ,53 ,0 ,<color=#F5F5E1>,すべての魔法のクールタイム減少率[3%]ごとに[攻撃力]が〈1%〉{増幅}される。,<color=#64FF32>,すべての魔法のクールタイム5%減少,<color=#FFFFFF>,`,1 ,6 ,5 ,1 ,0 ,1 ,0 
17,モナーク,4 ,177 ,42 ,175 ,63 ,0 ,<color=#F5F5E1>,所持中の[通常]アーティファクト1つにつき[攻撃力]が〈1%〉増加,<color=#F5F5E1>,所持中の[レア]アーティファクト1つにつき[攻撃力]が〈3%〉増加,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
18,アーキテクト,5 ,163 ,159 ,155 ,94 ,120 ,<color=#FF76DE>,攻撃力100%増幅,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,16 ,100 ,1 ,0 ,1 ,0 
19,マグナムオプス,5 ,66 ,84 ,195 ,116 ,167 ,<color=#F5F5E1>,{すべての} [シナジー]の〈条件〉が《1》『満たされる。』,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
20,ゴッドハンド,4 ,201 ,221 ,181 ,90 ,0 ,<color=#F5F5E1>,『##201##』の雷が1つに統合され{強化}される。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
21,パラディン,4 ,94 ,108 ,104 ,54 ,0 ,<color=#F5F5E1>,[無敵状態]のとき、攻撃力が〈100%〉{増幅}される。,<color=#64FF32>,受けるダメージ量5%減少,<color=#FFFFFF>,`,100 ,23 ,5 ,1 ,0 ,1 ,0 
22,AGI,4 ,204 ,116 ,41 ,48 ,0 ,<color=#F5F5E1>,『##204##』の効果分だけ[攻撃力]が〈増加〉 & {増幅}される。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
23,トレジャーハンター,4 ,165 ,96 ,190 ,61 ,0 ,<color=#F5F5E1>,ランダムな地点に[宝箱]〈2個〉が生成される。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,2 ,1 ,0 ,1 ,0 ,1 ,0 
24,ブラッドムーン,4 ,196 ,194 ,164 ,100 ,0 ,<color=#F5F5E1>,{狂乱のルーン}が非活性状態でも効果が適用され、 @ 活性状態では〈25%〉の[追加ダメージ]を与える。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
25,ハートブレイカー,5 ,213 ,60 ,49 ,188 ,55 ,<color=#EB96FF>,クリティカル倍率 x1.25,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
26,ワンダーランド,4 ,162 ,179 ,219 ,107 ,0 ,<color=#F5F5E1>,すべての敵とキャラクターの[サイズ]が〈9%〉小さくなる。,<color=#F5F5E1>,すべての敵の[最大HP]が〈9%〉減少する。,<color=#FFFFFF>,`,0 ,33 ,-9 ,32 ,-9 ,54 ,-9 
27,コズミックホラー,3 ,115 ,195 ,152 ,0 ,0 ,<color=#F5F5E1>,『##115##』の【デバフ】が解除される。,<color=#F5F5E1>,『##195##』の【デバフ】が解除される。,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
28,アンドロイド,3 ,215 ,166 ,52 ,0 ,0 ,<color=#F5F5E1>,『##215##』の【デバフ】が解除される。,<color=#64FF32>,攻撃力30%増加,<color=#FFFFFF>,`,1 ,4 ,30 ,1 ,0 ,1 ,0 
29,グラビティ,3 ,76 ,72 ,89 ,0 ,0 ,<color=#F5F5E1>,『##72##』の波動が大きく拡張する。,<color=#F5F5E1>,すべての敵の[移動速度]が〈5%〉減少する。,<color=#FFFFFF>,`,1 ,55 ,-5 ,1 ,0 ,1 ,0 
30,ジーニアス,4 ,155 ,217 ,82 ,184 ,0 ,<color=#F5F5E1>,最大レベル以降に適用される[追加レベル]の上限が〈10〉増加する。,<color=#64FF32>,マナ獲得量25%増加,<color=#FFFFFF>,`,0 ,43 ,10 ,38 ,25 ,1 ,0 
31,コンフラックス,4 ,202 ,182 ,41 ,160 ,0 ,<color=#F5F5E1>,『##202##』の効果が〈1.5倍〉増加する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
32,ブッチャー,4 ,111 ,164 ,47 ,170 ,0 ,<color=#F5F5E1>,{ボスウェーブモンスター}に〈15%〉の[追加ダメージ]を与える。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,732 ,15 ,1 ,0 ,1 ,0 
33,ギルガメッシュ,5 ,75 ,176 ,177 ,198 ,218 ,<color=#F5F5E1>,敵を[2500体]倒すと{強欲のルーン}効果が発動する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,733 ,2500 ,1 ,0 ,1 ,0 
34,ホムンクルス,4 ,118 ,66 ,91 ,106 ,0 ,<color=#F5F5E1>,死亡時、〈30%〉の確率で{復活}する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,730 ,30 ,1 ,0 ,1 ,0 
35,ブローカー,4 ,214 ,66 ,99 ,77 ,0 ,<color=#F5F5E1>,[商人]の{25%割引商品}が〈無料〉になる。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
36,レクイエム,4 ,87 ,193 ,110 ,172 ,0 ,<color=#F5F5E1>,『##193##』の効果で{即死}させた敵が『##87##』のスタックを蓄積する。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
37,ファナティック,3 ,216 ,115 ,154 ,0 ,0 ,<color=#F5F5E1>,『##154##』の効果が〈2倍〉増加し、発動時間が〈2倍〉速くなる。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
38,メデューサ,4 ,102 ,216 ,108 ,88 ,0 ,<color=#F5F5E1>,対象に適用された『##102##』のスタック数だけ[追加ダメージ]を与える。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
