ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,마법사,학파,0 ,<color=#EBEBEB>,〔마력탄 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 마력탄 피해량 〈3%〉 『추가』,<color=#32FFE1>,마력탄 Lv +1,<color=#6EDCFF>,마력탄 쿨타임 20% 감소,<color=#6EDCFF>,마력탄 개수 1 증가,<color=#FF76DE>,마력탄 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,천문학자,학파,0 ,<color=#EBEBEB>,〔위성 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 위성 피해량 〈3%〉 『추가』,<color=#32FFE1>,위성 Lv +1,<color=#6EDCFF>,위성 회전속도 50% 증가,<color=#6EDCFF>,위성 개수 35% 증가,<color=#FF76DE>,위성 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,빙결사,학파,0 ,<color=#EBEBEB>,〔서릿발 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 서릿발 피해량 〈3%〉 『추가』,<color=#32FFE1>,서릿발 Lv +1,<color=#6EDCFF>,서릿발 쿨타임 20% 감소,<color=#6EDCFF>,서릿발 크기 25% 증가,<color=#FF76DE>,서릿발 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,주술사,학파,0 ,<color=#EBEBEB>,〔낙뢰 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 낙뢰 피해량 〈3%〉 『추가』,<color=#32FFE1>,낙뢰 Lv +1,<color=#6EDCFF>,낙뢰 쿨타임 20% 감소,<color=#6EDCFF>,낙뢰 개수 35% 증가,<color=#FF76DE>,낙뢰 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,워록,학파,0 ,<color=#EBEBEB>,〔운석 낙하 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 운석 낙하 피해량 〈3%〉 『추가』,<color=#32FFE1>,운석 낙하 Lv +1,<color=#6EDCFF>,운석 낙하 쿨타임 20% 감소,<color=#6EDCFF>,운석 낙하 개수 1 증가,<color=#FF76DE>,운석 낙하 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,마도학자,학파,0 ,<color=#EBEBEB>,〔마력탄 Lv +1〕 @ 캐릭터 레벨이 [1] 오를 때마다 모든 마법 피해량 〈1%〉 {추가} @ 마법 선택지가 【1】 감소하고 [마나 회수]를 할 수 없다.,<color=#32FFE1>,지능 Lv +1,<color=#64FF32>,마나 획득량 10% 증가,<color=#FF76DE>,공격력 10% 증폭,<color=#FF76DE>,공격력 5% 증가 (모든 학파 적용),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,소환사,학파,0 ,<color=#EBEBEB>,〔정령 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 정령 피해량 〈3%〉 『추가』,<color=#32FFE1>,정령 Lv +1,<color=#6EDCFF>,정령 쿨타임 20% 감소,<color=#6EDCFF>,정령 개수 35% 증가,<color=#FF76DE>,정령 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,비숍,학파,0 ,<color=#EBEBEB>,〔마력탄 [&] 보호막 Lv +1〕 @ 활성화 된 보호막 개수당 공격력 〈10%〉 {증폭} @ 『보호막이 마법 조합에 사용되어도 활성화된다.』,<color=#EB96FF>,수호천사 Lv +1,<color=#6EDCFF>,보호막 쿨타임 20% 감소,<color=#6EDCFF>,보호막 최대 충전 개수 1 증가,<color=#FF76DE>,받는 피해량 5% 감소 (모든 학파 적용),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,신비술사,학파,0 ,<color=#EBEBEB>,〔비전 광선 Lv +1〕 @ 캐릭터 레벨이 [5] 오를 때마다 비전 광선 피해량 〈3%〉 『추가』,<color=#32FFE1>,비전 광선 Lv +1,<color=#6EDCFF>,비전 광선 쿨타임 20% 감소,<color=#6EDCFF>,비전 광선 개수 35% 증가,<color=#FF76DE>,비전 광선 피해량 20% 증가 (모든 학파 적용),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
