ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,에고소드,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,체력이 〈25%〉 미만인 적을 [즉시 처치]한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,나이트메어,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,적 처치 시 발생하는 [폭발] 크기가 증가하며 가끔 위력이 크게 {강화}된다.,<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,레드 드래곤,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,공격력 40% 증폭,<color=#64FF32>,공격력 40% 증가,<color=#6EDCFF>,모든 마법 피해량 40% 증가,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,베놈,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,모든 적 최대 체력 감소율 x1.15,<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,아발론,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,"『##197##』의 효과가 〈1.5배〉 증가하고, [오라 범위]가 넓어진다.",<color=#64FF32>,초당 체력회복률 0.1% 증가,<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,오라클,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,[일반 패시브 마법]의 효과가 〈25%〉 증가한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,아크엔젤,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[부활] 횟수가 〈1〉 증가한다.,<color=#64FF32>,최대 체력 100% 증가,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,제5원소,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,각 마법의 [5번째] 시전마다 〈50%〉 [추가 피해]를 입힌다.,<color=#6EDCFF>,모든 마법 피해량 50% 증가,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,네크로맨서,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>, 『##98##』 효과로 적을 {즉사}시키면 [폭발]한다.,<color=#EB96FF>,(폭발 피해량은 적 최대 체력의 75%),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,데드아이,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,『##50##』의 지속시간 동안 항상 [치명타]가 발생한다.,<color=#64FF32>,치명타 배율 50% 증가,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
11,트릭스터,4 ,158 ,69 ,70 ,121 ,0 ,<color=#F5F5E1>,『##70##』의 [치명타]는 『##158##』 효과를 발동시킨다.,<color=#64FF32>,치명타율 7% 증가,<color=#FFFFFF>,`,100 ,14 ,7 ,1 ,0 ,1 ,0 
12,스나이퍼,4 ,105 ,44 ,77 ,180 ,0 ,<color=#F5F5E1>,[체력]이 〈75%〉 이상인 적에게 〈25%〉 [추가 피해]를 입힌다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,93 ,25 ,1 ,0 ,1 ,0 
13,뉴클리어,4 ,68 ,76 ,178 ,59 ,0 ,<color=#F5F5E1>,모든 마법 크기 증가율 〈3%〉 당 [공격력]이 〈1%〉 증가한다.,<color=#64FF32>,모든 마법 크기 20% 증가,<color=#FFFFFF>,`,1 ,8 ,20 ,1 ,0 ,1 ,0 
14,제로백,4 ,78 ,199 ,174 ,67 ,0 ,<color=#F5F5E1>,『##199##』의 {증폭} 효과가 〈3배〉 증가한다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,200 ,1 ,0 ,1 ,0 ,1 ,0 
15,아비터,4 ,79 ,179 ,221 ,169 ,0 ,<color=#EB96FF>,모든 마법 피해량 증가율 x1.25,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
16,크로노스,4 ,185 ,200 ,99 ,53 ,0 ,<color=#F5F5E1>,모든 마법 쿨타임 감소율 [3%] 당 [공격력]이 〈1%〉 {증폭}된다.,<color=#64FF32>,모든 마법 쿨타임 5% 감소,<color=#FFFFFF>,`,1 ,6 ,5 ,1 ,0 ,1 ,0 
17,모나크,4 ,177 ,42 ,175 ,63 ,0 ,<color=#F5F5E1>,보유중인 [일반] 아티팩트당 [공격력] 〈1%〉 증가,<color=#F5F5E1>,보유중인 [희귀] 아티팩트당 [공격력] 〈3%〉 증가,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
18,아키텍트,5 ,163 ,159 ,155 ,94 ,120 ,<color=#FF76DE>,공격력 100% 증폭,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,16 ,100 ,1 ,0 ,1 ,0 
19,마그눔 오푸스,5 ,66 ,84 ,195 ,116 ,167 ,<color=#F5F5E1>,{모든} [시너지] 〈조건이〉 《1》 『충족된다.』,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
20,갓핸드,4 ,201 ,221 ,181 ,90 ,0 ,<color=#F5F5E1>,『##201##』의 번개가 하나로 합쳐지며 {강화}된다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
21,팔라딘,4 ,94 ,108 ,104 ,54 ,0 ,<color=#F5F5E1>,[무적 상태]일 때 공격력이 〈100%〉 {증폭}된다.,<color=#64FF32>,받는 피해량 5% 감소,<color=#FFFFFF>,`,100 ,23 ,5 ,1 ,0 ,1 ,0 
22,AGI,4 ,204 ,116 ,41 ,48 ,0 ,<color=#F5F5E1>,『##204##』의 효과만큼 [공격력]이 〈증가〉 & {증폭}된다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,1 ,0 ,1 ,0 ,1 ,0 
23,트레져 헌터,4 ,165 ,96 ,190 ,61 ,0 ,<color=#F5F5E1>,무작위 지점에 [보물상자] 〈2개〉가 생성된다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,2 ,1 ,0 ,1 ,0 ,1 ,0 
24,블러드문,4 ,196 ,194 ,164 ,100 ,0 ,<color=#F5F5E1>,{광분의 룬}이 비활성화 상태에서도 효과가 적용되며 @ 활성화 상태에서는 〈25%〉 [추가 피해]를 준다.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
25,하트 브레이커,5 ,213 ,60 ,49 ,188 ,55 ,<color=#EB96FF>,치명타 배율 x1.25,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
26,원더랜드,4 ,162 ,179 ,219 ,107 ,0 ,<color=#F5F5E1>,모든 적과 캐릭터의 [크기]가 〈9%〉 작아진다.,<color=#F5F5E1>,모든 적의 [최대 체력]이 〈9%〉 감소한다.,<color=#FFFFFF>,`,0 ,33 ,-9 ,32 ,-9 ,54 ,-9 
