ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,Raio Mágico,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,Melhore o projétil padrão.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Raio Mágico em 50% @ Reduza a recarga de Raio Mágico em 5%,<color=#FFFFFF>,《Aumente o número de Raios Mágicos em 1》^《Aumente o dano de Raio Mágico em 50%》^《》^《Aumente o número de Raios Mágicos em 1》^《Aumente o dano de Raio Mágico em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,Bola de Fogo,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Lance um projétil explosivo.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Bola de Fogo em 50% @ Aumente o tamanho de Bola de Fogo em 10%,<color=#FFFFFF>,《Aumente o número de Bolas de Fogo em 1》^《Aumente o dano de Bola de Fogo em 50%》^《Aumente o tamanho de Bola de Fogo em 20%》^《Aumente o número de Bolas de Fogo em 1》^《Aumente o dano de Bola de Fogo em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,Espírito,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Invoque um Espírito que aumenta os ataques.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Espírito em 50% @ Reduza a recarga de Espírito em 5%,<color=#FFFFFF>,《Aumente o dano de Espírito em 20% @ Aumente o número de Espíritos em 1》^《Aumente o dano de Espírito em 20% @ Aumente o número de Espíritos em 1》^《Aumente o dano de Espírito em 20% @ Aumente o número de Espíritos em 1》^《Aumente o dano de Espírito em 20% @ Aumente o número de Espíritos em 1》^《Aumente o dano de Espírito em 20% @ Aumente o número de Espíritos em 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,Satélite,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crie um Satélite que ronda o personagem.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Satélite em 50% @ Aumente a velocidade de rotação de Satélite em 25%,<color=#FFFFFF>,《Aumente o dano de Satélite em 20% @ Aumente o número de Satélites em 1》^《Aumente o dano de Satélite em 20% @ Aumente o número de Satélites em 1》^《Aumente o dano de Satélite em 20% @ Aumente o número de Satélites em 1》^《Aumente o dano de Satélite em 20% @ Aumente o número de Satélites em 1》^《Aumente o dano de Satélite em 20% @ Aumente o número de Satélites em 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,Nova Gélida,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,[Congele] inimigos próximos por um momento.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Nova Gélida em 50% @ Aumente o tamanho de Nova Gélida em 10%,<color=#FFFFFF>,《Aumente o tamanho de Nova Gélida em 15%》^《Aumente o dano de Nova Gélida em 50%》^《Reduza a recarga de Nova Gélida em 15%》^《Aumente o tamanho de Nova Gélida em 20%》^《Aumente o dano de Nova Gélida em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,Escudo,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Invoque um Escudo que bloqueia dano [uma vez].,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Reduza a recarga de Escudo em 10%》^《Reduza a recarga de Escudo em 10%》^《Reduza a recarga de Escudo em 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,Tempestade,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Uma tempestade cai sobre os inimigos próximos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Tempestade em 50% @ Reduza a recarga de Tempestade em 5%,<color=#FFFFFF>,《Aumente o dano de Tempestade em 20% @ Aumente o número de Tempestades em 1》^《Aumente o dano de Tempestade em 20% @ Aumente o número de Tempestades em 1》^《Aumente o dano de Tempestade em 20% @ Aumente o número de Tempestades em 1》^《Aumente o dano de Tempestade em 20% @ Aumente o número de Tempestades em 1》^《Aumente o dano de Tempestade em 20% @ Aumente o número de Tempestades em 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,Zona Elétrica,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Cause dano aos inimigos próximos por um intervalo determinado.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Zona Elétrica em 50% @ Aumente o tamanho de Zona Elétrica em 10%,<color=#FFFFFF>,《Aumente o tamanho de Zona Elétrica em 15%》^《Aumente o dano de Zona Elétrica em 50%》^《Aumente o tamanho de Zona Elétrica em 15%》^《Aumente o tamanho de Zona Elétrica em 20%》^《Aumente o dano de Zona Elétrica em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,Tsunami,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crie uma onda gigante que atravessa o campo.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumente o dano de Tsunami em 50% @ Reduza a recarga de Tsunami em 5%,<color=#FFFFFF>,《Aumente o número de Tsunamis em 3》^《Aumente o dano de Tsunami em 50%》^《Reduza a recarga de Tsunami em 15%》^《Aumente o número de Tsunamis em 3》^《Aumente o dano de Tsunami em 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
