ID,이름,개수,ID_01,ID_02,ID_03,ID_04,ID_05,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,시너지 고유값,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값
0,Name,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,`,<color=#000000>,`,<color=#000000>,`,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Espada do Ego,4 ,74 ,187 ,100 ,56 ,0 ,<color=#F5F5E1>,[Mate instantaneamente] um inimigo cuja vida esteja abaixo de 〈25%〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,82 ,5 ,1 ,0 ,1 ,0 
2,Pesadelo,4 ,101 ,211 ,49 ,44 ,0 ,<color=#F5F5E1>,O [Tamanho] da explosão ao derrotar inimigos aumenta e ocasionalmente o poder é {fortalecido},<color=#F5F5E1>,`,<color=#FFFFFF>,`,1 ,98 ,15 ,1 ,0 ,1 ,0 
3,Dragão Vermelho,4 ,157 ,203 ,186 ,103 ,0 ,<color=#FF76DE>,Amplifique o ataque em 40%,<color=#64FF32>,Aumente o ataque em 40%,<color=#6EDCFF>,Aumente todo o dano mágico em 40%,0 ,16 ,40 ,4 ,40 ,17 ,40 
4,Veneno,4 ,86 ,192 ,43 ,62 ,0 ,<color=#EB96FF>,"Taxa de Redução do HP Máximo dos inimigos x1,15",<color=#FFFFFF>,`,<color=#FFFFFF>,`,15 ,1 ,0 ,1 ,0 ,1 ,0 
5,Avalon,4 ,197 ,109 ,73 ,181 ,0 ,<color=#F5F5E1>,"Efeito de 『##197##』 aumenta em 〈1,5x〉 e o [Alcance da Aura] aumenta.",<color=#64FF32>,"Aumente a regeneração de vida por segundo em 0,1%",<color=#FFFFFF>,`,0 ,24 ,10 ,1 ,0 ,1 ,0 
6,Oráculo,4 ,117 ,122 ,167 ,217 ,0 ,<color=#F5F5E1>,Efeito de [Magia Passiva Comum] aumenta em 〈25%〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
7,Arcanjo,4 ,153 ,191 ,189 ,90 ,0 ,<color=#F5F5E1>,[Reviva] mais〈1〉 vez.,<color=#64FF32>,Aumente a vida máx. em 100%,<color=#FFFFFF>,`,1 ,20 ,100 ,1 ,0 ,1 ,0 
8,O Quinto Elemento,4 ,57 ,84 ,149 ,114 ,0 ,<color=#F5F5E1>,"A cada [5ª vez] que uma magia é conjurada, causa 〈50%〉 de [Dano Adicional]",<color=#6EDCFF>,Aumente todo o dano mágico em 50%,<color=#FFFFFF>,`,50 ,17 ,50 ,1 ,0 ,1 ,0 
9,Necromante,4 ,98 ,45 ,110 ,92 ,0 ,<color=#F5F5E1>,"Se o efeito de 『##98##』 causar {morte instantânea}, o inimigo [explode]",<color=#EB96FF>,(Dano de explosão é 75% da vida máx. do inimigo),<color=#FFFFFF>,`,-100 ,708 ,75 ,1 ,0 ,1 ,0 
10,Olho Morto,4 ,50 ,154 ,170 ,64 ,0 ,<color=#F5F5E1>,"Durante a duração de 『##50##』, todos os ataques são [Críticos]",<color=#64FF32>,Aumente o multiplicador de Golpe Crítico em 50%,<color=#FFFFFF>,`,100 ,15 ,50 ,1 ,0 ,1 ,0 
11,Trapaceiro,4 ,158 ,69 ,70 ,121 ,0 ,<color=#F5F5E1>,Críticos de 『##70##』 ativam o efeito de 『##158##』,<color=#64FF32>,Aumente a taxa de Golpe Crítico em 7%,<color=#FFFFFF>,`,100 ,14 ,7 ,1 ,0 ,1 ,0 
12,Franco-atirador,4 ,105 ,44 ,77 ,180 ,0 ,<color=#F5F5E1>,Cause 〈25%〉 de [dano adicional] a inimigos cuja [vida] esteja em 〈75%〉 ou acima.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,0 ,93 ,25 ,1 ,0 ,1 ,0 
13,Nuclear,4 ,68 ,76 ,178 ,59 ,0 ,<color=#F5F5E1>,[Ataque] aumenta em 〈1%〉 para cada 〈3%〉 de Aumento de Tamanho de todas as magias,<color=#64FF32>,Aumente todo o tamanho da magia em 20%,<color=#FFFFFF>,`,1 ,8 ,20 ,1 ,0 ,1 ,0 
14,Zero a Cem,4 ,78 ,199 ,174 ,67 ,0 ,<color=#F5F5E1>,Efeito de {Amplificação} de 『##199##』 aumenta em 〈3x〉,<color=#FFFFFF>,`,<color=#FFFFFF>,`,200 ,1 ,0 ,1 ,0 ,1 ,0 
15,Árbitro,4 ,79 ,179 ,221 ,169 ,0 ,<color=#EB96FF>,"Taxa de Aumento do Dano de Magia x1,25",<color=#FFFFFF>,`,<color=#FFFFFF>,`,25 ,1 ,0 ,1 ,0 ,1 ,0 
16,Chronos,4 ,185 ,200 ,99 ,53 ,0 ,<color=#F5F5E1>,"Para cada [3%] de Redução do Tempo de Recarga de Magia, o [Ataque] é {amplificado} em 〈1%〉",<color=#64FF32>,Reduza toda a recarga mágica em 5%,<color=#FFFFFF>,`,1 ,6 ,5 ,1 ,0 ,1 ,0 
