ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,Магическая пуля,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,Усиливает базовые снаряды.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон магических пуль +50% @ Время перезарядки магических пуль -5%,<color=#FFFFFF>,《Число магических пуль +1》^《Урон магических пуль +50%》^《》^《Число магических пуль +1》^《Урон магических пуль +50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,Огненный шар,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Стреляет взрывающимися снарядами.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон огненных шаров +50% @ Размер огненных шаров +10%,<color=#FFFFFF>,《Число огненных шаров +1》^《Урон огненных шаров +50%》^《Размер огненных шаров +20%》^《Число огненных шаров +1》^《Урон огненных шаров +50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,Дух,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,"Призывает духов, которые помогают атаковать.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон духов +50% @ Время перезарядки духов -5%,<color=#FFFFFF>,《Урон духов +20% @ Число духов +1》^《Урон духов +20% @ Число духов +1》^《Урон духов +20% @ Число духов +1》^《Урон духов +20% @ Число духов +1》^《Урон духов +20% @ Число духов +1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,Спутник,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Рядом с персонажем начинает вращаться спутник.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон спутников +50% @ Скорость вращения спутников +25%,<color=#FFFFFF>,《Урон спутников +20% @ Число спутников +1》^《Урон спутников +20% @ Число спутников +1》^《Урон спутников +20% @ Число спутников +1》^《Урон спутников +20% @ Число спутников +1》^《Урон спутников +20% @ Число спутников +1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,Ледяные иглы,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Ненадолго [замораживают] ближайших врагов.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон ледяных игл +50% @ Размер ледяных игл +10%,<color=#FFFFFF>,《Размер ледяных игл +15%》^《Урон ледяных игл +50%》^《Время перезарядки ледяных игл -15%》^《Размер ледяных игл +20%》^《Урон ледяных игл +50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,Щит,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,"Создает щит, который 〈1 раз〉 защищает персонажа от урона.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Время перезарядки щита -10%》^《Время перезарядки щита -10%》^《Время перезарядки щита -10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,Молния,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,По ближайшим врагам бьют молнии.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон молний +50% @ Время перезарядки молний -5%,<color=#FFFFFF>,《Урон молний +20% @ Число молний +1》^《Урон молний +20% @ Число молний +1》^《Урон молний +20% @ Число молний +1》^《Урон молний +20% @ Число молний +1》^《Урон молний +20% @ Число молний +1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,Область электротока,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Периодически наносит урон ближайшим врагам.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон области электротока +50% @ Размер области электротока +10%,<color=#FFFFFF>,《Размер области электротока +15%》^《Урон области электротока +50%》^《Размер области электротока +15%》^《Размер области электротока +20%》^《Урон области электротока +50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,Цунами,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,"Вызывает огромную волну, которая проносится по полю.",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Урон цунами +50% @ Время перезарядки цунами -5%,<color=#FFFFFF>,《Число цунами +3》^《Урон цунами +50%》^《Время перезарядки цунами -15%》^《Число цунами +3》^《Урон цунами +50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
