ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,Disparo mágico,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,Mejora el proyectil básico.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño del Disparo mágico un 50% @ Reduce el tiempo de recup. del Disparo mágico un 5%,<color=#FFFFFF>,《Aumenta el número de Disparos mágicos en 1》^《Aumenta el Daño del Disparo mágico un 50%》^《》^《Aumenta el número de Disparos mágicos en 1》^《Aumenta el Daño del Disparo mágico un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,Bola de fuego,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Lanza un proyectil explosivo.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño de la Bola de fuego un 50% @ Aumenta el Tamaño de la Bola de fuego un 10%,<color=#FFFFFF>,《Aumenta el número de Bolas de fuego en 1》^《Aumenta el Daño de la Bola de fuego un 50%》^《Aumenta el Tamaño de la Bola de fuego un 20%》^《Aumenta el número de Bolas de fuego en 1》^《Aumenta el Daño de la Bola de fuego un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,Espíritu,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Invoca a un Espíritu que aumenta los ataques.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño del Espíritu un 50% @ Reduce el tiempo de recup. del Espíritu un 5%,<color=#FFFFFF>,《Aumenta el Daño del Espíritu un 20% @ Aumenta el número de Espíritus en 1》^《Aumenta el Daño del Espíritu un 20% @ Aumenta el número de Espíritus en 1》^《Aumenta el Daño del Espíritu un 20% @ Aumenta el número de Espíritus en 1》^《Aumenta el Daño del Espíritu un 20% @ Aumenta el número de Espíritus en 1》^《Aumenta el Daño del Espíritu un 20% @ Aumenta el número de Espíritus en 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,Satélite,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crea un Satélite que gira alrededor del personaje.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño del Satélite un 50% @ Aumenta la Vel. de giro de Satélite un 25%,<color=#FFFFFF>,《Aumenta el Daño del Satélite un 20% @ Aumenta el número de Satélites en 1》^《Aumenta el Daño del Satélite un 20% @ Aumenta el número de Satélites en 1》^《Aumenta el Daño del Satélite un 20% @ Aumenta el número de Satélites en 1》^《Aumenta el Daño del Satélite un 20% @ Aumenta el número de Satélites en 1》^《Aumenta el Daño del Satélite un 20% @ Aumenta el número de Satélites en 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,Nova de hielo,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,[Congela] a los enemigos cercanos un momento.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño de la Nova de hielo un 50% @ Aumenta el Tamaño de la Nova de hielo un 10%,<color=#FFFFFF>,《Aumenta el Tamaño de la Nova de hielo un 15%》^《Aumenta el Daño de la Nova de hielo un 50%》^《Reduce el tiempo de recup. de Nova de hielo un 15%》^《Aumenta el Tamaño de la Nova de hielo un 20%》^《Aumenta el Daño de la Nova de hielo un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,Escudo,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Crea un Escudo que bloquea el Daño 〈una vez〉.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Reduce el tiempo de recup. del Escudo un 10%》^《Reduce el tiempo de recup. del Escudo un 10%》^《Reduce el tiempo de recup. del Escudo un 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,Tormenta de rayos,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Cae una Tormenta de rayos sobre los enemigos cercanos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño de la Tormenta de rayos un 50% @ Reduce el tiempo de recup. de la Tormenta de rayos un 5%,<color=#FFFFFF>,《Aumenta el Daño de la Tormenta de rayos un 20% @ Aumenta el número de Tormentas de rayos en 1》^《Aumenta el Daño de la Tormenta de rayos un 20% @ Aumenta el número de Tormentas de rayos en 1》^《Aumenta el Daño de la Tormenta de rayos un 20% @ Aumenta el número de Tormentas de rayos en 1》^《Aumenta el Daño de la Tormenta de rayos un 20% @ Aumenta el número de Tormentas de rayos en 1》^《Aumenta el Daño de la Tormenta de rayos un 20% @ Aumenta el número de Tormentas de rayos en 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,Zona eléctrica,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Daña a los enemigos cercanos durante un intervalo de tiempo.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño de la Zona eléctrica un 50% @ Aumenta el Tamaño de la Zona eléctrica un 10%,<color=#FFFFFF>,《Aumenta el Tamaño de la Zona eléctrica un 15%》^《Aumenta el Daño de la Zona eléctrica un 50%》^《Aumenta el Tamaño de la Zona eléctrica un 15%》^《Aumenta el Tamaño de la Zona eléctrica un 20%》^《Aumenta el Daño de la Zona eléctrica un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,Tsunami,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crea una ola gigante que atraviesa el campo de batalla.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño del Tsunami un 50% @ Reduce el tiempo de recup. del Tsunami un 5%,<color=#FFFFFF>,《Aumenta el número de Tsunamis en 3》^《Aumenta el Daño del Tsunami un 50%》^《Reduce el tiempo de recup. del Tsunami un 15%》^《Aumenta el número de Tsunamis en 3》^《Aumenta el Daño del Tsunami un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
10,Meteoro,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Cae un Meteoro sobre un lugar aleatorio.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño del Meteoro un 50% @ Reduce el tiempo de recup. del Meteoro un 5%,<color=#FFFFFF>,《Aumenta el número de Meteoros en 1》^《Aumenta el Daño del Meteoro un 50%》^《Aumenta el Tamaño del Meteoro un 20%》^《Aumenta el número de Meteoros en 1》^《Aumenta el Daño del Meteoro un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,323 ,1 ,321 ,50 ,324 ,20 ,323 ,1 ,321 ,50 ,1 ,0 ,321 ,50 ,327 ,5 ,`,`
11,Ocultación,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,"[Atraviesa] todos los objetos durante un momento, y aumenta la [Vel. de movimiento].",<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Aumenta la duración de la Ocultación un 30%》^《Aumenta la duración de la Ocultación un 30%》^《Aumenta la duración de la Ocultación un 30%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-11 ,1 ,352 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
12,Ciclón,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Crea un ciclón de viento que se hace más grande e inflige Daño.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño del Ciclón un 50% @ Aumenta la duración del Ciclón un 15%,<color=#FFFFFF>,《Aumenta el número de Ciclones en 1》^《Aumenta el Daño del Ciclón un 50%》^《Aumenta la duración del Ciclón un 30%》^《Aumenta el número de Ciclones en 1》^《Aumenta el Daño del Ciclón un 50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,393 ,1 ,391 ,50 ,395 ,30 ,393 ,1 ,391 ,50 ,1 ,0 ,391 ,50 ,395 ,15 ,`,`
13,Electrocución,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,Dispara electricidad en una dirección aleatoria.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,Aumenta el Daño de la Electrocución un 50% @ Reduce el tiempo de recup. de la Electrocución un 5%,<color=#FFFFFF>,《Aumenta el Daño de la Electrocución un 20% @ Aumenta el número de Electrocuciones en 1》^《Aumenta el Daño de la Electrocución un 20% @ Aumenta el número de Electrocuciones en 1》^《Aumenta el Daño de la Electrocución un 20% @ Aumenta el número de Electrocuciones en 1》^《Aumenta el Daño de la Electrocución un 20% @ Aumenta el número de Electrocuciones en 1》^《Aumenta el Daño de la Electrocución un 20% @ Aumenta el número de Electrocuciones en 1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-13 ,1 ,421 ,20 ,424 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,421 ,50 ,431 ,5 ,`,`
14,Armagedón,마법,6 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,Elimina a todos los enemigos.,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《Reduce el tiempo de recup. del Armagedón un 10%》^《Reduce el tiempo de recup. del Armagedón un 10%》^《Reduce el tiempo de recup. del Armagedón un 10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-14 ,1 ,443 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,`,`
