ID,이름,유형,요구레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값
0,Name,Type,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
1,Hechicero,학파,0 ,<color=#EBEBEB>,"〔Disparo mágico Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Disparo mágico aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Disparo mágico Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. del Disparo mágico un 20%,<color=#6EDCFF>,Aumenta el número de Disparos mágicos en 1,<color=#FF76DE>,Aumenta el Daño del Disparo mágico un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-1 ,1 ,158 ,20 ,153 ,1 ,151 ,20 ,1 ,0 ,1 ,0 
2,Astrónomo,학파,0 ,<color=#EBEBEB>,"〔Satélite Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Satélite aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Satélite Lv +1,<color=#6EDCFF>,Aumenta la Vel. de giro de Satélite un 50%,<color=#6EDCFF>,Aumenta el número de Satélites un 35%,<color=#FF76DE>,Aumenta el Daño del Satélite un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,1 ,0 ,1 ,0 ,-4 ,1 ,311 ,50 ,309 ,35 ,306 ,20 ,1 ,0 ,1 ,0 
3,Criomante,학파,0 ,<color=#EBEBEB>,"〔Nova de hielo Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Nova de hielo aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Nova de hielo Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. de Nova de hielo un 20%,<color=#6EDCFF>,Aumenta el Tamaño de la Nova de hielo un 25%,<color=#FF76DE>,Aumenta el Daño de la Nova de hielo un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,1 ,0 ,1 ,0 ,-5 ,1 ,378 ,20 ,375 ,25 ,371 ,20 ,1 ,0 ,1 ,0 
4,Chamán,학파,0 ,<color=#EBEBEB>,"〔Tormenta de rayos Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Tormenta de rayos aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Tormenta de rayos Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. de la Tormenta de rayos un 20%,<color=#6EDCFF>,Aumenta el número de Tormentas de rayos un 35%,<color=#FF76DE>,Aumenta el Daño de la Tormenta de rayos un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,1 ,0 ,1 ,0 ,-7 ,1 ,219 ,20 ,214 ,35 ,211 ,20 ,1 ,0 ,1 ,0 
5,Brujo,학파,0 ,<color=#EBEBEB>,"〔Meteoro Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Meteoro aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Meteoro Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. del Meteoro un 20%,<color=#6EDCFF>,Aumenta el número de Meteoros en 1,<color=#FF76DE>,Aumenta el Daño del Meteoro un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-10 ,1 ,1 ,0 ,1 ,0 ,-10 ,1 ,327 ,20 ,323 ,1 ,321 ,20 ,1 ,0 ,1 ,0 
6,Arcanista,학파,0 ,<color=#EBEBEB>,"〔Disparo mágico Lv +1〕 @ Cada vez que el personaje sube [1] niveles, el Daño de Todas las Magias aumenta en un 〈1%〉 {Adicional} @ Se reduce 【1】 opción de magia y se desactiva la [Recuperación de Maná]",<color=#32FFE1>,Inteligencia Lv +1,<color=#64FF32>,Aumenta la Adquisición de maná un 10%,<color=#FF76DE>,Amplifica el ATQ un 10%,<color=#FF76DE>,Aumenta el ATQ un 5% (todas las clases),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,1 ,0 ,1 ,0 ,-31 ,1 ,38 ,10 ,16 ,10 ,4 ,5 ,1 ,0 ,1 ,0 
7,Invocador,학파,0 ,<color=#EBEBEB>,"〔Espíritu Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Espíritu aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Espíritu Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. del Espíritu un 20%,<color=#6EDCFF>,Aumenta el número de Espíritus un 35%,<color=#FF76DE>,Aumenta el Daño del Espíritu un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,1 ,0 ,1 ,0 ,-3 ,1 ,281 ,20 ,274 ,35 ,271 ,20 ,1 ,0 ,1 ,0 
8,Obispo,학파,0 ,<color=#EBEBEB>,"〔Disparo mágico [&] Escudo Lv +1〕 @ Por cada Escudo activado, [ATQ] se {Amplifica} en un 〈10%〉 @ 『Escudo permanece activado aunque se utilice en combinaciones de Magias.』",<color=#EB96FF>,Ángel guardián Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. del Escudo un 20%,<color=#6EDCFF>,Aumenta el número máximo de Escudos en 1,<color=#FF76DE>,Reduce el Daño recibido un 5% (todas las clases),<color=#FFFFFF>,`,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,-6 ,1 ,238 ,10 ,-306 ,1 ,233 ,20 ,231 ,1 ,23 ,5 ,1 ,0 ,1 ,0 
9,Ocultista,학파,0 ,<color=#EBEBEB>,"〔Rayo arcano Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Rayo arcano aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Rayo arcano Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. del Rayo arcano un 20%,<color=#6EDCFF>,Aumenta el número de Rayos arcanos un 35%,<color=#FF76DE>,Aumenta el Daño del Rayo arcano un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-18 ,1 ,1 ,0 ,1 ,0 ,-18 ,1 ,542 ,20 ,534 ,35 ,531 ,20 ,1 ,0 ,1 ,0 
10,Druida,학파,0 ,<color=#EBEBEB>,"〔Ciclón Lv +1〕 @ Cada vez que el personaje sube [5] niveles, el Daño de Ciclón aumenta en un 〈3%〉 『Adicional』",<color=#32FFE1>,Ciclón Lv +1,<color=#6EDCFF>,Reduce el tiempo de recup. del Ciclón un 20%,<color=#6EDCFF>,Aumenta el número de Ciclones en 1,<color=#FF76DE>,Aumenta el Daño del Ciclón un 20% (todas las clases),<color=#FFFFFF>,`,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-12 ,1 ,1 ,0 ,1 ,0 ,-12 ,1 ,406 ,20 ,393 ,1 ,391 ,20 ,1 ,0 ,1 ,0 
