ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,Ira Empírea,조합,417 ,444 ,0 ,<color=#F5F5E1>,La Explosión de la Tormenta de rayos cubre un alcance más amplio pero no se expande.,<color=#6EDCFF>,Aumenta el Daño de la Tormenta de rayos x5,<color=#6EDCFF>,Aumenta el número de Tormentas de rayos x3,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,Stormbringer,4,Tormenta de rayos cae instantáneamente.,`,0
2,Espada telequinética,조합,381 ,470 ,0 ,<color=#F5F5E1>,Los proyectiles de Espíritu cortan a los enemigos más rápido y se alargan,<color=#F5F5E1>,"Por cada reducción de [0.15 segundos] en el enfriamiento de Espíritu, el [Multiplicador de Daño] aumenta en 〈1〉",<color=#F5F5E1>,"Por cada reducción de [0.15 segundos] en el enfriamiento de Espíritu, el [Conteo de Ataques] aumenta en 〈1〉",<color=#6EDCFF>,Aumenta el Daño del Espíritu x3,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,Aura Blade,7,Los proyectiles de Espíritu tienen una baja probabilidad de maximizar su poder y se fortalecen en proporción a la probabilidad de golpe crítico.,`,0
3,Disparo de locura,조합,497 ,382 ,0 ,<color=#F5F5E1>,Los Disparos de Energía se dividen en [4] y se disparan en todas las direcciones,<color=#F5F5E1>,Los proyectiles del Disparo de energía se siguen moviendo hacia delante.,<color=#6EDCFF>,Aumenta el Daño del Disparo de energía x10,<color=#6EDCFF>,Cantidad de Disparos de Energía aumenta x3,<color=#6EDCFF>,Aumenta el Duración del Disparo de energía un 30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,Corriente de Terra,조합,517 ,472 ,0 ,<color=#F5F5E1>,Los Rayos arcanos pueden atacar a enemigos en un alcance más amplio.,<color=#F5F5E1>,"El Rayo arcano cambia de dirección cada 〈0,5 segundos〉.",<color=#F5F5E1>,Cada segundo de duración del Rayo arcano otorga 1X de [Multiplicador de Daño],<color=#6EDCFF>,Aumenta el Daño del Rayo arcano un x4,<color=#6EDCFF>,Reduce el tiempo de recup. del Rayo arcano un 50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,Clima de guerra,조합,444 ,507 ,0 ,<color=#F5F5E1>,El [tiempo de recup.] del Meteoro se vuelve más rápido dependiendo del número @ de Meteoros y se crean en el mismo [intervalo] que su [tiempo de recup.].,<color=#F5F5E1>,El [tiempo de recup.] también se reduce de 〈0 a 80%〉 por cada Meteoro.,<color=#6EDCFF>,Aumenta el Daño del Meteoro x6,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,Ground Zero,5,Meteoro se vuelve gigantesco y bombardea todo el campo de batalla.,`,0
6,Ecuación demoníaca,조합,371 ,499 ,0 ,<color=#F5F5E1>,Las Bolas de fuego se lanzan al mismo tiempo en múltiples direcciones @ y el efecto de atributo 《Big Bang》 ya no estará activo.,<color=#6EDCFF>,"Aumenta el Daño del Bola de fuego x6,66",<color=#6EDCFF>,Aumenta la penetración de la Bola de fuego en 2,<color=#6EDCFF>,Aumenta el número de Bolas de fuego x4,<color=#FF6464>,"Aumenta el Tiempo de recup. del Bola de fuego un x3,3",<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,Némesis,11,Bola de fuego aumenta su poder con cada explosión consecutiva.,`,0
7,Frenesí,조합,544 ,366 ,0 ,<color=#F5F5E1>,Choque Luminoso se genera más largo y más rápido,<color=#F5F5E1>,"Acumulaciones de Lanzamiento comienzan en 〈3〉 y se reinician en 〈7〉; por cada reducción de enfriamiento de [5 segundos] a [0.5 segundos], las [Acumulaciones de Lanzamiento] aumentan en 〈1〉",<color=#6EDCFF>,Aumenta el Daño del Destello x7,<color=#6EDCFF>,Reduce el tiempo de recup. del Destello un 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,Berserk,22,"La acumulación del número de lanzamientos de Destello se mantiene siempre al máximo, @ y el número máximo de acumulaciones aumenta en proporción a la Tasa Crítica.",`,0
8,Destrucción inquietante,조합,373 ,390 ,0 ,<color=#F5F5E1>,Bola de Fuego [Perfora] a todos los enemigos y se mueve aleatoriamente,<color=#F5F5E1>,Bola de Fuego explota con 〈3X〉 de poder solo cuando desaparece,<color=#F5F5E1>,El Daño de Bola de Fuego aumenta proporcionalmente a su duración,<color=#F5F5E1>,"Por cada [1] de penetración de Bola de Fuego, el [Multiplicador de Daño] aumenta en 〈3〉",<color=#6EDCFF>,Aumenta el Daño del Bola de fuego x4,<color=#6EDCFF>,Reduce el tiempo de recup. de la Bola de fuego un 33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,Reacción,조합,498 ,409 ,0 ,<color=#F5F5E1>,Disparo de energía se genera en todas las direcciones.,<color=#F5F5E1>,Disparo de energía explota a intervalos de 〈0.5 segundos〉 y su poder aumenta en un 〈20%〉 con cada explosión.,<color=#6EDCFF>,Aumenta el Daño del Disparo de energía x9,<color=#FF6464>,Reduce el número de Disparos de energía un 50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
