ID,이름,유형,요구레벨,특성ID,특성A레벨,특성B레벨,특성C레벨,최대레벨,파생기술ID,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과 설명줄 개수,특수값01,특수값02,특수값03,특수값04,특수값05,특수값06,특수값07,특수값08,기술 습득01,기술 습득02,기술 습득03,기술 습득04,기술 습득05,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,0 ,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,0,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,일반,39
1,魔力彈,마법,0 ,0 ,4 ,7 ,0 ,7 ,0 ,<color=#EBEBEB>,強化基本發射體。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,魔力彈傷害量增加50% @ 魔力彈冷卻時間減少5%,<color=#FFFFFF>,《魔力彈個數增加1》^《魔力彈傷害量增加50%》^《》^《魔力彈個數增加1》^《魔力彈傷害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-1 ,1 ,153 ,1 ,151 ,50 ,1 ,0 ,153 ,1 ,151 ,50 ,1 ,0 ,151 ,50 ,158 ,5 ,성장,50
2,火焰球,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,發射可具有爆炸性的投射體。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,火焰球傷害量增加50% @ 火焰球面積增加10%,<color=#FFFFFF>,《火焰球個數增加1》^《火焰球傷害量增加50%》^《火焰球面積增加20%》^《火焰球個數增加1》^《火焰球傷害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-2 ,1 ,184 ,1 ,181 ,50 ,187 ,20 ,184 ,1 ,181 ,50 ,1 ,0 ,181 ,50 ,187 ,10 ,적,0
3,精靈,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,召喚可進行輔助攻擊的精靈。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,精靈傷害量增加50% @ 精靈冷卻時間減少5%,<color=#FFFFFF>,《精靈傷害量增加20% @ 精靈個數增加1》^《精靈傷害量增加20% @ 精靈個數增加1》^《精靈傷害量增加20% @ 精靈個數增加1》^《精靈傷害量增加20% @ 精靈個數增加1》^《精靈傷害量增加20% @ 精靈個數增加1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-3 ,1 ,271 ,20 ,273 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,271 ,50 ,281 ,5 ,학파,24
4,衛星,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,生成旋轉於角色周圍的衛星。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,衛星傷害量增加50% @ 衛星旋轉速度增加25%,<color=#FFFFFF>,《衛星傷害量增加20% @ 衛星個數增加1》^《衛星傷害量增加20% @ 衛星個數增加1》^《衛星傷害量增加20% @ 衛星個數增加1》^《衛星傷害量增加20% @ 衛星個數增加1》^《衛星傷害量增加20% @ 衛星個數增加1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-4 ,1 ,306 ,20 ,308 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,306 ,50 ,311 ,25 ,아티팩트,181
5,凜霜,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,暫時[冰凍]附近的敵軍。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,凜霜傷害量增加50% @ 凜霜面積增加10%,<color=#FFFFFF>,《凜霜面積增加15%》^《凜霜傷害量增加50%》^《凜霜冷卻時間減少15%》^《凜霜面積增加20%》^《凜霜傷害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-5 ,1 ,375 ,15 ,371 ,50 ,378 ,15 ,375 ,20 ,371 ,50 ,1 ,0 ,371 ,50 ,375 ,10 ,특화,24
6,護盾,마법,0 ,0 ,5 ,0 ,0 ,5 ,0 ,<color=#EBEBEB>,生成可阻擋〈1次〉傷害的護盾。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,《護盾冷卻時間減少10%》^《護盾冷卻時間減少10%》^《護盾冷卻時間減少10%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-6 ,1 ,233 ,10 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,업적,0
7,落雷,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,對附近的敵軍劈下落雷。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,落雷傷害量增加50% @ 落雷冷卻時間減少5%,<color=#FFFFFF>,《落雷傷害量增加20% @ 落雷個數增加1》^《落雷傷害量增加20% @ 落雷個數增加1》^《落雷傷害量增加20% @ 落雷個數增加1》^《落雷傷害量增加20% @ 落雷個數增加1》^《落雷傷害量增加20% @ 落雷個數增加1》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-7 ,1 ,211 ,20 ,213 ,1 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,211 ,50 ,219 ,5 ,룬,0
8,導電地帶,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,對附近敵軍給予週期性的傷害。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,導電地帶傷害量增加50% @ 導電地帶面積增加10%,<color=#FFFFFF>,《導電地帶面積增加15%》^《導電地帶傷害量增加50%》^《導電地帶面積增加15%》^《導電地帶面積增加20%》^《導電地帶傷害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-8 ,1 ,293 ,15 ,291 ,50 ,293 ,15 ,293 ,20 ,291 ,50 ,1 ,0 ,291 ,50 ,293 ,10 ,특성,189
9,海嘯,마법,0 ,0 ,7 ,0 ,0 ,7 ,0 ,<color=#EBEBEB>,引發巨大的海浪，橫掃場地。,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,海嘯傷害量增加50% @ 海嘯冷卻時間減少5%,<color=#FFFFFF>,《海嘯個數增加3》^《海嘯傷害量增加50%》^《海嘯冷卻時間減少15%》^《海嘯個數增加3》^《海嘯傷害量增加50%》,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,-9 ,1 ,253 ,3 ,251 ,50 ,259 ,15 ,253 ,3 ,251 ,50 ,1 ,0 ,251 ,50 ,259 ,5 ,파생,0
