ID,이름,유형,특성A레벨,특성B레벨,특성C레벨,설명줄01 색깔,효과 설명줄01,설명줄02 색깔,효과 설명줄02,설명줄03 색깔,효과 설명줄03,설명줄04 색깔,효과 설명줄04,설명줄05 색깔,효과 설명줄05,설명줄06 색깔,효과 설명줄06,효과ID_01,효과ID_01값,효과ID_02,효과ID_02값,효과ID_03,효과ID_03값,효과ID_04,효과ID_04값,효과ID_05,효과ID_05값,효과ID_06,효과ID_06값,효과ID_07,효과ID_07값,효과ID_08,효과ID_08값,효과ID_09,효과ID_09값,궁극기 이름,궁극기 조건,궁극기 설명줄01,UI002,기술 개수
0,Name,Type,0 ,0 ,0 ,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,<color=#000000>,Explain,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,Name,0,Explain,조합,63
1,蒼穹之怒,조합,417 ,444 ,0 ,<color=#F5F5E1>,落雷爆炸範圍增大，但不會變寬。,<color=#6EDCFF>,落雷傷害量增加5倍,<color=#6EDCFF>,落雷個數增加3倍,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,911 ,5,914 ,3,1 ,0 ,1 ,0 ,風暴使者,4,落雷瞬間劈下。,`,0
2,以氣馭劍,조합,381 ,470 ,0 ,<color=#F5F5E1>,精靈飛彈斬擊敵人速度更快，且長度增加。,<color=#F5F5E1>,精靈冷卻時間每減少[0.15秒]，[傷害倍率]增加〈1〉。,<color=#F5F5E1>,精靈冷卻時間每減少[0.15秒]，[攻擊次數]增加〈1〉。,<color=#6EDCFF>,精靈傷害量增加3倍,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,971 ,3,1 ,0 ,1 ,0 ,1 ,0 ,光刃,7,精靈投射物有較低機率使威力極大化，並隨暴擊率提升而增強。,`,0
3,光彈亂射,조합,497 ,382 ,0 ,<color=#F5F5E1>,能量彈以[4次]分裂向四周發射。,<color=#F5F5E1>,能量彈投射體持續向前發射。,<color=#6EDCFF>,能量彈傷害量增加10倍,<color=#6EDCFF>,能量彈數量增加3倍,<color=#6EDCFF>,能量彈持續時間增加30%,<color=#FFFFFF>,`,488 ,30 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,10,1186 ,3 ,1 ,0 ,1 ,0 ,`,0,`,`,0
4,大地電流,조합,517 ,472 ,0 ,<color=#F5F5E1>,幻視光線攻擊範圍變寬。,<color=#F5F5E1>,幻視光線以每〈0.5秒〉為間隔轉換一次方向。,<color=#F5F5E1>,幻視光線的[持續時間]每增加〈1秒〉，[傷害倍率]增加〈1〉。,<color=#6EDCFF>,幻視光線傷害量增加4倍,<color=#6EDCFF>,幻視光線冷卻時間減少50%,<color=#FFFFFF>,`,542 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1231 ,4,1 ,0 ,1 ,0 ,1 ,0 ,아칸,0,`,`,0
5,戰爭之後,조합,444 ,507 ,0 ,<color=#F5F5E1>,隕石墜落[冷卻時間]隨其個數等比例加快 @ [生成間隔]與[冷卻時間]變得相同。,<color=#F5F5E1>,每次生成隕石墜落時[冷卻時間]減少〈0~ 80%〉。,<color=#6EDCFF>,隕石墜落傷害量增加6倍,<color=#FFFFFF>,`,<color=#FFFFFF>,`,<color=#FFFFFF>,`,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1021 ,6 ,1 ,0 ,1 ,0 ,1 ,0 ,零點地帶,5,隕石墜落變得巨大，轟炸整個戰場。,`,0
6,邪靈方程式,조합,371 ,499 ,0 ,<color=#F5F5E1>,火焰球同時朝四方發射 @ 《大爆炸》特性效果消失。,<color=#6EDCFF>,火焰球傷害量增加6.66倍,<color=#6EDCFF>,火焰球穿透力增加2,<color=#6EDCFF>,火焰球個數增加4倍,<color=#FF6464>,火焰球冷卻時間增加3.3倍,<color=#FFFFFF>,`,183 ,2 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,666,884 ,4,895 ,330 ,1 ,0 ,復仇女神,11,火焰球隨著反覆爆炸威力逐漸提升。,`,0
7,狂暴,조합,544 ,366 ,0 ,<color=#F5F5E1>,閃光衝擊生成得更長更快。,<color=#F5F5E1>,施放次數疊加從〈3次〉開始，在〈7次〉時[重置]，冷卻時間從[5秒]減少到[0.5秒]時，[施放次數疊加]增加〈1〉。,<color=#6EDCFF>,閃光衝擊傷害量增加7倍,<color=#6EDCFF>,閃光衝擊冷卻時間減少50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,609 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1301 ,7,1 ,0 ,1 ,0 ,1 ,0 ,狂戰士,22,閃光衝擊的施放次數疊加始終維持最大值，@ 最大疊加次數會隨致命一擊率增加。,`,0
8,百鬼夜行,조합,373 ,390 ,0 ,<color=#F5F5E1>,火焰球[貫穿]所有敵人並隨機移動。,<color=#F5F5E1>,火焰球僅在消失時以〈3倍〉威力[爆炸]。,<color=#F5F5E1>,火焰球的[持續時間]越長，[傷害量]越高。,<color=#F5F5E1>,火焰球[貫穿力]每增加[1]，[傷害倍率]增加〈3〉。,<color=#6EDCFF>,火焰球傷害量增加4倍,<color=#6EDCFF>,火焰球冷卻時間減少33%,194 ,33 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,881 ,4,1 ,0 ,1 ,0 ,1 ,0 ,`,0,`,`,0
9,反作用,조합,498 ,409 ,0 ,<color=#F5F5E1>,能量彈向四周生成。,<color=#F5F5E1>,能量彈以〈0.5秒〉間隔引發爆炸，每次爆炸時威力提升〈20%〉。,<color=#6EDCFF>,能量彈傷害量增加9倍,<color=#FF6464>,能量彈個數減少50%,<color=#FFFFFF>,`,<color=#FFFFFF>,`,487 ,50 ,1 ,0 ,1 ,0 ,1 ,0 ,1 ,0 ,1181 ,9,1 ,0 ,1 ,0 ,1 ,0 ,오버차지,0,`,`,0
